Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,255,255.000,4722,17132,25971,39642,67386,82491,100661,117898,117969
1,140,140.000,17284,34144,59138,74415,92635,167416,181243,181454,181511
2,178,178.000,17059,33898,42901,58311,92215,117333,117943,142709,142797
3,182,182.000,17032,33798,42253,53502,59047,117514,125774,159048,159278
4,128,128.000,17136,33988,50690,75489,100591,159104,167115,167164,167209
5,150,150.000,25336,26085,67150,69517,84096,150463,208715,208816,208859
6,132,132.000,25459,34145,50509,70422,108762,150479,167260,200404,200559
7,148,148.000,25473,50365,58939,73064,92016,150460,175578,175627,175667
8,122,122.000,33506,42191,50654,74882,92267,142252,200273,200389,200401
9,130,130.000,25409,42192,92363,83100,100950,142017,142344,200466,200504
10,138,138.000,25253,41943,58848,83358,83883,192024,267186,267296,267326
11,92,92.000,25175,58543,75594,84126,125375,142113,150353,150567,150567
12,160,160.000,17574,33979,58558,62533,83670,100290,141932,142190,142223
13,80,80.000,58799,83853,125504,130299,175314,217225,217321,217329,217329
14,118,118.000,25210,33890,92265,82453,117027,134097,142044,142247,142314
15,222,222.000,16674,17012,17167,44820,25741,125529,150568,292663,308678
16,248,248.000,16689,17048,17429,39471,33858,83905,133855,167172,167249
17,302,302.000,16691,16991,17081,33074,33830,67231,116998,158395,158522
18,210,210.000,16722,17008,17231,47884,75390,142163,158555,158760,175336
19,259,259.000,16619,17000,17164,38240,50189,91789,133808,192043,242173
20,229,229.000,16668,17036,17244,44711,42008,141796,142027,142053,183768
21,231,231.000,16520,16976,17109,42261,42059,108769,125454,208664,242121
22,230,230.000,16230,17088,25306,44529,66936,100281,108794,150081,150192
23,250,250.000,16582,16946,17044,38992,50341,116947,117134,191888,192079
24,290,290.000,16548,16937,17013,34908,17519,100222,142140,167050,167101
25,249,249.000,16599,16874,16985,40519,42057,108694,141986,150368,225320
26,220,220.000,16638,16941,25157,49910,83473,117061,158750,167144,167172
27,300,300.000,16368,16868,16968,29314,25306,75061,92011,150398,208599
28,271,271.000,16581,16884,17053,36712,41770,116093,133707,166957,167002
29,239,239.000,16566,16905,33248,41916,50231,83365,133594,150449,150490
30,231,231.000,16450,16889,17527,47574,75174,92182,124909,158620,225334
31,80,80.000,41786,92079,134112,119762,158581,175278,175291,175325,175325
32,80,80.000,41821,66745,92085,119635,183423,216845,216994,258622,258622
33,280,280.000,16563,16813,16960,39498,33562,133804,166802,175581,241814
34,230,230.000,16520,16900,17002,41793,50146,117152,133706,191862,216212
35,279,279.000,16482,16865,16967,35368,25747,108825,133523,141980,175313
36,301,301.000,16581,16861,16975,30534,33483,75057,75346,166960,166975
37,229,229.000,16502,16889,17371,44583,58804,116883,150284,175061,175193
38,221,221.000,16526,16829,16939,45061,25410,133673,150385,200374,200507
39,260,260.000,16586,16838,16926,37992,25297,83632,108517,317346,317437
40,279,279.000,16662,16870,16977,39645,33763,150103,159198,183708,183746
41,231,231.000,16437,16809,16966,38567,41861,125065,125222,125405,158520
42,310,310.000,16490,16815,16923,34392,17148,116867,133572,141912,225278
43,219,219.000,16625,16848,16969,48576,41853,158747,191917,200374,200383
44,260,260.000,15871,16816,16953,33705,33700,83554,108961,158548,158618
45,311,311.000,16459,16795,16915,31874,25091,67193,116808,166812,166923
46,240,240.000,16521,16835,17006,42794,66976,83596,125196,175381,175500
47,240,240.000,16384,16822,16924,41261,50094,83641,150249,166885,225046
48,209,209.000,16520,16857,25034,52014,91824,116930,133651,158538,158664
49,131,131.000,16573,41742,58490,68960,75300,141844,158493,158608,175171
50,149,149.000,16821,25429,50024,72150,100181,158704,183381,183474,183551
51,160,160.000,24982,41662,50316,58980,75178,108606,125138,125379,150184
52,150,150.000,16305,16842,50059,64833,116666,133441,141810,141979,142075
53,360,360.000,16437,16833,17005,27752,33475,50248,83274,83657,91821
54,320,320.000,16486,16773,16864,31172,18362,83501,91984,158482,158627
55,270,270.000,16478,16799,16956,36941,50327,75297,116950,150282,150302
56,360,360.000,16454,16782,16885,27714,25159,75086,108425,108703,167037
57,309,309.000,16019,16800,17047,33026,33569,91302,91870,116897,125341
58,281,281.000,16418,16784,16882,35285,41799,92010,92604,141594,150270
59,309,309.000,16477,16796,16928,32438,33385,75329,141833,150191,150354
60,290,290.000,16457,16851,17074,34110,50097,66842,108518,116890,116922
61,310,310.000,16478,16800,16943,34500,41662,75250,100102,233321,233405
62,290,290.000,16444,16846,17099,35911,33517,83366,133550,158574,158729
63,130,130.000,16541,25186,75073,73798,100153,133677,150042,150091,158522
64,150,150.000,16665,33379,50076,62357,83170,100100,225274,225380,225515
65,141,141.000,16813,41841,66758,70168,100104,124558,166812,166933,166952
66,270,270.000,16471,16803,16907,37262,50108,100001,119525,125124,166662
67,330,330.000,16536,16783,16882,31676,33559,75131,91745,108459,125192
68,270,270.000,16486,16772,16898,35804,33613,100122,116767,141961,142011
69,309,309.000,16432,16794,16897,31812,33212,83413,99998,108487,150115
70,251,251.000,16418,16822,25101,42521,58658,100072,108484,125213,125279
71,279,279.000,16311,16753,16851,33404,25059,91956,141808,141857,141955
72,320,320.000,16409,16782,16912,35172,50066,75254,108448,141804,141915
73,270,270.000,16512,16769,16892,33643,41635,75048,91833,133463,183457
74,360,360.000,16327,16740,16874,28091,33335,58442,91434,108519,108688
75,291,291.000,16409,16783,16857,32601,25110,74967,108469,125061,125108
76,340,340.000,16400,16762,16930,29655,33465,66703,75194,125123,125250
77,330,330.000,16414,16742,16886,30075,25310,66973,83390,83505,100171
78,250,250.000,16524,16807,25028,40530,66158,91830,100224,116735,133537
79,320,320.000,16443,16745,16823,30804,24799,83432,100093,125181,141643
80,349,349.000,16514,16759,16849,28934,41649,58579,75108,100041,100157
81,250,250.000,16591,16800,33371,42265,50721,75170,141717,141860,142043
82,270,270.000,16544,16730,16782,34570,74793,75333,100107,116968,133472
83,311,311.000,16024,16756,16873,32560,50070,74756,91641,108540,116722
84,280,280.000,16348,16770,16913,34993,41799,75012,100631,141870,141878
85,359,359.000,16522,16758,16836,29264,25198,66828,75066,133486,133550
86,251,251.000,16493,16798,16920,38825,58351,91635,91840,141752,150051
87,350,350.000,16395,16747,16843,29691,25179,84061,99479,108515,125139
88,230,230.000,16391,16815,33521,40636,58477,83628,91801,100183,125332
89,300,300.000,16084,16715,16834,33439,41670,75106,116955,125264,183511
90,307,307.000,16466,16746,16858,33950,41602,83769,108580,133436,159056
91,300,300.000,16447,16710,16795,32936,17024,83576,108363,200115,200166
92,310,310.000,16474,16737,16832,31816,33393,66621,117321,125233,183885
93,303,303.000,16478,16752,16835,32339,33298,75370,125281,166843,167110
94,278,278.000,15541,16779,16888,36537,50099,67702,91747,141737,141764
95,290,290.000,16415,16730,16844,33817,24887,108314,125200,133567,133659
96,220,220.000,16495,16841,33421,47087,75104,91833,100393,108468,116790
97,160,160.000,24916,33438,58201,60608,83798,100227,125567,125946,141804
98,150,150.000,16507,41529,74947,69831,100055,125106,125141,141803,150359
99,140,140.000,16786,41754,58468,69135,100122,116850,125196,133414,142017
100,170,170.000,15847,16789,74895,57636,83291,99970,175187,175309,200074
101,340,340.000,16389,16708,16793,29243,17013,75130,99933,125242,141680
102,289,289.000,15313,16733,16876,35208,33470,83401,133546,191732,200196
103,351,351.000,16384,16717,16810,28667,17345,66938,100252,125220,175513
104,190,190.000,16432,16761,16906,53041,66865,158206,166683,166932,232834
105,299,299.000,16374,16709,16784,32648,17013,91806,133463,191877,225013
106,260,260.000,16344,16747,16904,40980,33395,141615,158519,208483,208524
107,230,230.000,16482,16756,16894,40834,83205,100277,116588,124712,141816
108,281,281.000,16333,16711,16885,36182,41841,75094,133381,158464,158670
109,260,260.000,16445,16761,16988,38748,50066,100115,125107,125286,166543
110,278,278.000,16371,16718,16824,36915,24935,100163,141892,241742,241769
111,240,240.000,16421,16710,16773,39240,25146,125199,149925,150313,158367
112,300,300.000,16463,16716,16774,34601,16969,99963,108422,183843,191705
113,322,322.000,16384,16713,16794,29636,24899,58315,108515,166609,166783
114,257,257.000,16388,16705,16849,40474,50071,100089,158301,158567,166708
115,250,250.000,16404,16738,16882,38964,50123,92230,125159,149993,150129
116,290,290.000,16369,16716,16840,34560,33159,91604,141253,158298,158571
117,330,330.000,16431,16699,16810,29954,24931,75038,108537,141790,141825
118,270,270.000,16461,16747,16856,37588,41522,108304,150030,175029,175176
119,213,213.000,16307,16657,16825,40701,41907,125023,141847,183395,183424
