Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,44.400,22.479,8.141,8.510,16.714,25.032,41.660,58.323,116.749,224.839,0.044
5,45.200,22.105,7.982,8.361,16.674,24.993,41.804,58.448,133.227,166.776,0.045
10,42.800,23.525,7.864,8.422,16.714,25.045,50.039,66.953,99.997,116.483,0.043
15,75.200,13.158,7.727,8.301,8.362,8.438,25.000,49.909,83.307,124.359,0.076
20,86.000,11.619,8.078,8.301,8.355,8.435,16.814,33.343,66.568,99.843,0.086
25,89.200,11.171,8.102,8.303,8.339,8.393,8.497,25.091,66.811,116.791,0.090
30,95.000,10.509,8.026,8.296,8.337,8.393,8.502,17.185,58.334,91.687,0.095
35,86.200,11.585,7.753,8.305,8.330,8.385,8.484,33.326,91.846,116.721,0.086
40,90.800,10.997,8.032,8.300,8.322,8.390,8.620,25.072,58.373,108.369,0.091
45,92.400,10.784,8.118,8.303,8.320,8.384,16.475,24.994,66.731,83.444,0.093
50,86.600,11.543,8.108,8.304,8.318,8.376,16.633,33.340,66.623,91.794,0.087
55,80.000,12.495,7.992,8.301,8.323,8.409,24.942,33.512,75.017,108.378,0.080
60,83.400,11.964,8.123,8.297,8.324,8.380,16.635,33.420,67.277,116.596,0.084
65,86.800,11.474,8.037,8.295,8.326,8.369,16.633,33.322,74.952,83.459,0.087
70,84.400,11.840,8.079,8.303,8.319,8.365,8.426,33.376,83.352,141.775,0.084
75,86.200,11.575,8.004,8.303,8.315,8.369,8.452,33.297,83.356,125.175,0.086
80,85.800,11.629,7.450,8.306,8.318,8.361,8.445,33.352,83.356,150.952,0.086
85,84.600,11.814,8.097,8.304,8.322,8.371,16.625,33.263,83.284,108.440,0.085
90,86.400,11.554,8.127,8.301,8.327,8.375,8.455,33.314,83.316,125.066,0.087
95,98.800,10.203,8.082,8.306,8.325,8.367,8.430,16.726,66.700,83.471,0.098
100,105.200,9.408,8.131,8.306,8.323,8.369,8.411,8.457,41.541,108.452,0.106
105,102.200,9.765,8.068,8.308,8.321,8.369,8.433,16.591,41.641,125.001,0.102
110,105.800,9.432,8.098,8.308,8.320,8.359,8.407,8.462,50.022,91.046,0.106
115,108.000,9.226,8.114,8.307,8.321,8.352,8.398,8.434,43.036,75.198,0.108
