Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1652394039.514720,211868,9,1
1,NewOrder,1652394039.514727,214075,2,1
1,NewOrder,1652394039.514727,238078,0,1
1,NewOrder,1652394039.514744,210095,4,1
1,NewOrder,1652394039.514765,229153,1,1
1,NewOrder,1652394039.514793,43165,3,1
1,NewOrder,1652394039.514854,219244,6,1
1,NewOrder,1652394039.514878,229132,5,1
1,NewOrder,1652394039.514906,251494,7,1
1,NewOrder,1652394039.558227,194586,3,1
1,NewOrder,1652394039.724926,46241,4,1
1,NewOrder,1652394039.726673,38959,9,1
1,NewOrder,1652394039.728873,23935,2,1
1,NewOrder,1652394039.734195,27075,6,1
1,NewOrder,1652394039.744000,42545,1,1
1,NewOrder,1652394039.744053,25486,5,1
1,NewOrder,1652394039.744102,33908,8,1
1,NewOrder,1652394039.752890,45482,3,1
1,NewOrder,1652394039.752892,41987,2,1
1,NewOrder,1652394039.752909,25100,0,1
1,NewOrder,1652394039.761368,33601,6,1
1,NewOrder,1652394039.765685,20756,9,1
1,NewOrder,1652394039.766480,36929,7,1
1,NewOrder,1652394039.769607,42164,5,1
1,NewOrder,1652394039.771234,49034,4,1
1,NewOrder,1652394039.778080,25287,8,1
1,NewOrder,1652394039.778097,25269,0,1
1,NewOrder,1652394039.786512,51079,9,1
1,NewOrder,1652394039.786567,25752,1,1
1,NewOrder,1652394039.794951,38249,2,1
1,NewOrder,1652394039.795025,42390,6,1
1,NewOrder,1652394039.798445,30649,3,1
1,NewOrder,1652394039.803419,25449,8,1
1,NewOrder,1652394039.803427,42441,0,1
1,NewOrder,1652394039.803469,25371,7,1
1,NewOrder,1652394039.811826,17252,5,1
1,NewOrder,1652394039.812351,16743,1,1
1,NewOrder,1652394039.820311,24408,4,1
1,NewOrder,1652394039.828884,51545,7,1
1,NewOrder,1652394039.828957,25607,8,1
1,NewOrder,1652394039.829121,25457,5,1
1,NewOrder,1652394039.829144,16737,1,1
1,NewOrder,1652394039.829147,33533,3,1
1,NewOrder,1652394039.833256,37891,2,1
1,NewOrder,1652394039.837463,42940,6,1
1,NewOrder,1652394039.837613,25115,9,1
1,NewOrder,1652394039.844762,17918,4,1
1,NewOrder,1652394039.845935,25296,0,1
1,NewOrder,1652394039.845935,25323,1,1
1,NewOrder,1652394039.854616,25828,8,1
1,NewOrder,1652394039.854627,42682,5,1
1,NewOrder,1652394039.862721,26043,3,1
1,NewOrder,1652394039.862721,26168,4,1
1,NewOrder,1652394039.862778,26224,9,1
1,NewOrder,1652394039.871210,28284,2,1
1,NewOrder,1652394039.871281,17720,0,1
1,NewOrder,1652394039.871329,28164,1,1
1,NewOrder,1652394039.880463,25384,6,1
1,NewOrder,1652394039.880504,16723,8,1
1,NewOrder,1652394039.880523,16846,7,1
1,NewOrder,1652394039.888804,25733,3,1
1,NewOrder,1652394039.888910,16854,4,1
1,NewOrder,1652394039.889042,25363,9,1
1,NewOrder,1652394039.889052,16753,0,1
1,NewOrder,1652394039.897275,25535,8,1
1,NewOrder,1652394039.897343,25479,5,1
1,NewOrder,1652394039.897444,25355,7,1
1,NewOrder,1652394039.899541,23392,1,1
1,NewOrder,1652394039.899541,14797,2,1
1,NewOrder,1652394039.905825,25464,4,1
1,NewOrder,1652394039.905825,25645,0,1
1,NewOrder,1652394039.905900,17034,6,1
1,NewOrder,1652394039.914397,25625,2,1
1,NewOrder,1652394039.914481,5418,9,1
1,NewOrder,1652394039.914561,34224,3,1
1,NewOrder,1652394039.919959,20129,9,1
1,NewOrder,1652394039.922866,25492,7,1
1,NewOrder,1652394039.922873,25523,8,1
1,NewOrder,1652394039.922877,16937,5,1
1,NewOrder,1652394039.922989,25310,6,1
1,NewOrder,1652394039.922990,25309,1,1
1,NewOrder,1652394039.931366,29397,4,1
1,NewOrder,1652394039.931493,16902,0,1
1,NewOrder,1652394039.939871,16986,5,1
1,NewOrder,1652394039.940077,25350,2,1
1,NewOrder,1652394039.940155,15465,9,1
1,NewOrder,1652394039.948367,17194,1,1
1,NewOrder,1652394039.948367,17061,6,1
1,NewOrder,1652394039.948435,34048,7,1
1,NewOrder,1652394039.948458,17075,0,1
1,NewOrder,1652394039.948489,50820,8,1
1,NewOrder,1652394039.948828,38539,3,1
1,NewOrder,1652394039.955675,26768,9,1
1,NewOrder,1652394039.956941,25507,5,1
1,NewOrder,1652394039.960823,38490,4,1
1,NewOrder,1652394039.965490,16764,2,1
1,NewOrder,1652394039.965490,25316,6,1
1,NewOrder,1652394039.965594,16699,0,1
1,NewOrder,1652394039.965617,33931,1,1
1,NewOrder,1652394039.982327,25375,2,1
1,NewOrder,1652394039.982352,23985,0,1
1,NewOrder,1652394039.982494,25272,9,1
1,NewOrder,1652394039.982536,33749,5,1
1,NewOrder,1652394039.982536,54474,7,1
1,NewOrder,1652394039.987424,20349,3,1
1,NewOrder,1652394039.990870,16800,6,1
1,NewOrder,1652394039.999404,25269,8,1
1,NewOrder,1652394039.999409,16744,4,1
1,NewOrder,1652394039.999611,29930,1,1
1,NewOrder,1652394040.006394,26933,0,1
1,NewOrder,1652394040.007741,25328,6,1
1,NewOrder,1652394040.007767,31182,2,1
1,NewOrder,1652394040.007816,25274,9,1
1,NewOrder,1652394040.007859,25268,3,1
1,NewOrder,1652394040.016249,25288,4,1
1,NewOrder,1652394040.016358,34519,5,1
1,NewOrder,1652394040.024753,25367,8,1
1,NewOrder,1652394040.029596,20779,1,1
1,NewOrder,1652394040.033121,16939,6,1
1,NewOrder,1652394040.033158,33915,9,1
