Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,364.200,27.337,2.846,16.801,18.509,25.393,33.786,42.042,60.211,1038.017,0.037
5,440.800,22.652,2.872,16.762,16.996,25.282,33.410,41.939,51.091,183.893,0.044
10,414.400,24.338,2.678,16.775,17.106,25.330,33.876,49.815,75.581,195.629,0.041
15,393.000,27.045,2.930,16.775,17.026,25.311,33.695,42.315,67.494,1076.928,0.037
20,405.000,22.848,2.854,16.777,17.026,25.297,33.601,42.041,58.971,225.007,0.044
25,441.800,22.597,2.709,16.778,17.034,25.279,33.624,42.000,59.116,142.288,0.044
30,403.200,24.794,2.991,16.796,17.828,25.414,34.092,49.984,83.760,217.246,0.040
35,442.000,22.601,3.142,16.768,17.010,25.265,25.936,34.067,58.792,231.307,0.044
40,458.000,21.829,2.667,16.761,16.968,25.250,26.700,41.797,58.536,83.874,0.046
45,432.000,23.126,2.676,16.770,16.977,25.277,33.547,42.109,75.207,204.267,0.043
50,453.800,21.997,2.631,16.768,16.980,25.264,33.402,41.867,61.777,117.893,0.045
55,439.600,22.704,3.109,16.766,17.006,25.254,33.420,41.805,66.773,200.575,0.044
60,426.800,23.432,2.913,16.772,17.008,25.279,33.614,42.243,75.382,208.884,0.043
65,443.800,23.158,2.657,16.763,16.963,25.260,33.465,42.189,75.052,1022.635,0.043
70,334.000,29.036,2.983,16.748,16.963,25.257,33.603,42.405,242.746,1061.589,0.034
75,462.600,21.608,2.982,16.772,16.982,25.250,25.666,41.607,58.259,91.921,0.046
80,375.200,26.649,2.557,16.758,16.950,25.262,25.622,41.959,175.065,1018.245,0.038
85,446.200,22.357,2.900,16.758,16.951,25.244,28.662,41.883,67.258,192.054,0.045
90,442.200,22.645,2.718,16.768,16.999,25.251,33.428,41.999,91.488,183.769,0.044
95,411.400,24.207,2.813,16.779,17.066,25.277,33.677,50.204,83.751,190.030,0.041
100,449.600,22.236,2.635,16.758,16.970,25.283,33.508,41.866,66.902,84.217,0.045
105,429.200,23.331,3.149,16.762,17.058,25.310,33.690,42.017,66.522,192.184,0.043
110,403.600,24.675,2.906,16.773,17.102,25.353,41.565,50.216,83.639,242.262,0.041
115,419.200,23.745,2.648,16.782,17.092,25.316,41.647,49.750,75.326,93.035,0.042
