Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,308,308.000,2846,17156,25360,32150,33657,42441,51402,229132,251494
1,292,292.000,3034,16815,24928,44935,25579,33904,42146,981087,1038017
2,283,283.000,4554,16761,17065,24098,25304,33755,42011,50613,426677
3,477,477.000,3176,16774,16999,20830,25244,25603,33696,50197,59419
4,461,461.000,2917,16768,17021,21692,25266,32942,34015,50214,59374
5,477,477.000,3564,16761,16966,21050,25251,25547,33750,50464,58510
6,392,392.000,3140,16765,17012,25592,25278,33588,42288,175283,183893
7,437,437.000,5876,16773,17028,22667,25333,33600,42363,58572,67278
8,444,444.000,2872,16762,16986,22532,25326,33700,41999,50352,67588
9,454,454.000,3511,16755,17016,21899,25258,27964,41810,50499,59249
10,461,461.000,3499,16771,16968,21701,25243,25595,34305,50652,67537
11,396,396.000,3720,16787,24903,25977,25378,42367,50476,100096,158499
12,385,385.000,2678,16771,17096,25219,25564,41954,58317,75260,92309
13,455,455.000,3012,16772,17025,21964,25270,33501,41789,50554,67160
14,375,375.000,3228,16784,24750,27818,25410,41773,50587,187273,195629
15,395,395.000,3511,16793,17251,24112,25373,41832,50793,67345,100661
16,453,453.000,2930,16776,17048,22027,25315,33386,37537,50515,58865
17,453,453.000,5977,16779,17009,22450,25288,33545,42038,66844,75720
18,439,439.000,3885,16788,16948,22248,25316,33264,42303,67077,75373
19,225,225.000,3855,16747,17036,60901,25293,41765,66708,1007064,1076928
20,293,293.000,3591,16769,17017,21666,25270,25790,42022,53181,67296
21,450,450.000,3566,16772,17026,22260,25299,33668,42059,58158,58894
22,458,458.000,2854,16778,17032,21662,25264,33399,34120,50408,67489
23,357,357.000,3890,16812,17153,27948,25439,42061,58851,179673,225007
24,467,467.000,3239,16759,17001,21420,25235,25820,41708,50667,84160
25,460,460.000,2863,16789,16969,21805,25264,33393,41883,59116,84178
26,451,451.000,2709,16751,17014,22227,25329,33632,41805,50176,92153
27,447,447.000,3750,16781,17048,22147,25255,33519,41957,58422,75811
28,422,422.000,5984,16789,17034,23747,25286,34033,42316,99878,142288
29,429,429.000,4320,16779,17248,23171,25288,33911,42349,58969,76037
30,472,472.000,3652,16754,16902,21188,25232,33239,33979,50380,59029
31,374,374.000,2991,16779,24913,27028,25382,41273,44582,173724,178007
32,432,432.000,9622,16832,23538,22834,25400,33617,34316,50819,67240
33,294,294.000,3671,16932,25251,34020,42177,59140,67070,133390,217246
34,444,444.000,3025,16794,17171,22542,25307,33663,41932,50505,59065
35,464,464.000,4352,16762,16977,21630,25253,33084,34043,51006,68115
36,458,458.000,3658,16770,17047,21800,25277,25637,33876,58620,67357
37,455,455.000,3456,16766,17014,21930,25274,30187,41635,50792,67336
38,465,465.000,3396,16768,17000,21329,25246,25564,33633,42440,50585
39,368,368.000,3142,16768,17035,27255,25288,34002,50154,223026,231307
40,456,456.000,2667,16752,16956,22144,25291,33648,42014,58966,75630
41,470,470.000,2982,16750,16911,21013,25195,25543,33938,51492,75590
42,463,463.000,3627,16771,16954,21872,25213,25662,41749,67116,83874
43,450,450.000,4132,16755,17005,21960,25254,33558,41797,50548,67055
44,451,451.000,3516,16786,17107,22184,25286,33089,42088,58372,67462
45,453,453.000,2894,16771,16968,22021,25260,25686,33970,83410,109048
46,428,428.000,2956,16783,17014,23198,25332,41624,42797,58956,75474
47,372,372.000,2676,16774,16973,26814,25319,33757,58340,187351,204267
48,454,454.000,3032,16763,16974,22143,25271,33238,41904,51104,67662
49,453,453.000,4820,16761,16986,22116,25259,25653,41725,66925,83713
50,456,456.000,4305,16788,16957,21728,25256,33483,41993,50931,61777
51,443,443.000,2909,16761,17012,22630,25262,33572,42040,75036,117893
