Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1652395327.301640,78294,9,1
2,Payment,1652395327.301641,77897,7,1
2,Payment,1652395327.301641,77887,6,1
2,Payment,1652395327.301642,77882,8,1
2,Payment,1652395327.301666,77907,5,1
2,Payment,1652395327.301671,78271,4,1
2,Payment,1652395327.301711,77813,2,1
2,Payment,1652395327.301733,42637,1,1
2,Payment,1652395327.301738,78166,3,1
2,Payment,1652395327.302167,77329,0,1
2,Payment,1652395327.344739,24643,1,1
2,Payment,1652395327.369462,8107,1,1
2,Payment,1652395327.377647,8257,1,1
2,Payment,1652395327.379576,33284,0,1
2,Payment,1652395327.379621,33598,2,1
2,Payment,1652395327.379621,34267,8,1
2,Payment,1652395327.379650,33441,7,1
2,Payment,1652395327.379664,33427,5,1
2,Payment,1652395327.379688,32870,6,1
2,Payment,1652395327.380016,32705,3,1
2,Payment,1652395327.380016,32705,9,1
2,Payment,1652395327.380049,33054,4,1
2,Payment,1652395327.386035,16584,1,1
2,Payment,1652395327.402693,8294,1,1
2,Payment,1652395327.411062,8399,1,1
2,Payment,1652395327.412646,34366,6,1
2,Payment,1652395327.412787,33825,9,1
2,Payment,1652395327.412787,34150,3,1
2,Payment,1652395327.412921,33845,0,1
2,Payment,1652395327.413167,33819,5,1
2,Payment,1652395327.413167,32655,7,1
2,Payment,1652395327.413189,33770,4,1
2,Payment,1652395327.413307,33684,2,1
2,Payment,1652395327.413992,33001,8,1
2,Payment,1652395327.419548,8223,1,1
2,Payment,1652395327.427843,16714,1,1
2,Payment,1652395327.444632,8167,1,1
2,Payment,1652395327.445879,24159,7,1
2,Payment,1652395327.446679,23871,9,1
2,Payment,1652395327.446811,24207,0,1
2,Payment,1652395327.446982,24445,3,1
2,Payment,1652395327.447035,23966,4,1
2,Payment,1652395327.447036,23826,5,1
2,Payment,1652395327.447072,23797,8,1
2,Payment,1652395327.447104,23982,2,1
2,Payment,1652395327.447106,23933,6,1
2,Payment,1652395327.452871,8088,1,1
2,Payment,1652395327.461062,8264,1,1
2,Payment,1652395327.469408,8271,1,1
2,Payment,1652395327.470097,24982,7,1
2,Payment,1652395327.470616,24851,9,1
2,Payment,1652395327.470919,24426,5,1
2,Payment,1652395327.471033,24619,8,1
2,Payment,1652395327.471069,24583,0,1
2,Payment,1652395327.471083,24297,4,1
2,Payment,1652395327.471119,24357,6,1
2,Payment,1652395327.471180,24309,2,1
2,Payment,1652395327.471488,24248,3,1
2,Payment,1652395327.477762,8355,1,1
2,Payment,1652395327.486186,8267,1,1
2,Payment,1652395327.494521,8221,1,1
2,Payment,1652395327.495140,24746,7,1
2,Payment,1652395327.495381,24999,5,1
2,Payment,1652395327.495483,24800,4,1
2,Payment,1652395327.495529,25733,9,1
2,Payment,1652395327.495533,25572,6,1
2,Payment,1652395327.495542,25639,2,1
2,Payment,1652395327.495728,24543,0,1
2,Payment,1652395327.495729,25524,8,1
2,Payment,1652395327.495778,25427,3,1
2,Payment,1652395327.502811,8216,1,1
2,Payment,1652395327.511097,8259,1,1
2,Payment,1652395327.519427,8366,1,1
2,Payment,1652395327.519942,25625,7,1
2,Payment,1652395327.520338,24714,0,1
2,Payment,1652395327.520352,25215,4,1
2,Payment,1652395327.520419,24556,5,1
2,Payment,1652395327.521158,24431,6,1
2,Payment,1652395327.521226,24246,2,1
2,Payment,1652395327.521257,23862,3,1
2,Payment,1652395327.521323,24302,8,1
2,Payment,1652395327.521328,24240,9,1
2,Payment,1652395327.527857,8263,1,1
2,Payment,1652395327.536195,8370,1,1
2,Payment,1652395327.544627,8351,1,1
2,Payment,1652395327.545050,25024,5,1
2,Payment,1652395327.545088,24986,0,1
2,Payment,1652395327.545183,24842,3,1
2,Payment,1652395327.545521,24488,2,1
2,Payment,1652395327.545655,24716,9,1
2,Payment,1652395327.545655,24739,7,1
2,Payment,1652395327.545678,24586,4,1
2,Payment,1652395327.545693,24748,6,1
2,Payment,1652395327.545693,24800,8,1
2,Payment,1652395327.553029,8157,1,1
2,Payment,1652395327.561254,8366,1,1
2,Payment,1652395327.569698,8110,1,1
2,Payment,1652395327.570071,33257,2,1
2,Payment,1652395327.570095,24390,3,1
2,Payment,1652395327.570147,33475,0,1
2,Payment,1652395327.570149,33473,5,1
2,Payment,1652395327.570338,33244,4,1
2,Payment,1652395327.570427,32958,9,1
2,Payment,1652395327.570437,33207,7,1
2,Payment,1652395327.570499,32828,6,1
2,Payment,1652395327.570533,32799,8,1
2,Payment,1652395327.577875,34169,1,1
2,Payment,1652395327.594565,8190,3,1
2,Payment,1652395327.602832,8248,3,1
2,Payment,1652395327.603380,66610,2,1
2,Payment,1652395327.603382,66627,8,1
2,Payment,1652395327.603405,66631,6,1
2,Payment,1652395327.603457,66925,9,1
2,Payment,1652395327.603662,66731,4,1
2,Payment,1652395327.603690,66702,7,1
2,Payment,1652395327.603713,66642,5,1
2,Payment,1652395327.603713,66642,0,1
2,Payment,1652395327.611154,49926,3,1
2,Payment,1652395327.612112,66986,1,1
2,Payment,1652395327.661144,8186,3,1
2,Payment,1652395327.669402,8303,3,1
2,Payment,1652395327.670075,24829,8,1
2,Payment,1652395327.670081,24755,2,1
2,Payment,1652395327.670105,25185,6,1
2,Payment,1652395327.670441,24652,5,1
2,Payment,1652395327.670444,24649,0,1
2,Payment,1652395327.670456,24449,9,1
2,Payment,1652395327.670480,25061,7,1
2,Payment,1652395327.670480,24809,4,1
2,Payment,1652395327.677777,8364,3,1
2,Payment,1652395327.679191,24732,1,1
2,Payment,1652395327.686226,8151,3,1
2,Payment,1652395327.694450,8274,3,1
2,Payment,1652395327.694894,33436,2,1
2,Payment,1652395327.694984,33401,9,1
2,Payment,1652395327.694984,33401,8,1
2,Payment,1652395327.695167,33371,5,1
2,Payment,1652395327.695167,33309,0,1
2,Payment,1652395327.695376,33553,6,1
2,Payment,1652395327.695376,33420,4,1
2,Payment,1652395327.695589,33449,7,1
2,Payment,1652395327.702795,16580,3,1
2,Payment,1652395327.703990,32965,1,1
2,Payment,1652395327.719446,8257,3,1
2,Payment,1652395327.727794,8435,3,1
2,Payment,1652395327.728383,24729,2,1
2,Payment,1652395327.728460,24860,9,1
2,Payment,1652395327.728460,24905,8,1
2,Payment,1652395327.728570,25413,0,1
2,Payment,1652395327.728594,25388,5,1
2,Payment,1652395327.728879,25140,4,1
2,Payment,1652395327.728967,25052,6,1
2,Payment,1652395327.729117,24875,7,1
2,Payment,1652395327.736293,8147,3,1
2,Payment,1652395327.737014,24940,1,1
2,Payment,1652395327.744543,8204,3,1
2,Payment,1652395327.752811,8281,3,1
2,Payment,1652395327.753164,25548,2,1
2,Payment,1652395327.753382,25014,9,1
2,Payment,1652395327.753406,24989,8,1
2,Payment,1652395327.754071,24607,7,1
2,Payment,1652395327.754094,24943,0,1
2,Payment,1652395327.754105,24651,4,1
2,Payment,1652395327.754105,24781,6,1
2,Payment,1652395327.754106,24521,5,1
2,Payment,1652395327.761161,8251,3,1
2,Payment,1652395327.762012,24502,1,1
2,Payment,1652395327.769481,8265,3,1
2,Payment,1652395327.777814,8356,3,1
2,Payment,1652395327.778476,25018,9,1
2,Payment,1652395327.778476,25004,8,1
2,Payment,1652395327.778698,25150,5,1
2,Payment,1652395327.778748,25356,7,1
2,Payment,1652395327.778818,24992,4,1
2,Payment,1652395327.778861,24895,2,1
2,Payment,1652395327.778932,24916,6,1
2,Payment,1652395327.779103,25133,0,1
2,Payment,1652395327.786234,8202,3,1
2,Payment,1652395327.786591,24899,1,1
2,Payment,1652395327.794527,8292,3,1
2,Payment,1652395327.802881,8223,3,1
2,Payment,1652395327.803541,25166,8,1
2,Payment,1652395327.803542,25089,9,1
2,Payment,1652395327.803808,24934,2,1
2,Payment,1652395327.803870,24736,4,1
2,Payment,1652395327.803916,24978,6,1
2,Payment,1652395327.803917,25056,5,1
2,Payment,1652395327.804171,24956,7,1
2,Payment,1652395327.804292,24881,0,1
2,Payment,1652395327.811160,8312,3,1
2,Payment,1652395327.811544,25104,1,1
2,Payment,1652395327.819545,8285,3,1
2,Payment,1652395327.827896,8226,3,1
2,Payment,1652395327.828662,24566,4,1
2,Payment,1652395327.828691,24728,9,1
2,Payment,1652395327.828772,24726,8,1
2,Payment,1652395327.828795,24899,2,1
2,Payment,1652395327.828960,24673,6,1
2,Payment,1652395327.829014,24783,5,1
2,Payment,1652395327.829196,24839,7,1
2,Payment,1652395327.829269,24710,0,1
2,Payment,1652395327.836221,8228,3,1
2,Payment,1652395327.836701,24890,1,1
2,Payment,1652395327.844509,8263,3,1
2,Payment,1652395327.852833,8295,3,1
2,Payment,1652395327.853283,25163,4,1
2,Payment,1652395327.853478,25023,9,1
2,Payment,1652395327.853534,24988,8,1
2,Payment,1652395327.853684,25115,6,1
2,Payment,1652395327.853738,24691,2,1
2,Payment,1652395327.853836,24814,5,1
2,Payment,1652395327.854034,24876,0,1
2,Payment,1652395327.854098,24740,7,1
2,Payment,1652395327.861182,8289,3,1
2,Payment,1652395327.861641,25248,1,1
2,Payment,1652395327.869529,8274,3,1
2,Payment,1652395327.877866,8240,3,1
2,Payment,1652395327.878466,25580,2,1
2,Payment,1652395327.878504,25132,4,1
2,Payment,1652395327.878552,24741,9,1
2,Payment,1652395327.878558,24811,8,1
2,Payment,1652395327.878714,25164,5,1
2,Payment,1652395327.878835,24860,6,1
2,Payment,1652395327.878901,24684,7,1
2,Payment,1652395327.878970,24899,0,1
2,Payment,1652395327.886159,8394,3,1
2,Payment,1652395327.886934,25088,1,1
2,Payment,1652395327.894606,8209,3,1
2,Payment,1652395327.902874,8337,3,1
2,Payment,1652395327.903351,25249,9,1
2,Payment,1652395327.903406,25194,8,1
