Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,429.600,23.267,6.978,24.175,24.959,25.082,33.262,33.484,66.731,108.361,0.043
5,448.600,22.312,7.998,24.617,24.961,25.055,33.127,33.383,50.094,74.562,0.045
10,445.400,22.449,7.980,24.552,24.965,25.060,33.088,33.409,49.980,83.502,0.045
15,433.000,23.018,8.068,24.629,24.964,25.081,33.318,33.566,58.433,75.145,0.043
20,447.400,22.362,7.942,24.591,24.966,25.060,25.377,33.385,58.327,91.718,0.045
25,445.200,22.440,7.995,24.526,24.967,25.063,33.054,33.435,58.376,66.778,0.045
30,431.800,23.157,7.903,24.619,24.971,25.077,33.308,33.682,58.440,91.697,0.043
35,442.600,22.595,8.081,24.598,24.971,25.056,33.215,33.415,58.290,91.560,0.044
40,449.600,22.187,8.055,24.605,24.973,25.046,25.321,33.358,58.179,58.512,0.045
45,439.000,22.775,7.853,24.567,24.972,25.059,33.135,33.404,66.782,83.470,0.044
50,445.600,22.453,8.135,24.537,24.961,25.054,25.566,33.404,58.316,83.642,0.045
55,442.400,22.571,8.026,24.569,24.963,25.048,33.123,33.407,58.483,116.772,0.044
60,433.400,23.060,8.047,24.535,24.965,25.074,33.231,33.502,75.002,133.213,0.043
65,433.000,23.096,8.069,24.573,24.968,25.071,33.320,33.636,82.976,83.616,0.043
70,341.000,29.282,8.101,24.744,24.980,25.117,41.409,66.795,124.984,466.628,0.034
75,431.600,23.145,7.939,24.691,24.971,25.055,33.312,33.505,74.930,83.417,0.043
80,452.400,22.115,8.095,23.935,24.968,25.045,25.763,33.375,50.075,75.155,0.045
85,443.200,22.514,8.053,24.565,24.970,25.054,33.135,33.397,74.876,83.211,0.044
90,441.600,22.634,8.024,24.566,24.968,25.047,33.083,33.412,58.565,91.719,0.044
95,429.000,23.312,8.065,24.683,24.972,25.063,33.241,33.516,75.006,91.685,0.043
100,423.800,23.628,7.987,24.642,24.972,25.088,33.322,33.637,75.141,108.373,0.042
105,436.800,22.806,8.083,24.577,25.000,25.116,33.214,33.536,66.501,83.567,0.044
110,447.400,22.360,8.094,24.678,24.990,25.077,33.267,33.431,50.018,66.852,0.045
115,435.400,22.821,7.718,24.245,24.981,25.102,33.276,33.448,75.000,83.566,0.044
