Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,777,777.000,1407,2116,2930,14387,3878,52829,82442,217296,233784
1,679,679.000,1016,2860,3239,13154,3797,11480,67180,248915,251379
2,1337,1337.000,589,2383,2733,7363,3014,3373,11752,132475,267485
3,1543,1543.000,1481,2550,2766,6578,3151,11505,17378,58529,226434
4,878,878.000,1676,2514,2718,11196,3069,9215,65699,181540,292751
5,1450,1450.000,1388,2517,2709,7018,2952,9147,13309,103117,342373
6,1011,1011.000,1699,2552,2738,9648,3058,10069,55777,183778,309540
7,1587,1587.000,1387,2539,2742,6617,3005,8912,15160,98487,166850
8,363,363.000,1883,2742,9814,28271,20259,81244,151901,232210,286603
9,115,115.000,703,15939,105376,85194,131110,163494,205211,205502,205868
10,120,120.000,579,46113,79483,83349,129892,162641,162898,177925,178188
11,131,131.000,686,46085,70169,75367,104329,130007,144964,146356,148196
12,145,145.000,831,53963,71702,70565,94962,104984,119415,128522,128535
13,111,111.000,29009,53685,87687,90780,111569,169001,176511,187663,187907
14,133,133.000,740,44480,69934,72636,87356,103074,135807,160891,247050
15,132,132.000,715,45389,63738,76964,119156,127233,128211,162450,180351
16,108,108.000,891,61280,69879,91367,94016,168869,244977,245106,245540
17,104,104.000,670,61580,86203,93707,118886,151927,160717,183929,184136
18,159,159.000,728,35842,43942,61598,61351,136147,193333,229339,229512
19,178,178.000,739,35558,45199,57119,77598,95380,105552,105858,118818
20,137,137.000,18510,35272,52681,72963,102218,152416,160618,193837,193972
21,112,112.000,708,60264,110191,93529,126971,143830,144266,144631,168665
22,179,179.000,821,35390,44737,54060,60637,109745,110907,183898,193492
23,170,170.000,11588,42772,59283,58103,69985,101560,101932,102168,120901
24,158,158.000,722,43349,59685,63940,77462,94717,168705,169332,169400
25,147,147.000,1020,35701,59811,67282,85251,117631,143191,177062,177295
26,164,164.000,17408,35226,43414,59232,77395,93583,176255,184970,185139
27,181,181.000,17847,34897,43871,55642,68428,92631,135057,143131,143535
28,162,162.000,869,43163,52390,62479,76663,126581,134615,152724,153254
29,176,176.000,635,34902,59515,57964,76990,86216,125949,126657,126920
30,189,189.000,703,34863,51632,54872,75772,101032,110362,119368,119521
31,180,180.000,625,41981,51939,52713,67614,69744,117677,118578,118587
32,164,164.000,1039,42793,59577,61609,70022,101735,142909,143462,143520
33,126,126.000,17893,35087,59786,80055,110502,183311,193149,209522,209773
34,113,113.000,631,59402,76614,84758,109657,142751,185195,201310,201414
35,162,162.000,700,34926,59378,61680,68780,117754,134715,167528,176723
36,200,200.000,595,34595,43229,51654,67812,85026,109081,126799,127094
37,174,174.000,856,34523,51129,55764,69128,93651,109580,126477,126820
38,163,163.000,17138,42228,51254,63764,76893,134675,151491,152207,152461
39,141,141.000,725,34181,59184,69955,92564,142303,142827,242948,243045
40,153,153.000,665,42275,43022,64140,92256,134762,168023,168077,168354
41,207,207.000,685,34238,42722,47206,52302,76598,92542,118346,135199
42,177,177.000,17344,42624,51062,58173,67464,117647,126012,126147,126487
43,199,199.000,961,34282,42918,50660,51656,76668,118083,227683,236319
44,166,166.000,25206,34551,51408,60858,75637,115691,133989,134409,150507
45,158,158.000,655,42202,51420,62674,92817,101438,134300,134611,142597
46,186,186.000,17122,34823,50896,52154,59872,84193,100897,109655,109749
47,186,186.000,705,41684,43341,55324,67577,101131,109958,142833,160075
48,175,175.000,637,34246,43194,55005,67431,101279,121725,141989,142056
49,172,172.000,828,42481,51082,59032,76390,92829,133718,134389,167075
50,208,208.000,810,34042,42844,48726,58784,75721,76184,142759,143067
51,196,196.000,679,34026,42646,49542,67804,84770,92269,93063,93304
52,187,187.000,687,34491,50553,56126,75884,108926,118017,126420,217296
53,163,163.000,624,33917,42512,60427,75980,117385,175433,175725,176185
54,163,163.000,699,42668,51044,59332,67603,100738,125968,151726,151809
55,200,200.000,644,34655,43429,50935,59326,76066,93300,126063,126068
56,148,148.000,586,42093,67510,67653,92440,101094,117243,117466,117770
57,173,173.000,685,34148,50649,58566,84285,100964,117235,133580,133630
58,155,155.000,661,34052,58858,63595,84306,117644,167776,201609,202143
59,197,197.000,660,34010,43128,51765,67233,92380,108774,125491,125823
60,176,176.000,638,42219,50797,57859,75685,100571,109850,117592,117707
61,128,128.000,755,42193,59236,72992,92680,150971,159186,192207,192297
62,129,129.000,825,42391,58950,78391,117312,134445,154811,184266,184585
63,118,118.000,935,58244,59454,85415,125587,167357,183939,186455,203771
64,184,184.000,715,34532,50841,54522,67347,100470,109393,142786,143025
65,160,160.000,710,42149,50515,61551,67647,109393,134270,134448,143302
66,155,155.000,676,34839,68073,69254,92499,117440,117528,134048,134627
67,191,191.000,697,25760,34087,51026,67830,106742,184366,193029,210199
68,177,177.000,744,25796,34663,55766,67850,125756,142171,142646,143236
69,225,225.000,599,25745,42177,43598,58824,75620,75963,117468,117707
70,238,238.000,598,25612,26007,43233,51001,92327,117293,134362,142283
71,185,185.000,769,25602,33882,55101,58828,134272,183918,192143,192295
72,200,200.000,663,25781,34552,46030,58827,84528,108630,133953,133953
73,104,104.000,694,50694,100429,98679,134352,175995,192419,192450,192699
74,195,195.000,649,34068,42447,50622,66805,84028,116910,117357,117637
75,116,116.000,637,50979,83875,88174,118733,158968,175609,175653,175666
76,163,163.000,17660,42320,58540,63158,84026,108909,117258,125808,125936
77,127,127.000,25278,42601,51146,78413,92577,150497,150750,151100,158683
78,110,110.000,33516,42640,84388,98669,117439,143080,275681,275743,276111
79,150,150.000,17143,42014,58802,61888,84590,92819,109111,109244,126012
80,159,159.000,597,26226,43103,58627,92304,108741,117186,117428,117454
81,131,131.000,985,42533,67924,79000,125412,133850,150473,158933,159009
82,82,82.000,654,100639,134667,125620,142514,158961,166990,167107,167107
83,112,112.000,682,50536,67297,91026,133997,167908,192548,217531,218032
84,95,95.000,25369,75430,83568,98933,125464,175165,175482,217063,217063
85,147,147.000,24933,34152,66854,66994,92195,125354,134351,134528,134759
86,134,134.000,789,42114,50593,75527,117310,158810,185280,185481,185739
87,139,139.000,579,34156,58906,77034,100514,158852,200683,209046,209110
88,140,140.000,752,42025,50786,66880,92242,125594,150572,150883,159160
89,193,193.000,678,34126,42340,52204,67081,83890,108715,142819,143081
90,162,162.000,647,33881,42694,60006,83908,100795,117843,167342,167617
91,175,175.000,665,42038,50776,57055,67195,84279,142091,158965,158966
92,171,171.000,818,41783,46917,58516,61072,100534,142460,183828,192585
93,188,188.000,867,33824,42622,56970,66949,108966,167090,168232,176249
94,144,144.000,771,33691,42563,65062,76094,125338,183464,183638,183682
95,186,186.000,598,33894,50107,53465,67510,92425,109155,117366,125908
96,149,149.000,595,41971,50480,65693,75856,158690,158871,192028,192252
97,189,189.000,615,34031,42757,55206,67484,100588,117479,133910,134183
98,174,174.000,637,33714,42312,55612,75646,108961,158920,166925,167208
99,150,150.000,16794,35946,67188,65650,83909,108827,117257,133707,134407
100,172,172.000,756,34126,58357,60498,67227,100435,166690,167011,168469
101,167,167.000,710,33953,50329,59041,75223,127334,134026,135954,136083
102,181,181.000,715,33882,42349,57515,67292,117146,125730,167683,167809
103,173,173.000,729,34078,50478,59862,59132,133971,167346,167919,184702
104,159,159.000,732,41934,50459,56338,67304,108818,117167,117236,117253
105,132,132.000,707,50314,75626,77128,100692,133654,150508,150872,175112
106,201,201.000,6093,33911,42421,49659,59109,83528,92449,100419,100532
107,184,184.000,626,34028,50947,56832,67760,100518,117141,124411,134256
108,131,131.000,17050,50351,59082,74044,75584,133702,200403,200633,200810
109,187,187.000,601,34033,42427,53817,75688,92162,92420,101048,109152
110,167,167.000,664,41992,50397,56926,59153,117234,150044,150427,150804
111,200,200.000,658,33860,42249,54287,58700,108918,133889,142390,142612
112,173,173.000,778,33862,42260,53381,58242,117419,125531,125604,125865
113,194,194.000,612,33631,42384,51618,67816,92125,100933,117290,117604
114,182,182.000,647,33728,50463,55756,67190,108438,133577,142129,142453
115,200,200.000,688,33703,42423,49317,63913,75631,108062,125402,125477
116,177,177.000,17021,33798,42154,56671,58657,117215,150008,150444,150769
117,167,167.000,790,41884,58639,60021,75390,100174,100759,125513,126177
118,200,200.000,694,33825,42557,48821,58895,92155,100217,100698,100727
119,175,175.000,666,33843,50493,55050,67093,83949,125141,167255,167259
