Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1652398953.069969,163541,9,1
2,Payment,1652398953.069969,162144,2,1
2,Payment,1652398953.069970,166018,1,1
2,Payment,1652398953.069970,164944,0,1
2,Payment,1652398953.069970,70998,3,1
2,Payment,1652398953.070009,166226,4,1
2,Payment,1652398953.070023,70946,8,1
2,Payment,1652398953.070049,165165,5,1
2,Payment,1652398953.070088,81548,6,1
2,Payment,1652398953.141142,3560,8,1
2,Payment,1652398953.141159,3543,3,1
2,Payment,1652398953.144739,3221,8,1
2,Payment,1652398953.144739,3211,3,1
2,Payment,1652398953.147985,3042,3,1
2,Payment,1652398953.147987,3064,8,1
2,Payment,1652398953.151063,3420,3,1
2,Payment,1652398953.151066,3417,8,1
2,Payment,1652398953.151685,16698,6,1
2,Payment,1652398953.154522,3602,3,1
2,Payment,1652398953.154522,3641,8,1
2,Payment,1652398953.158159,2997,3,1
2,Payment,1652398953.158178,2950,8,1
2,Payment,1652398953.161164,2672,8,1
2,Payment,1652398953.161170,2666,3,1
2,Payment,1652398953.163873,2907,8,1
2,Payment,1652398953.163873,2717,3,1
2,Payment,1652398953.166617,3144,3,1
2,Payment,1652398953.166799,2967,8,1
2,Payment,1652398953.168426,33394,6,1
2,Payment,1652398953.169795,5775,3,1
2,Payment,1652398953.169801,5783,8,1
2,Payment,1652398953.175612,3416,3,1
2,Payment,1652398953.175628,3400,8,1
2,Payment,1652398953.179067,3240,3,1
2,Payment,1652398953.179067,3205,8,1
2,Payment,1652398953.182311,3065,8,1
2,Payment,1652398953.182335,3028,3,1
2,Payment,1652398953.185399,3173,3,1
2,Payment,1652398953.185404,3436,8,1
2,Payment,1652398953.188599,2533,3,1
2,Payment,1652398953.188870,3632,8,1
2,Payment,1652398953.191161,2444,3,1
2,Payment,1652398953.192545,3451,8,1
2,Payment,1652398953.193632,2307,3,1
2,Payment,1652398953.195968,2444,3,1
2,Payment,1652398953.196026,3346,8,1
2,Payment,1652398953.198438,2386,3,1
2,Payment,1652398953.199407,4074,8,1
2,Payment,1652398953.200851,2629,3,1
2,Payment,1652398953.201875,16752,6,1
2,Payment,1652398953.203517,4466,3,1
2,Payment,1652398953.203518,4697,8,1
2,Payment,1652398953.208011,2833,3,1
2,Payment,1652398953.208268,3933,8,1
2,Payment,1652398953.210875,2722,3,1
2,Payment,1652398953.212253,4056,8,1
2,Payment,1652398953.213623,2677,3,1
2,Payment,1652398953.216332,2860,3,1
2,Payment,1652398953.216346,3936,8,1
2,Payment,1652398953.218677,33406,6,1
2,Payment,1652398953.219220,5724,3,1
2,Payment,1652398953.220336,5093,8,1
2,Payment,1652398953.224973,2784,3,1
2,Payment,1652398953.225472,3788,8,1
2,Payment,1652398953.227784,3049,3,1
2,Payment,1652398953.229310,8763,8,1
2,Payment,1652398953.230890,10657,3,1
2,Payment,1652398953.232170,7718,2,1
2,Payment,1652398953.233602,7945,9,1
2,Payment,1652398953.235005,7108,0,1
2,Payment,1652398953.235246,8028,5,1
2,Payment,1652398953.236055,6067,1,1
2,Payment,1652398953.236294,5828,4,1
2,Payment,1652398953.236910,10487,7,1
2,Payment,1652398953.238148,5126,8,1
2,Payment,1652398953.239926,6364,2,1
2,Payment,1652398953.241597,6210,3,1
2,Payment,1652398953.241661,6141,9,1
2,Payment,1652398953.242183,7174,1,1
2,Payment,1652398953.242183,7190,4,1
2,Payment,1652398953.242200,7437,0,1
2,Payment,1652398953.243336,7392,8,1
2,Payment,1652398953.243339,6595,5,1
2,Payment,1652398953.246321,4275,2,1
2,Payment,1652398953.247461,8418,7,1
2,Payment,1652398953.247842,9205,3,1
2,Payment,1652398953.247842,7874,9,1
2,Payment,1652398953.249396,9503,1,1
2,Payment,1652398953.249396,9218,4,1
2,Payment,1652398953.249693,10725,0,1
2,Payment,1652398953.249987,9853,5,1
2,Payment,1652398953.250661,11757,2,1
2,Payment,1652398953.250784,12171,8,1
2,Payment,1652398953.252128,108568,6,1
2,Payment,1652398953.255777,15514,9,1
2,Payment,1652398953.255934,15632,7,1
2,Payment,1652398953.257093,8040,3,1
2,Payment,1652398953.258650,6855,4,1
2,Payment,1652398953.258929,6626,1,1
2,Payment,1652398953.259868,8233,5,1
2,Payment,1652398953.260458,11450,0,1
2,Payment,1652398953.262471,8905,2,1
2,Payment,1652398953.262998,8412,8,1
2,Payment,1652398953.265171,6648,3,1
2,Payment,1652398953.265547,10799,4,1
2,Payment,1652398953.265581,10831,1,1
2,Payment,1652398953.268166,8614,5,1
2,Payment,1652398953.271354,8691,9,1
2,Payment,1652398953.271408,5250,2,1
2,Payment,1652398953.271453,8236,8,1
2,Payment,1652398953.271623,10781,7,1
2,Payment,1652398953.271861,9129,3,1
2,Payment,1652398953.271943,10942,0,1
2,Payment,1652398953.276390,6201,4,1
2,Payment,1652398953.276469,6250,1,1
2,Payment,1652398953.276689,8378,2,1
2,Payment,1652398953.276817,7898,5,1
2,Payment,1652398953.279723,7467,8,1
2,Payment,1652398953.280088,7594,9,1
2,Payment,1652398953.281021,6680,3,1
2,Payment,1652398953.282465,8970,7,1
2,Payment,1652398953.282617,9533,4,1
2,Payment,1652398953.282738,8523,1,1
2,Payment,1652398953.282908,8914,0,1
2,Payment,1652398953.284752,7710,5,1
2,Payment,1652398953.285115,8039,2,1
2,Payment,1652398953.287444,8462,8,1
2,Payment,1652398953.287736,9660,9,1
2,Payment,1652398953.287738,9048,3,1
2,Payment,1652398953.291310,6896,1,1
2,Payment,1652398953.291497,8808,7,1
2,Payment,1652398953.291856,6849,0,1
2,Payment,1652398953.292218,11396,4,1
2,Payment,1652398953.292499,11102,5,1
2,Payment,1652398953.293196,10957,2,1
2,Payment,1652398953.295939,7747,8,1
2,Payment,1652398953.296819,7286,3,1
2,Payment,1652398953.297448,7656,9,1
2,Payment,1652398953.298258,8779,1,1
2,Payment,1652398953.298774,10069,0,1
2,Payment,1652398953.300377,10025,7,1
2,Payment,1652398953.303666,10996,5,1
2,Payment,1652398953.303679,10539,4,1
2,Payment,1652398953.303737,10306,8,1
2,Payment,1652398953.304155,10510,3,1
2,Payment,1652398953.304212,11224,2,1
2,Payment,1652398953.305144,10897,9,1
2,Payment,1652398953.307079,8883,1,1
2,Payment,1652398953.308868,10886,0,1
2,Payment,1652398953.310475,11009,7,1
2,Payment,1652398953.314104,9372,8,1
2,Payment,1652398953.314277,10719,4,1
2,Payment,1652398953.314707,11950,3,1
2,Payment,1652398953.314721,10736,5,1
2,Payment,1652398953.315488,11432,2,1
2,Payment,1652398953.315994,10612,1,1
2,Payment,1652398953.316085,12262,9,1
2,Payment,1652398953.319793,10744,0,1
2,Payment,1652398953.321539,12754,7,1
2,Payment,1652398953.323527,10488,8,1
2,Payment,1652398953.325037,11200,4,1
2,Payment,1652398953.325507,11195,5,1
2,Payment,1652398953.326643,11035,1,1
2,Payment,1652398953.326672,11344,3,1
2,Payment,1652398953.326975,10822,2,1
2,Payment,1652398953.328395,11680,9,1
2,Payment,1652398953.330576,11443,0,1
2,Payment,1652398953.334062,10406,8,1
2,Payment,1652398953.334350,11298,7,1
2,Payment,1652398953.336273,9240,4,1
2,Payment,1652398953.336754,9766,5,1
2,Payment,1652398953.337712,12058,1,1
2,Payment,1652398953.337833,12000,2,1
2,Payment,1652398953.338040,57368,3,1
2,Payment,1652398953.340117,10739,9,1
2,Payment,1652398953.342065,62098,0,1
2,Payment,1652398953.344520,7384,8,1
2,Payment,1652398953.345559,11648,4,1
2,Payment,1652398953.345704,11398,7,1
2,Payment,1652398953.346567,57425,5,1
2,Payment,1652398953.349808,4368,1,1
2,Payment,1652398953.349889,7132,2,1
2,Payment,1652398953.350896,6124,9,1
2,Payment,1652398953.351948,5738,8,1
2,Payment,1652398953.354213,6927,1,1
2,Payment,1652398953.357064,6567,9,1
2,Payment,1652398953.357064,57356,2,1
2,Payment,1652398953.357163,12311,7,1
2,Payment,1652398953.357249,6465,4,1
2,Payment,1652398953.357700,8647,8,1
2,Payment,1652398953.360738,5549,6,1
2,Payment,1652398953.361174,5203,1,1
2,Payment,1652398953.363718,7238,9,1
2,Payment,1652398953.363760,6714,4,1
2,Payment,1652398953.366322,7160,6,1
2,Payment,1652398953.366382,36435,8,1
2,Payment,1652398953.366393,7463,1,1
2,Payment,1652398953.369525,6903,7,1
2,Payment,1652398953.370514,5136,4,1
2,Payment,1652398953.370999,5440,9,1
2,Payment,1652398953.373516,5862,6,1
2,Payment,1652398953.374339,28762,1,1
2,Payment,1652398953.375691,28799,4,1
2,Payment,1652398953.376472,28422,7,1
2,Payment,1652398953.376482,7855,9,1
2,Payment,1652398953.379445,6557,6,1
2,Payment,1652398953.384379,3817,9,1
2,Payment,1652398953.386033,3849,6,1
2,Payment,1652398953.388237,3541,9,1
2,Payment,1652398953.389916,3332,6,1
2,Payment,1652398953.391826,3581,9,1
2,Payment,1652398953.393283,3302,6,1
2,Payment,1652398953.395454,36921,9,1
2,Payment,1652398953.395476,10162,3,1
2,Payment,1652398953.396620,6480,6,1
2,Payment,1652398953.402861,6598,8,1
2,Payment,1652398953.403133,5978,1,1
2,Payment,1652398953.403133,5402,6,1
2,Payment,1652398953.404014,9521,5,1
2,Payment,1652398953.404182,9573,0,1
2,Payment,1652398953.404545,9361,4,1
2,Payment,1652398953.404944,10835,7,1
2,Payment,1652398953.405706,8289,3,1
2,Payment,1652398953.408572,5232,6,1
2,Payment,1652398953.409132,8827,1,1
2,Payment,1652398953.409504,6177,8,1
2,Payment,1652398953.413573,87212,5,1
2,Payment,1652398953.413776,10426,0,1
2,Payment,1652398953.413850,6896,6,1
2,Payment,1652398953.413963,8103,4,1
2,Payment,1652398953.414015,8288,3,1
2,Payment,1652398953.414472,7699,2,1
2,Payment,1652398953.415702,85049,8,1
2,Payment,1652398953.415832,9720,7,1
2,Payment,1652398953.418008,7027,1,1
2,Payment,1652398953.420780,4698,6,1
2,Payment,1652398953.422118,5303,4,1
2,Payment,1652398953.422217,5451,2,1
2,Payment,1652398953.422323,78435,3,1
2,Payment,1652398953.424245,6465,0,1
2,Payment,1652398953.425087,4064,1,1
2,Payment,1652398953.425494,3328,6,1
2,Payment,1652398953.425604,7148,7,1
2,Payment,1652398953.427472,3711,4,1
2,Payment,1652398953.427712,4392,2,1
2,Payment,1652398953.428860,4541,6,1
2,Payment,1652398953.429169,348691,1,1
2,Payment,1652398953.430751,6298,0,1
2,Payment,1652398953.431235,7903,4,1
2,Payment,1652398953.432164,10753,2,1
2,Payment,1652398953.432420,9946,9,1
2,Payment,1652398953.432806,6436,7,1
2,Payment,1652398953.433444,5729,6,1
2,Payment,1652398953.437097,340677,0,1
2,Payment,1652398953.439232,6747,4,1
2,Payment,1652398953.439239,5912,6,1
2,Payment,1652398953.439324,5297,7,1
2,Payment,1652398953.442474,6350,9,1
2,Payment,1652398953.442998,8174,2,1
2,Payment,1652398953.444699,3910,7,1
2,Payment,1652398953.445188,3709,6,1
2,Payment,1652398953.446022,4469,4,1
2,Payment,1652398953.448684,5308,7,1
2,Payment,1652398953.448875,7472,9,1
2,Payment,1652398953.448927,5106,6,1
2,Payment,1652398953.450542,5788,4,1
2,Payment,1652398953.451244,362520,2,1
2,Payment,1652398953.454027,279292,7,1
2,Payment,1652398953.454061,278775,6,1
2,Payment,1652398953.456371,278177,4,1
2,Payment,1652398953.456421,357492,9,1
2,Payment,1652398953.500804,312908,8,1
2,Payment,1652398953.500807,312926,3,1
2,Payment,1652398953.500808,312988,5,1
2,Payment,1652398953.732910,5745,6,1
2,Payment,1652398953.733335,5305,7,1
2,Payment,1652398953.734581,6373,4,1
2,Payment,1652398953.738656,5457,7,1
2,Payment,1652398953.738685,4471,6,1
2,Payment,1652398953.740991,5967,4,1
2,Payment,1652398953.743188,4539,6,1
2,Payment,1652398953.744129,5096,7,1
2,Payment,1652398953.746993,6604,4,1
2,Payment,1652398953.747758,4481,6,1
2,Payment,1652398953.749242,4692,7,1
2,Payment,1652398953.752270,4758,6,1
2,Payment,1652398953.753634,6249,4,1
2,Payment,1652398953.753950,5131,7,1
2,Payment,1652398953.757058,4002,6,1
2,Payment,1652398953.759113,5811,7,1
2,Payment,1652398953.759919,5361,4,1
2,Payment,1652398953.761087,3713,6,1
2,Payment,1652398953.764817,3296,6,1
2,Payment,1652398953.764956,5485,7,1
2,Payment,1652398953.765317,5699,4,1
2,Payment,1652398953.768130,3334,6,1
2,Payment,1652398953.770473,5505,7,1
2,Payment,1652398953.771054,5853,4,1
2,Payment,1652398953.771480,3210,6,1
2,Payment,1652398953.774707,3291,6,1
2,Payment,1652398953.776006,96599,7,1
2,Payment,1652398953.776943,5521,4,1
2,Payment,1652398953.777791,94679,0,1
2,Payment,1652398953.777889,94693,1,1
2,Payment,1652398953.778009,3375,6,1
2,Payment,1652398953.781405,3282,6,1
2,Payment,1652398953.782501,5574,4,1
2,Payment,1652398953.784702,3278,6,1
2,Payment,1652398953.787994,3519,6,1
2,Payment,1652398953.788112,5726,4,1
2,Payment,1652398953.791529,3460,6,1
2,Payment,1652398953.793876,5578,4,1
2,Payment,1652398953.795006,3100,6,1
2,Payment,1652398953.798122,58863,6,1
2,Payment,1652398953.799491,59126,4,1
2,Payment,1652398953.813723,68211,8,1
2,Payment,1652398953.813767,68212,3,1
2,Payment,1652398953.813795,68313,2,1
2,Payment,1652398953.813807,68223,5,1
2,Payment,1652398953.813960,68212,9,1
2,Payment,1652398953.857012,4427,6,1
2,Payment,1652398953.858653,5379,4,1
2,Payment,1652398953.861462,4267,6,1
2,Payment,1652398953.864069,5318,4,1
2,Payment,1652398953.865755,4417,6,1
2,Payment,1652398953.869425,5392,4,1
2,Payment,1652398953.870195,4396,6,1
2,Payment,1652398953.872481,3573,0,1
2,Payment,1652398953.872618,43425,1,1
2,Payment,1652398953.872626,43422,7,1
2,Payment,1652398953.874615,4823,6,1
2,Payment,1652398953.874854,41156,4,1
2,Payment,1652398953.876079,3349,0,1
2,Payment,1652398953.879453,79450,6,1
2,Payment,1652398953.879455,4358,0,1
2,Payment,1652398953.881948,76838,8,1
2,Payment,1652398953.882014,76904,3,1
2,Payment,1652398953.882040,76730,5,1
2,Payment,1652398953.882150,76711,2,1
2,Payment,1652398953.882209,5856,9,1
2,Payment,1652398953.883833,4160,0,1
2,Payment,1652398953.888010,3841,0,1
2,Payment,1652398953.888088,4684,9,1
2,Payment,1652398953.891860,66910,0,1
2,Payment,1652398953.892798,4429,9,1
2,Payment,1652398953.897249,27076,9,1
2,Payment,1652398953.916047,8609,4,1
2,Payment,1652398953.916081,9013,7,1
2,Payment,1652398953.916081,8616,1,1
2,Payment,1652398953.924364,4968,9,1
2,Payment,1652398953.924693,6109,4,1
2,Payment,1652398953.924733,5166,1,1
2,Payment,1652398953.925111,5313,7,1
2,Payment,1652398953.929367,289808,9,1
2,Payment,1652398953.929935,289460,1,1
2,Payment,1652398953.930443,44907,7,1
2,Payment,1652398953.930839,4856,4,1
2,Payment,1652398953.935731,39545,4,1
2,Payment,1652398953.958783,260343,5,1
2,Payment,1652398953.958783,260343,0,1
2,Payment,1652398953.958805,260332,8,1
2,Payment,1652398953.958929,260134,6,1
2,Payment,1652398953.958942,260228,2,1
2,Payment,1652398953.958954,260179,3,1
2,Payment,1652398953.975315,243810,4,1
2,Payment,1652398953.975384,5209,7,1
2,Payment,1652398953.980625,5166,7,1
2,Payment,1652398953.985823,233347,7,1
2,Payment,1652398954.219091,50112,6,1
2,Payment,1652398954.219158,75820,8,1
2,Payment,1652398954.219199,75821,3,1
2,Payment,1652398954.219217,75830,7,1
2,Payment,1652398954.219238,75812,2,1
2,Payment,1652398954.219246,75853,9,1
2,Payment,1652398954.219254,75860,4,1
2,Payment,1652398954.219312,75738,0,1
2,Payment,1652398954.219327,75728,5,1
2,Payment,1652398954.219437,75786,1,1
2,Payment,1652398954.269230,3292,6,1
2,Payment,1652398954.272545,2451,6,1
2,Payment,1652398954.275018,2580,6,1
2,Payment,1652398954.277618,2515,6,1
2,Payment,1652398954.280155,2467,6,1
2,Payment,1652398954.282643,2313,6,1
2,Payment,1652398954.284977,2496,6,1
2,Payment,1652398954.287493,2327,6,1
2,Payment,1652398954.289840,2385,6,1
2,Payment,1652398954.292247,2338,6,1
2,Payment,1652398954.294606,3183,6,1
2,Payment,1652398954.294988,93232,8,1
2,Payment,1652398954.295078,93155,3,1
2,Payment,1652398954.295091,93142,7,1
2,Payment,1652398954.295122,93102,2,1
2,Payment,1652398954.295130,7401,5,1
2,Payment,1652398954.295130,93229,0,1
2,Payment,1652398954.295148,6261,4,1
2,Payment,1652398954.295160,7931,9,1
2,Payment,1652398954.295274,6720,1,1
2,Payment,1652398954.297818,90328,6,1
2,Payment,1652398954.301443,86775,4,1
2,Payment,1652398954.302033,86355,1,1
2,Payment,1652398954.302566,85645,5,1
2,Payment,1652398954.303127,110104,9,1
2,Payment,1652398954.388175,10664,6,1
2,Payment,1652398954.388242,110366,8,1
2,Payment,1652398954.388274,12137,4,1
2,Payment,1652398954.388288,110223,2,1
2,Payment,1652398954.388294,110306,5,1
2,Payment,1652398954.388308,110291,3,1
2,Payment,1652398954.388309,12156,7,1
2,Payment,1652398954.388381,110219,0,1
2,Payment,1652398954.388429,12790,1,1
2,Payment,1652398954.398865,5212,6,1
2,Payment,1652398954.400443,5684,4,1
2,Payment,1652398954.400496,5923,7,1
2,Payment,1652398954.401251,5718,1,1
2,Payment,1652398954.404103,4749,6,1
2,Payment,1652398954.406159,4978,4,1
2,Payment,1652398954.406447,5363,7,1
