Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,207.200,48.234,2.307,4.017,9.503,75.910,119.014,192.767,325.836,362.520,0.021
5,245.200,40.729,2.964,3.736,34.122,59.167,100.615,117.489,176.750,192.968,0.025
10,283.200,35.588,2.914,3.605,25.597,50.702,83.895,109.133,168.015,242.883,0.028
15,278.800,35.537,2.832,3.492,25.496,50.280,92.451,109.279,183.404,191.953,0.028
20,281.400,35.505,2.770,3.126,33.593,58.697,83.621,100.615,134.366,208.944,0.028
25,329.800,30.362,1.558,3.353,16.967,40.792,92.072,133.711,184.333,217.403,0.033
30,355.200,28.152,1.351,3.212,16.833,17.336,91.987,133.862,192.040,200.920,0.036
35,366.600,27.686,2.757,3.717,16.883,17.117,75.382,117.532,190.274,200.055,0.036
40,304.000,32.337,2.770,16.788,16.935,25.402,83.457,108.469,183.665,225.675,0.031
45,292.400,34.233,4.818,16.790,16.888,25.078,83.633,108.949,184.067,192.064,0.029
50,292.000,33.981,16.458,16.810,16.938,41.791,75.228,108.398,122.643,166.844,0.029
55,292.000,34.730,16.294,16.790,16.932,33.761,83.527,108.443,158.443,200.030,0.029
60,260.200,37.944,5.371,16.781,16.951,42.194,75.280,108.458,175.023,525.385,0.026
65,201.400,49.846,16.425,16.798,17.025,67.102,116.881,158.412,193.677,241.926,0.020
70,276.200,36.040,16.346,16.750,16.862,41.527,83.625,133.302,184.374,233.381,0.028
75,266.000,37.508,4.838,16.733,16.827,33.611,100.432,125.076,166.886,208.471,0.027
80,258.200,38.862,4.062,16.732,16.839,41.606,108.361,141.812,183.356,233.397,0.026
85,292.000,34.184,4.753,16.749,16.876,33.843,83.489,116.709,158.434,200.161,0.029
90,298.400,33.972,4.848,16.736,16.881,41.728,83.359,108.486,141.762,158.577,0.029
95,252.800,39.408,4.963,16.738,16.903,50.177,100.086,116.883,150.094,183.489,0.025
100,295.400,33.903,16.242,16.721,16.874,41.895,75.143,100.096,133.458,141.814,0.029
105,296.800,33.054,4.318,16.718,16.822,33.424,83.536,108.362,149.923,158.574,0.030
110,290.000,34.449,16.347,16.719,16.823,33.502,83.431,108.239,166.806,208.051,0.029
115,280.200,35.558,4.993,16.718,16.815,41.849,83.505,116.642,141.761,158.457,0.028
