Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,368,368.000,2307,4758,7238,30732,11035,76838,243810,340677,362520
1,180,180.000,2313,3935,12156,47946,84098,148022,176342,209635,209703
2,106,106.000,3560,4474,75927,94719,118753,300801,325842,358713,358901
3,179,179.000,3344,3780,59042,61572,102438,176488,192735,235029,235029
4,203,203.000,3074,3907,34590,44182,68320,117684,134471,150362,151123
5,205,205.000,3063,3877,34888,48598,84541,101007,126060,167354,167451
6,260,260.000,3075,3722,34325,38483,55095,101909,109329,118216,120060
7,217,217.000,3442,3864,34016,46493,59312,159144,175988,192864,192968
8,288,288.000,2979,3737,34055,34326,43100,92586,101103,125871,125879
9,256,256.000,2964,3345,33772,39022,59037,99859,117899,192136,192156
10,317,317.000,2996,3606,25663,31159,42330,84130,108804,150288,150650
11,291,291.000,2917,3590,25787,34432,50974,75824,84519,142320,142437
12,313,313.000,2914,3542,17415,33249,50696,83858,117686,150779,158984
13,242,242.000,3279,3757,32610,39739,67156,106349,133693,158987,159123
14,253,253.000,3309,3526,23913,41386,67025,108903,168101,242758,242883
15,280,280.000,2873,3408,25823,33789,42263,67499,92140,191763,191953
16,296,296.000,3273,3542,25300,36133,42374,108626,142277,175419,175598
17,312,312.000,2858,3154,22558,30036,33947,97713,109220,158976,159061
18,252,252.000,2872,3634,33773,40599,67026,92313,100315,108691,108775
19,254,254.000,2832,3848,33600,38502,49335,108622,133781,183684,183876
20,276,276.000,2847,3220,42019,37882,58711,92046,108738,208798,208944
21,294,294.000,2851,3113,26123,33818,50490,83655,108994,134220,134366
22,305,305.000,2784,3051,33575,31085,50279,75158,83614,92406,92582
23,288,288.000,2770,2997,33558,37851,67028,92249,100599,142652,143304
24,244,244.000,2802,3262,33594,37602,67009,83963,117124,142072,142196
25,227,227.000,2769,3020,25573,45598,75382,117376,141938,151191,151257
26,298,298.000,1558,2555,3018,33438,42666,134090,167728,200049,200223
27,449,449.000,2827,15908,17040,21644,25434,50491,66892,67399,67654
28,356,356.000,2860,3623,16983,29090,17270,92141,117128,217326,217403
29,319,319.000,3201,4319,16959,30333,25343,108382,116905,166955,175446
30,408,408.000,1351,3278,16875,23928,17164,58754,108903,192094,192326
31,462,462.000,2749,3143,16871,23536,17052,58595,117427,200697,200920
32,371,371.000,1536,2951,3743,25644,17344,89776,116860,192056,192124
33,198,198.000,2757,2909,3298,49969,108477,166931,175353,183776,183899
34,337,337.000,2877,3747,16891,29533,33497,75423,133452,166814,166884
35,375,375.000,3204,3627,16911,27200,17218,75271,116105,175578,178773
36,319,319.000,3249,15103,16907,29998,17385,100248,141831,191872,192017
37,436,436.000,2757,3417,16872,24858,17078,75053,108387,158126,183568
38,361,361.000,2851,15578,16877,25332,17108,75241,83512,133651,133663
39,342,342.000,2771,3309,16869,32151,17051,99970,158646,192369,200055
40,339,339.000,2818,3362,16842,27041,17883,75076,141975,166840,208430
41,321,321.000,2770,16814,16993,31885,33867,67109,100243,141956,142033
42,260,260.000,16113,16840,16958,36498,25203,91885,108579,225658,225675
43,330,330.000,16487,16797,16906,30511,17092,91808,133494,166829,175168
44,270,270.000,13828,16817,16965,37745,50237,83418,100225,183670,183786
45,310,310.000,16455,16807,16921,33854,25069,91841,100125,184082,184218
46,249,249.000,16551,16802,16894,38399,50060,83672,125237,192010,192064
47,272,272.000,5529,16805,16895,36346,42290,100373,116987,150215,150283
48,248,248.000,16496,16798,16921,39547,25084,108559,141929,167034,191847
49,383,383.000,4818,16746,16848,26888,17033,66818,83506,99869,108646
50,297,297.000,16474,16817,16933,34060,50228,75311,91853,122646,122886
51,263,263.000,16517,16835,16935,36178,41916,75782,91885,166696,166844
52,310,310.000,16458,16810,16925,32433,33914,75131,83677,108554,108665
53,290,290.000,16564,16780,16936,35938,41952,83734,116759,116993,117079
54,300,300.000,16477,16800,16963,31683,41596,66831,108312,116853,116895
55,287,287.000,16500,16813,16922,35955,33395,100400,133387,150033,150112
56,300,300.000,16538,16794,16933,34204,41732,91867,100124,108569,108623
57,320,320.000,16294,16781,16919,29476,33310,66761,91520,100199,133366
58,300,300.000,16524,16823,17010,35500,41739,91619,108438,158443,158492
59,253,253.000,16481,16756,16866,39692,41712,99615,158348,199982,200030
60,120,120.000,16533,16747,16931,78014,58366,141889,525178,525275,525385
61,267,267.000,16580,16797,24988,38023,50083,99910,116639,141785,141942
62,353,353.000,16502,16770,16895,28153,25089,58570,83265,100165,116971
63,261,261.000,5371,16842,25242,39148,50036,83435,108506,175042,175225
64,300,300.000,16459,16772,16907,32315,41932,58583,100084,150327,150436
65,189,189.000,16544,16811,33463,54858,58650,158324,193675,208481,208567
66,108,108.000,25094,66878,107329,92421,116788,125251,125296,166538,166781
67,172,172.000,16425,16938,41637,55095,83963,108666,166813,241704,241926
68,298,298.000,16440,16756,16843,36637,17025,108344,166625,191790,191790
69,240,240.000,16483,16765,16922,39378,49899,100203,133140,183079,183416
70,310,310.000,16346,16727,16832,33499,33534,75093,133394,150246,158514
71,222,222.000,16537,16731,17022,42982,58324,108212,141738,158461,158674
72,318,318.000,16418,16746,16855,30698,24946,58561,116853,184374,208693
73,251,251.000,16409,16780,16923,40703,41766,108285,150121,192022,233381
74,280,280.000,16384,16759,16843,35236,49991,100083,125190,158510,158602
75,270,270.000,15707,16693,16815,38085,41673,125039,158483,158747,208471
76,220,220.000,16355,16722,16884,43329,75189,100316,116687,117035,183663
77,289,289.000,16429,16736,16811,36482,17547,116648,124387,175203,175312
78,241,241.000,16497,16748,16830,40345,33444,108488,166755,166869,166906
79,310,310.000,4838,16747,16828,31624,25946,66960,100083,166734,166886
80,239,239.000,16552,16724,16858,41559,50264,108534,141879,158316,183356
81,272,272.000,16416,16739,16815,37896,24628,133298,141822,150317,191776
82,201,201.000,4990,16751,16918,48212,66971,108439,150169,233350,233397
83,349,349.000,4062,16723,16831,29124,33338,74966,91551,100010,125321
84,230,230.000,16523,16710,16830,43802,66657,141812,158247,166707,166744
85,232,232.000,16437,16743,16839,42059,74965,124904,125070,158567,200161
86,358,358.000,4753,16744,16842,27921,25005,50162,83430,158438,158590
87,263,263.000,16446,16775,16898,39302,50111,108347,116798,133304,133357
88,317,317.000,16428,16762,16916,30441,33586,75414,91821,100071,108408
89,290,290.000,16399,16758,16927,35061,49871,75113,116749,166858,166958
90,273,273.000,16452,16790,16982,35807,33967,66965,108486,158511,158577
91,339,339.000,16288,16727,16855,29548,24984,75163,91716,141904,141962
92,298,298.000,16431,16758,16928,34529,49894,83386,125022,125528,125841
93,275,275.000,4848,16717,16894,35310,50031,75145,100150,116806,116828
94,307,307.000,16359,16706,16809,35484,41766,91294,125060,133604,150925
95,283,283.000,16397,16730,16923,32095,41844,75255,83555,125062,125119
96,300,300.000,16416,16716,16860,34161,33604,83565,100615,116710,116865
97,277,277.000,16365,16735,16892,38115,50111,91985,108456,133404,133525
98,191,191.000,4963,16752,16900,53111,91635,133539,166581,183320,183489
99,213,213.000,16504,16801,25154,45906,66734,108562,124961,150094,150207
100,250,250.000,16401,16721,16865,36926,58387,75123,100006,108555,108556
101,310,310.000,16242,16723,16876,32590,25597,76441,91879,125207,141762
102,297,297.000,16326,16725,16901,34551,33595,83525,108282,133517,133773
103,303,303.000,16316,16720,16867,32116,50251,75048,83358,100087,100111
104,317,317.000,16407,16718,16859,33900,33313,91745,125216,133582,141814
105,250,250.000,16375,16740,16848,37026,33422,92174,149826,158503,158574
106,333,333.000,16123,16709,16813,29433,17335,75169,91782,116712,116869
107,260,260.000,16445,16747,17001,39624,42301,108359,116700,141590,141714
108,308,308.000,4318,16722,16826,32881,42001,74839,116658,116929,150162
109,333,333.000,16354,16690,16784,28720,16974,66893,100035,108374,116803
110,260,260.000,16452,16741,17052,38548,74901,83366,91784,150204,150259
111,307,307.000,16347,16722,16813,32482,33312,83493,100024,166806,166956
112,303,303.000,16380,16705,16807,34051,42084,83443,108537,150222,166856
113,350,350.000,16425,16713,16803,27722,25154,58370,75220,100156,100228
114,230,230.000,16410,16718,16833,43196,42026,133381,141718,208005,208051
115,231,231.000,4993,16758,25017,44102,75320,91781,108400,116666,116697
116,300,300.000,16443,16715,16771,32839,41577,83503,108378,158272,158457
117,267,267.000,16391,16719,16846,38834,58383,100154,125045,141760,141761
118,350,350.000,16359,16701,16776,29835,33459,66832,75121,141738,141839
119,253,253.000,16493,16718,16827,35437,33660,83370,116854,158260,158365
