Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1652397161.885521,86621,0,1
1,NewOrder,1652397161.972419,33255,0,1
1,NewOrder,1652397162.005722,33961,0,1
1,NewOrder,1652397162.039732,42104,0,1
1,NewOrder,1652397162.081880,42019,0,1
1,NewOrder,1652397162.123948,34132,0,1
1,NewOrder,1652397162.158129,83615,0,1
1,NewOrder,1652397162.241792,84012,0,1
1,NewOrder,1652397162.325851,33642,0,1
1,NewOrder,1652397162.359534,34111,0,1
1,NewOrder,1652397162.393687,33600,0,1
1,NewOrder,1652397162.427331,42091,0,1
1,NewOrder,1652397162.469466,42571,0,1
1,NewOrder,1652397162.512078,25209,0,1
1,NewOrder,1652397162.537326,25597,0,1
1,NewOrder,1652397162.562961,33756,0,1
1,NewOrder,1652397162.596759,25559,0,1
1,NewOrder,1652397162.622359,25211,0,1
1,NewOrder,1652397162.647610,100458,0,1
1,NewOrder,1652397162.748109,16689,0,1
1,NewOrder,1652397162.764837,33925,0,1
1,NewOrder,1652397162.798829,50247,0,1
1,NewOrder,1652397162.849117,33810,0,1
1,NewOrder,1652397162.882968,108465,0,1
1,NewOrder,1652397162.991471,25265,0,1
1,NewOrder,1652397163.016774,75251,0,1
1,NewOrder,1652397163.092064,25378,0,1
1,NewOrder,1652397163.117494,25140,0,1
1,NewOrder,1652397163.142673,25404,0,1
1,NewOrder,1652397163.168116,25583,0,1
1,NewOrder,1652397163.193739,25207,0,1
1,NewOrder,1652397163.218984,25010,0,1
1,NewOrder,1652397163.244038,66981,0,1
1,NewOrder,1652397163.311057,25196,0,1
1,NewOrder,1652397163.336290,41874,0,1
1,NewOrder,1652397163.378201,25856,0,1
1,NewOrder,1652397163.404100,25184,0,1
1,NewOrder,1652397163.429322,33537,0,1
1,NewOrder,1652397163.462897,25310,0,1
1,NewOrder,1652397163.488244,66956,0,1
1,NewOrder,1652397163.555240,33520,0,1
1,NewOrder,1652397163.588800,50218,0,1
1,NewOrder,1652397163.639056,50295,0,1
1,NewOrder,1652397163.689408,33377,0,1
1,NewOrder,1652397163.722826,16805,0,1
1,NewOrder,1652397163.739668,25371,0,1
1,NewOrder,1652397163.765077,25069,0,1
1,NewOrder,1652397163.790184,91944,0,1
1,NewOrder,1652397163.882166,66751,0,1
1,NewOrder,1652397163.948955,25247,0,1
1,NewOrder,1652397163.974239,16661,0,1
