Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24.200,41.500,1.482,25.207,33.518,49.926,86.621,91.811,108.558,125.274,0.024
5,27.400,36.327,1.167,25.054,33.305,41.835,58.445,75.133,108.225,125.328,0.028
10,24.000,41.670,16.497,25.092,33.527,50.111,75.036,91.903,116.801,166.651,0.024
15,27.600,36.112,0.745,16.701,25.052,41.842,83.364,108.263,132.953,141.699,0.028
20,43.600,22.942,0.698,16.661,16.753,25.069,33.278,50.231,91.647,108.436,0.044
25,45.800,21.750,0.651,16.641,16.711,25.015,33.241,41.702,100.005,116.751,0.046
30,42.800,23.503,0.803,16.662,16.721,25.030,41.648,58.246,83.286,125.024,0.043
35,43.600,22.760,0.785,16.645,16.714,25.041,25.531,58.301,83.407,91.597,0.044
40,46.800,21.421,0.610,16.631,16.707,24.981,25.160,41.664,83.472,99.972,0.047
45,43.400,22.852,0.718,16.639,16.691,25.022,33.293,58.190,83.485,116.702,0.044
50,41.400,24.402,16.380,16.633,16.730,25.048,33.367,58.469,91.707,141.761,0.041
55,42.200,23.422,0.722,16.620,16.728,25.036,25.171,49.975,108.205,125.099,0.043
60,43.400,23.000,0.672,16.622,16.705,25.014,33.369,58.337,82.415,91.647,0.043
65,41.800,23.889,0.683,16.633,16.707,25.008,33.210,66.614,100.076,166.687,0.042
70,44.000,22.695,8.307,16.638,16.707,25.011,33.322,58.262,83.299,99.947,0.044
75,50.800,19.657,0.614,16.624,16.678,24.990,25.087,25.170,66.831,75.071,0.051
80,51.800,19.279,0.584,16.624,16.672,16.776,25.078,25.145,75.008,83.291,0.052
85,52.200,19.098,0.570,16.622,16.673,16.780,25.043,25.140,75.020,83.170,0.052
90,52.000,19.194,0.611,16.626,16.666,16.744,25.052,25.132,50.012,75.111,0.052
95,54.400,18.345,0.570,16.618,16.666,16.736,25.039,25.078,49.994,116.626,0.055
100,51.800,19.299,0.685,16.632,16.674,17.180,25.023,25.074,41.745,83.317,0.052
105,51.600,19.351,0.631,16.629,16.667,17.151,25.018,25.072,50.030,100.065,0.052
110,53.200,18.764,0.614,16.629,16.674,16.760,25.038,25.105,41.578,74.964,0.053
115,50.200,19.816,0.565,16.621,16.671,24.894,25.074,25.231,50.208,99.978,0.050
