Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,396.800,25.224,0.664,18.983,25.111,25.691,33.678,36.355,67.414,191.865,0.040
5,357.000,27.957,0.584,24.950,25.321,28.710,34.926,48.493,76.297,167.708,0.036
10,376.600,26.541,0.594,25.168,25.546,29.721,34.307,40.916,58.803,90.437,0.038
15,371.000,27.095,0.601,25.067,25.346,27.737,34.000,42.228,66.817,104.921,0.037
20,379.400,26.161,0.538,24.877,25.235,25.657,33.785,41.551,91.973,108.941,0.038
25,384.400,25.956,0.549,24.943,25.222,25.631,33.729,41.914,58.736,84.642,0.039
30,332.600,30.054,0.581,24.871,25.192,25.611,33.800,42.096,90.584,1021.473,0.033
35,379.200,26.343,0.593,24.943,25.197,25.973,33.814,41.822,54.556,133.760,0.038
40,376.800,26.532,0.554,24.956,25.208,26.078,33.919,41.917,58.542,75.737,0.038
45,382.800,26.072,0.546,24.887,25.210,26.325,33.782,41.564,58.734,75.465,0.038
50,385.000,25.955,0.521,24.914,25.163,25.390,33.662,41.722,68.293,92.178,0.039
55,390.200,25.600,0.568,24.901,25.173,25.566,33.654,34.879,58.482,91.142,0.039
60,374.400,26.700,0.553,24.889,25.169,25.641,33.784,42.651,75.101,125.482,0.037
65,378.400,26.360,0.554,24.910,25.167,25.531,33.702,41.855,74.755,150.430,0.038
70,378.000,26.471,0.541,24.992,25.174,26.183,33.749,41.871,58.430,92.088,0.038
75,386.400,25.852,0.531,24.925,25.174,25.474,33.702,41.892,58.446,67.238,0.039
80,385.400,25.892,0.535,24.891,25.175,25.648,33.719,40.837,68.686,92.032,0.039
85,386.600,25.858,0.598,24.904,25.156,25.435,33.662,34.932,58.620,108.824,0.039
90,389.000,25.626,0.529,24.884,25.156,25.426,33.610,34.185,73.816,83.928,0.039
95,393.200,25.452,0.459,24.851,25.150,25.417,33.605,34.016,74.958,91.758,0.039
100,315.600,31.625,0.529,24.942,25.162,25.398,33.659,41.383,74.960,1034.046,0.032
105,390.400,25.604,0.536,24.865,25.158,25.475,33.592,34.185,61.601,107.879,0.039
110,323.600,30.828,0.551,24.813,25.144,25.387,33.646,42.174,83.464,1068.975,0.032
115,334.400,29.756,0.479,24.889,25.152,25.417,33.640,34.466,58.861,1014.239,0.034
