Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,409.000,24.475,0.434,17.439,24.973,25.187,33.450,41.846,83.680,189.019,0.041
5,440.600,22.669,0.627,24.387,24.958,25.067,25.895,33.427,67.140,83.360,0.044
10,445.400,22.389,0.395,16.891,24.947,25.068,33.119,33.410,50.768,83.409,0.045
15,425.200,23.517,0.550,24.571,24.968,25.068,33.283,42.101,74.794,83.875,0.043
20,441.200,22.667,7.440,24.580,24.962,25.058,33.228,33.433,58.288,83.479,0.044
25,440.000,22.757,0.560,24.416,24.962,25.059,33.178,33.398,66.763,116.949,0.044
30,426.200,23.363,0.553,24.480,24.968,25.088,33.330,41.446,58.481,83.541,0.043
35,429.800,23.242,0.584,24.530,24.964,25.095,33.245,33.545,83.259,83.548,0.043
40,444.000,22.509,8.064,24.505,24.965,25.061,33.049,33.368,58.463,83.509,0.044
45,436.400,22.925,7.906,24.644,24.967,25.045,33.156,33.424,83.239,91.889,0.044
50,445.200,22.458,8.107,24.587,24.963,25.045,33.182,33.405,58.293,75.259,0.045
55,442.800,22.558,7.699,24.490,24.968,25.056,33.158,33.436,58.169,83.423,0.044
60,421.400,23.658,8.011,24.659,24.969,25.059,33.330,33.544,75.000,108.463,0.042
65,443.200,22.548,7.041,24.543,24.968,25.060,33.208,33.391,58.291,83.564,0.044
70,430.600,23.204,0.550,24.587,24.961,25.060,33.272,33.477,83.267,99.917,0.043
75,446.000,22.428,7.236,17.305,24.958,25.056,33.235,33.386,58.247,91.674,0.045
80,431.200,23.154,0.587,24.333,24.963,25.055,33.180,33.455,83.297,91.985,0.043
85,444.200,22.498,0.684,24.575,24.972,25.040,33.132,33.380,58.354,83.518,0.044
90,435.800,22.930,8.078,24.649,24.970,25.061,33.273,33.423,58.501,100.056,0.044
95,441.800,22.700,0.545,24.600,24.972,25.051,33.257,33.456,58.303,91.737,0.044
100,447.400,22.241,0.589,24.438,24.969,25.050,25.807,33.378,58.314,75.102,0.045
105,440.000,22.709,7.218,24.536,24.964,25.058,33.272,33.455,58.411,75.430,0.044
110,446.200,22.387,0.515,17.245,24.954,25.074,33.166,33.425,58.220,59.016,0.045
115,446.600,22.258,6.895,23.892,24.963,25.042,33.208,33.425,50.207,58.508,0.045
