Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,32.400,3.640,1.406,2.095,2.758,4.024,5.864,7.006,14.286,43.992,0.275
5,27.400,2.247,1.293,1.635,1.898,2.324,3.340,4.165,10.434,11.335,0.445
10,42.800,2.008,1.240,1.578,1.748,2.145,3.009,3.508,4.591,4.881,0.498
15,34.400,1.660,1.115,1.436,1.545,1.758,2.007,2.740,3.374,3.612,0.602
20,40.200,1.810,1.120,1.476,1.640,1.914,2.533,3.099,3.931,4.699,0.553
25,31.800,1.852,1.134,1.409,1.542,1.754,2.078,2.623,3.601,33.977,0.540
30,35.600,1.747,1.199,1.427,1.590,1.875,2.381,2.887,3.668,4.593,0.572
35,37.400,1.643,1.113,1.421,1.539,1.756,2.091,2.301,3.252,3.390,0.609
40,42.600,1.721,1.206,1.449,1.596,1.915,2.202,2.597,3.342,3.497,0.581
45,30.600,1.666,1.113,1.412,1.543,1.793,2.123,2.556,3.366,4.673,0.600
50,36.600,1.740,1.154,1.410,1.553,1.858,2.242,2.675,5.369,7.637,0.575
55,36.000,1.689,1.002,1.404,1.567,1.786,2.232,2.708,3.901,4.475,0.592
60,37.400,1.700,1.044,1.402,1.544,1.781,2.330,2.666,4.257,5.109,0.588
65,39.800,1.912,1.153,1.441,1.631,1.983,3.034,3.567,6.247,6.963,0.523
70,35.800,1.723,1.139,1.358,1.547,1.757,2.414,2.922,5.096,7.595,0.580
75,37.800,1.609,1.139,1.383,1.491,1.674,2.062,2.587,3.602,4.147,0.622
80,25.400,2.089,1.169,1.404,1.574,1.940,2.622,3.555,18.266,18.286,0.479
85,35.600,1.586,1.120,1.410,1.516,1.682,1.909,2.175,2.610,3.306,0.631
90,42.800,1.892,1.247,1.442,1.656,1.969,2.814,3.432,4.653,8.868,0.528
95,34.800,1.744,1.166,1.423,1.600,1.820,2.164,2.703,5.598,7.247,0.574
100,40.800,1.776,1.198,1.455,1.640,1.918,2.276,2.740,3.588,4.534,0.563
105,33.400,1.807,1.127,1.436,1.633,1.903,2.477,2.881,4.517,7.180,0.553
110,35.400,1.908,1.192,1.443,1.598,1.972,2.717,3.063,6.285,16.753,0.524
115,33.600,1.781,1.169,1.425,1.614,1.884,2.229,3.101,4.192,5.846,0.561
