Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,342.000,14.180,1.069,7.223,13.652,19.040,25.675,29.464,37.629,86.126,0.071
5,352.400,13.093,1.004,7.028,12.753,17.847,23.316,26.781,34.503,72.602,0.076
10,454.000,11.673,1.093,6.474,12.245,15.737,19.169,21.654,27.223,39.988,0.086
15,385.800,12.899,0.986,6.334,12.814,18.245,23.437,25.612,31.121,50.709,0.078
20,456.000,11.323,1.059,5.726,11.688,15.716,19.242,21.472,25.645,47.195,0.088
25,382.800,13.246,1.107,6.777,13.093,18.322,23.490,26.369,37.551,58.239,0.075
30,445.600,11.836,1.086,6.315,12.246,16.359,19.946,22.134,26.492,49.328,0.084
35,409.600,12.591,1.067,6.952,12.606,17.186,21.849,24.583,29.826,51.198,0.079
40,420.600,12.215,1.080,7.104,12.441,16.342,20.114,22.663,35.565,60.380,0.082
45,424.200,11.990,1.005,5.632,12.055,16.726,21.242,23.775,29.615,45.617,0.083
50,424.200,12.123,1.061,6.359,12.389,16.587,20.770,23.232,28.215,52.101,0.082
55,430.800,12.046,1.049,5.778,11.925,16.596,21.043,24.090,31.833,55.295,0.083
60,408.800,11.985,0.983,6.007,12.099,16.468,21.120,23.822,28.494,41.296,0.083
65,480.200,10.679,1.049,5.507,10.490,14.998,18.644,20.901,25.975,43.001,0.094
70,371.600,12.927,1.073,6.347,11.926,17.918,23.658,27.012,42.410,64.489,0.077
75,390.400,12.551,1.037,5.840,12.275,17.479,22.794,26.151,33.293,61.835,0.080
80,327.600,14.702,0.990,7.440,13.546,19.116,24.138,27.244,41.740,1018.591,0.068
85,393.600,12.537,1.147,5.688,12.800,17.732,22.109,24.621,30.279,41.107,0.080
90,442.400,11.592,1.090,6.159,11.872,15.966,19.545,21.934,27.277,39.254,0.086
95,370.000,14.128,1.139,6.966,13.072,19.030,23.191,26.042,33.048,935.188,0.071
100,442.400,11.644,1.152,6.800,11.960,15.960,19.696,21.564,25.907,49.463,0.086
105,407.400,12.481,1.137,5.934,12.435,17.321,22.292,25.378,32.270,43.214,0.080
110,386.400,13.838,1.172,7.295,13.181,17.410,21.466,24.351,29.464,1020.728,0.072
115,427.600,12.424,0.736,6.719,12.743,16.998,21.326,24.296,28.720,38.908,0.080
