Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,778.800,12.799,0.756,5.748,10.154,16.987,24.847,32.185,48.457,129.882,0.078
5,791.000,12.611,0.821,6.050,10.811,16.216,23.593,29.597,40.446,979.910,0.079
10,1001.200,9.967,0.662,5.013,8.067,13.478,18.931,23.410,35.230,71.397,0.100
15,851.200,11.720,0.696,5.293,10.935,15.553,22.500,27.060,37.199,57.104,0.085
20,1007.000,9.914,0.789,4.970,8.137,13.653,18.890,23.103,34.949,59.200,0.101
25,828.400,12.057,0.583,5.388,10.726,16.211,23.325,29.607,38.999,66.727,0.083
30,998.800,9.992,0.547,4.930,8.402,13.542,18.879,23.166,34.747,61.718,0.100
35,895.600,11.144,0.616,5.157,9.818,14.889,21.621,26.383,36.613,50.894,0.090
40,965.200,10.343,0.630,5.298,8.722,13.836,19.058,24.107,36.098,58.012,0.097
45,937.600,10.645,0.611,4.973,9.348,14.326,20.399,24.813,35.792,66.115,0.094
50,928.600,10.743,0.565,5.175,9.275,14.360,20.291,24.607,36.262,97.230,0.093
55,952.000,10.489,0.625,4.851,8.470,14.329,20.131,25.416,36.145,59.156,0.095
60,917.600,10.882,0.652,5.299,9.616,14.373,20.701,26.078,35.940,59.995,0.092
65,1042.600,9.570,0.603,4.873,7.578,12.685,18.135,22.806,35.385,67.852,0.104
70,830.600,12.019,0.680,5.227,10.043,15.785,23.788,30.352,46.871,84.678,0.083
75,863.200,11.565,0.619,5.259,10.240,15.390,22.728,27.688,38.081,72.779,0.086
80,756.600,13.209,0.656,5.812,10.882,16.564,23.315,30.077,45.043,1024.023,0.076
85,857.000,11.643,0.597,5.786,10.568,15.450,22.164,26.103,34.763,57.073,0.086
90,981.200,10.174,0.673,5.146,8.381,13.854,19.036,24.447,33.771,54.851,0.098
95,813.000,12.285,0.680,5.561,10.832,16.282,22.774,27.766,36.671,985.163,0.081
100,970.000,10.299,0.608,5.331,8.783,13.751,19.401,23.736,34.018,84.720,0.097
105,885.800,11.272,0.542,5.085,9.459,15.270,22.365,28.742,37.373,69.234,0.089
110,870.600,11.474,0.675,5.446,9.535,14.876,20.890,25.809,35.787,974.375,0.087
115,936.400,10.615,0.624,5.154,8.893,14.564,20.554,24.828,35.168,66.845,0.094
