time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,489,489.000,489.000,108931,108931,488,1
1,597,597.000,597.000,32101,32101,597,0
2,599,599.000,599.000,27739,27739,599,0
3,593,593.000,593.000,28133,28133,593,0
4,604,604.000,604.000,26612,26612,604,0
5,631,631.000,631.000,25641,25641,631,0
6,541,541.000,541.000,61915,61915,541,0
7,606,606.000,606.000,25649,25649,606,0
8,627,627.000,627.000,24909,24909,627,0
9,628,628.000,628.000,25108,25108,628,0
10,592,592.000,592.000,37707,37707,591,1
11,411,411.000,411.000,45159,45159,410,1
12,477,477.000,477.000,35398,35398,476,1
13,538,538.000,538.000,31486,31486,538,0
14,586,586.000,586.000,34211,34211,585,1
15,596,596.000,596.000,39378,39378,595,1
16,618,618.000,618.000,28593,28593,618,0
17,647,647.000,647.000,30939,30939,646,1
18,636,636.000,636.000,29503,29503,635,1
19,627,627.000,627.000,32821,32821,627,0
20,648,648.000,648.000,28546,28546,648,0
21,659,659.000,659.000,29550,29550,659,0
22,560,560.000,560.000,53628,53628,559,1
23,464,464.000,464.000,39023,39023,463,1
24,648,648.000,648.000,39210,39210,647,1
25,506,506.000,506.000,39041,39041,506,0
26,489,489.000,489.000,33074,33074,489,0
27,540,540.000,540.000,30135,30135,540,0
28,586,586.000,586.000,29672,29672,585,1
29,598,598.000,598.000,31148,31148,597,1
30,620,620.000,620.000,30845,30845,620,0
31,636,636.000,636.000,31293,31293,635,1
32,609,609.000,609.000,28964,28964,608,1
33,658,658.000,658.000,26778,26778,657,1
34,662,662.000,662.000,28099,28099,662,0
35,635,635.000,635.000,28593,28593,635,0
36,603,603.000,603.000,31848,31848,602,1
37,419,419.000,419.000,48356,48356,418,1
38,665,665.000,665.000,27454,27454,665,0
39,672,672.000,672.000,26180,26180,671,1
40,433,433.000,433.000,46116,46116,433,0
41,483,483.000,483.000,32108,32108,483,0
42,545,545.000,545.000,33484,33484,545,0
43,585,585.000,585.000,28423,28423,585,0
44,613,613.000,613.000,31343,31343,613,0
45,622,622.000,622.000,30558,30558,621,1
46,617,617.000,617.000,28191,28191,617,0
47,631,631.000,631.000,29553,29553,630,1
48,609,609.000,609.000,27140,27140,609,0
49,559,559.000,559.000,38535,38535,559,0
50,657,657.000,657.000,27596,27596,656,1
51,588,588.000,588.000,55106,55106,587,1
52,624,624.000,624.000,28287,28287,624,0
53,658,658.000,658.000,28287,28287,658,0
54,556,556.000,556.000,35964,35964,556,0
55,421,421.000,421.000,35547,35547,421,0
56,503,503.000,503.000,32263,32263,503,0
57,542,542.000,542.000,30887,30887,541,1
58,555,555.000,555.000,32853,32853,555,0
59,593,593.000,593.000,43187,43187,593,0
60,630,630.000,630.000,27307,27307,629,1
61,642,642.000,642.000,27611,27611,641,1
62,629,629.000,629.000,27794,27794,628,1
63,629,629.000,629.000,43361,43361,629,0
64,642,642.000,642.000,28665,28665,641,1
65,658,658.000,658.000,27023,27023,658,0
66,599,599.000,599.000,41063,41063,599,0
67,642,642.000,642.000,30256,30256,641,1
68,515,515.000,515.000,53396,53396,515,0
69,393,393.000,393.000,48089,48089,393,0
70,444,444.000,444.000,38297,38297,444,0
71,538,538.000,538.000,32947,32947,537,1
72,554,554.000,554.000,32529,32529,553,1
73,571,571.000,571.000,31060,31060,570,1
74,611,611.000,611.000,28791,28791,611,0
75,611,611.000,611.000,29784,29784,611,0
76,528,528.000,528.000,27740,27740,527,1
77,614,614.000,614.000,35167,35167,614,0
78,622,622.000,622.000,33741,33741,622,0
79,550,550.000,550.000,43547,43547,549,1
80,678,678.000,678.000,26653,26653,678,0
81,594,594.000,594.000,33712,33712,594,0
82,424,424.000,424.000,36899,36899,423,1
83,490,490.000,490.000,34909,34909,489,1
84,496,496.000,496.000,36006,36006,496,0
85,567,567.000,567.000,32443,32443,567,0
86,606,606.000,606.000,28103,28103,605,1
87,649,649.000,649.000,29433,29433,649,0
88,603,603.000,603.000,30406,30406,603,0
89,627,627.000,627.000,30553,30553,627,0
90,655,655.000,655.000,31069,31069,655,0
91,651,651.000,651.000,28479,28479,650,1
92,633,633.000,633.000,33355,33355,633,0
93,653,653.000,653.000,26729,26729,653,0
94,590,590.000,590.000,58145,58145,589,1
95,580,580.000,580.000,42564,42564,579,1
96,597,597.000,597.000,39822,39822,597,0
97,417,417.000,417.000,34750,34750,416,1
98,478,478.000,478.000,32664,32664,478,0
99,561,561.000,561.000,33885,33885,561,0
100,578,578.000,578.000,30812,30812,578,0
101,603,603.000,603.000,28798,28798,602,1
102,655,655.000,655.000,28418,28418,655,0
103,618,618.000,618.000,30201,30201,618,0
104,638,638.000,638.000,27671,27671,637,1
105,644,644.000,644.000,28311,28311,644,0
106,649,649.000,649.000,31648,31648,649,0
107,654,654.000,654.000,26554,26554,654,0
108,599,599.000,599.000,60385,60385,599,0
109,625,625.000,625.000,28852,28852,625,0
110,663,663.000,663.000,28017,28017,663,0
111,558,558.000,558.000,34937,34937,557,1
112,419,419.000,419.000,44716,44716,418,1
113,506,506.000,506.000,30659,30659,506,0
114,553,553.000,553.000,34159,34159,553,0
115,573,573.000,573.000,30324,30324,573,0
116,575,575.000,575.000,32267,32267,575,0
117,631,631.000,631.000,30399,30399,631,0
118,652,652.000,652.000,28279,28279,652,0
119,591,591.000,591.000,25537,25537,591,0
