Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1664252183.130352,75352,0,1,0,0,1,0,75352
1,NewOrder,1664252183.130356,108931,1,1,0,0,1,0,108931
1,NewOrder,1664252183.130358,109691,5,1,0,0,1,0,109691
1,NewOrder,1664252183.130398,110275,4,1,0,0,1,0,110275
1,NewOrder,1664252183.130460,74225,9,1,0,0,1,0,74225
1,NewOrder,1664252183.131125,109777,6,1,0,0,1,0,109777
1,NewOrder,1664252183.131190,110811,3,1,0,0,1,0,110811
1,NewOrder,1664252183.131205,108911,2,1,0,0,1,0,108911
1,NewOrder,1664252183.131305,108682,8,1,0,0,1,0,108682
1,NewOrder,1664252183.131603,77290,7,1,0,0,1,0,77290
1,NewOrder,1664252183.205252,33966,9,1,0,0,1,0,33966
1,NewOrder,1664252183.205865,36992,0,1,0,0,1,0,36992
1,NewOrder,1664252183.209048,7924,7,1,0,0,1,0,7924
1,NewOrder,1664252183.217147,56304,7,1,0,0,1,0,56304
1,NewOrder,1664252183.239285,38734,9,1,0,0,0,1,38734
1,NewOrder,1664252183.239414,36728,1,1,0,0,0,1,36728
1,NewOrder,1664252183.240099,30938,8,1,0,0,1,0,30938
1,NewOrder,1664252183.240242,45005,5,1,0,0,0,1,45005
1,NewOrder,1664252183.240285,23424,2,1,0,0,1,0,23424
1,NewOrder,1664252183.240769,20030,4,1,0,0,1,0,20030
1,NewOrder,1664252183.240992,41797,6,1,0,0,1,0,41797
1,NewOrder,1664252183.242136,50128,3,1,0,0,1,0,50128
1,NewOrder,1664252183.242914,40601,0,1,0,0,0,1,40601
1,NewOrder,1664252183.260863,30583,4,1,0,0,1,0,30583
1,NewOrder,1664252183.263752,28788,2,1,0,0,1,0,28788
1,NewOrder,1664252183.271592,29799,8,1,0,0,1,0,29799
1,NewOrder,1664252183.273547,19348,7,1,0,0,0,1,19348
1,NewOrder,1664252183.276190,26049,1,1,0,0,1,0,26049
1,NewOrder,1664252183.278086,19958,9,1,0,0,0,1,19958
1,NewOrder,1664252183.282832,19998,6,1,0,0,1,0,19998
1,NewOrder,1664252183.283576,27163,0,1,0,0,1,0,27163
1,NewOrder,1664252183.285288,20045,5,1,0,0,1,0,20045
1,NewOrder,1664252183.291500,4671,4,1,0,0,1,0,4671
1,NewOrder,1664252183.292329,28000,3,1,0,0,1,0,28000
1,NewOrder,1664252183.292950,17677,7,1,0,0,1,0,17677
1,NewOrder,1664252183.293478,26574,2,1,0,0,0,1,26574
1,NewOrder,1664252183.296212,19839,4,1,0,0,1,0,19839
1,NewOrder,1664252183.298102,21475,9,1,0,0,0,1,21475
1,NewOrder,1664252183.301461,26314,8,1,0,0,0,1,26314
1,NewOrder,1664252183.302279,29646,1,1,0,0,1,0,29646
1,NewOrder,1664252183.302864,18597,6,1,0,0,1,0,18597
1,NewOrder,1664252183.305382,25838,5,1,0,0,0,1,25838
1,NewOrder,1664252183.310691,27604,7,1,0,0,1,0,27604
1,NewOrder,1664252183.310827,28851,0,1,0,0,1,0,28851
1,NewOrder,1664252183.316084,17770,4,1,0,0,1,0,17770
1,NewOrder,1664252183.319652,30651,9,1,0,0,0,1,30651
1,NewOrder,1664252183.320113,33168,2,1,0,0,1,0,33168
1,NewOrder,1664252183.320392,32979,3,1,0,0,1,0,32979
1,NewOrder,1664252183.321514,16627,6,1,0,0,1,0,16627
1,NewOrder,1664252183.327829,37705,8,1,0,0,0,1,37705
1,NewOrder,1664252183.331318,36281,5,1,0,0,1,0,36281
1,NewOrder,1664252183.331973,32391,1,1,0,0,1,0,32391
1,NewOrder,1664252183.333946,30792,4,1,0,0,1,0,30792
1,NewOrder,1664252183.338190,31171,6,1,0,0,1,0,31171
1,NewOrder,1664252183.338373,29795,7,1,0,0,1,0,29795
1,NewOrder,1664252183.339782,30205,0,1,0,0,1,0,30205
1,NewOrder,1664252183.350364,19012,9,1,0,0,1,0,19012
1,NewOrder,1664252183.353338,16031,2,1,0,0,1,0,16031
1,NewOrder,1664252183.353415,15393,3,1,0,0,1,0,15393
1,NewOrder,1664252183.364409,30820,1,1,0,0,0,1,30820
1,NewOrder,1664252183.364778,17648,4,1,0,0,1,0,17648
1,NewOrder,1664252183.365573,17668,8,1,0,0,1,0,17668
1,NewOrder,1664252183.367640,17271,5,1,0,0,0,1,17271
1,NewOrder,1664252183.368272,28147,7,1,0,0,0,1,28147
1,NewOrder,1664252183.368841,18268,3,1,0,0,1,0,18268
1,NewOrder,1664252183.369392,28735,6,1,0,0,0,1,28735
1,NewOrder,1664252183.369411,27464,9,1,0,0,0,1,27464
1,NewOrder,1664252183.369433,36894,2,1,0,0,0,1,36894
1,NewOrder,1664252183.370020,15244,0,1,0,0,1,0,15244
1,NewOrder,1664252183.382466,19333,4,1,0,0,0,1,19333
1,NewOrder,1664252183.383319,19651,8,1,0,0,1,0,19651
1,NewOrder,1664252183.384984,15399,5,1,0,0,0,1,15399
1,NewOrder,1664252183.385342,16379,0,1,0,0,0,1,16379
1,NewOrder,1664252183.387141,20834,3,1,0,0,0,1,20834
1,NewOrder,1664252183.395269,16266,1,1,0,0,0,1,16266
1,NewOrder,1664252183.396478,16952,7,1,0,0,0,1,16952
1,NewOrder,1664252183.396911,20715,9,1,0,0,0,1,20715
1,NewOrder,1664252183.398186,14999,6,1,0,0,0,1,14999
1,NewOrder,1664252183.400414,18963,5,1,0,0,0,1,18963
1,NewOrder,1664252183.401765,30621,0,1,0,0,0,1,30621
1,NewOrder,1664252183.401848,18101,4,1,0,0,0,1,18101
1,NewOrder,1664252183.403009,9928,8,1,0,0,1,0,9928
1,NewOrder,1664252183.406364,17130,2,1,0,0,0,1,17130
1,NewOrder,1664252183.408052,2936,3,1,0,0,1,0,2936
1,NewOrder,1664252183.411032,16995,3,1,0,0,0,1,16995
1,NewOrder,1664252183.411573,18299,1,1,0,0,0,1,18299
1,NewOrder,1664252183.412967,14867,8,1,0,1,0,0,14867
1,NewOrder,1664252183.413219,19907,6,1,0,0,0,1,19907
1,NewOrder,1664252183.413464,19848,7,1,0,0,0,1,19848
1,NewOrder,1664252183.417667,19535,9,1,0,0,0,1,19535
1,NewOrder,1664252183.419416,24501,5,1,0,0,0,1,24501
1,NewOrder,1664252183.419979,14541,4,1,0,0,1,0,14541
1,NewOrder,1664252183.423527,26724,2,1,0,0,0,1,26724
1,NewOrder,1664252183.427877,22155,8,1,0,0,0,1,22155
1,NewOrder,1664252183.428121,24700,3,1,0,0,0,1,24700
1,NewOrder,1664252183.429910,23958,1,1,0,0,0,1,23958
1,NewOrder,1664252183.432462,11932,0,1,0,0,1,0,11932
1,NewOrder,1664252183.433173,19516,6,1,0,0,0,1,19516
1,NewOrder,1664252183.433405,11716,7,1,0,0,1,0,11716
1,NewOrder,1664252183.434562,18195,4,1,0,0,0,1,18195
1,NewOrder,1664252183.437236,17289,9,1,0,0,0,1,17289
1,NewOrder,1664252183.443958,19948,5,1,0,0,0,1,19948
1,NewOrder,1664252183.444465,23530,0,1,0,0,0,1,23530
1,NewOrder,1664252183.445154,14641,7,1,0,0,0,1,14641
1,NewOrder,1664252183.450087,18117,8,1,0,0,0,1,18117
1,NewOrder,1664252183.450276,17350,2,1,0,0,0,1,17350
1,NewOrder,1664252183.452769,26161,6,1,0,0,0,1,26161
1,NewOrder,1664252183.452798,26686,4,1,0,0,0,1,26686
1,NewOrder,1664252183.452921,23796,3,1,0,0,0,1,23796
1,NewOrder,1664252183.453918,24903,1,1,0,0,0,1,24903
1,NewOrder,1664252183.454573,14695,9,1,0,0,0,1,14695
1,NewOrder,1664252183.459878,18759,7,1,0,0,0,1,18759
1,NewOrder,1664252183.463962,19570,5,1,0,0,0,1,19570
1,NewOrder,1664252183.467706,28941,2,1,0,0,0,1,28941
1,NewOrder,1664252183.468032,12329,0,1,0,0,0,1,12329
1,NewOrder,1664252183.468233,17350,8,1,0,0,0,1,17350
1,NewOrder,1664252183.469337,18236,9,1,0,0,0,1,18236
1,NewOrder,1664252183.476783,16930,3,1,0,0,0,1,16930
1,NewOrder,1664252183.478669,12497,7,1,0,0,1,0,12497
1,NewOrder,1664252183.478892,27846,1,1,0,0,0,1,27846
1,NewOrder,1664252183.478968,16279,6,1,0,0,1,0,16279
1,NewOrder,1664252183.479553,16527,4,1,0,0,0,1,16527
1,NewOrder,1664252183.480426,17511,0,1,0,0,1,0,17511
1,NewOrder,1664252183.483589,13941,5,1,0,0,1,0,13941
1,NewOrder,1664252183.485636,25692,8,1,0,0,0,1,25692
1,NewOrder,1664252183.487614,9138,9,1,0,0,1,0,9138
1,NewOrder,1664252183.491217,23482,7,1,0,0,1,0,23482
1,NewOrder,1664252183.493782,21336,3,1,0,0,1,0,21336
1,NewOrder,1664252183.495282,17699,6,1,0,0,1,0,17699
1,NewOrder,1664252183.496118,10013,4,1,0,0,1,0,10013
1,NewOrder,1664252183.496719,14561,2,1,0,0,0,1,14561
1,NewOrder,1664252183.496791,26896,9,1,0,0,0,1,26896
1,NewOrder,1664252183.497565,13541,5,1,0,0,0,1,13541
1,NewOrder,1664252183.497982,11833,0,1,0,0,1,0,11833
1,NewOrder,1664252183.506169,18865,4,1,0,0,1,0,18865
