Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,1757,1757.000,1438,2506,3126,5656,4796,13362,17909,32019,81042,1756,1,32019,3126,5656,4796,13362,17909
1,2280,2280.000,1246,2232,2788,4342,3944,9084,15162,24127,46524,2279,1,24127,2788,4342,3944,9084,15162
2,1970,1970.000,1213,2534,3413,5051,4899,11772,15669,23335,34575,1969,1,23335,3413,5051,4899,11772,15669
3,1939,1939.000,1341,2868,3696,5127,5077,10994,15659,21547,31394,1938,1,21547,3696,5127,5077,10994,15659
4,1993,1993.000,1165,2694,3692,5005,5108,10665,15139,20276,30161,1992,1,20276,3692,5005,5108,10665,15139
5,1995,1995.000,1213,2742,3694,4968,4976,10444,14980,20834,28158,1994,1,20834,3694,4968,4976,10444,14980
6,1964,1964.000,1297,2654,3794,5081,5155,10078,15182,20573,73051,1963,1,20573,3794,5081,5155,10078,15182
7,1835,1835.000,1146,2954,3990,5417,5495,10413,15209,21969,58865,1834,1,21969,3990,5417,5495,10413,15209
8,1912,1912.000,1136,2476,3527,5237,5209,12040,16958,24827,58250,1911,1,24827,3527,5237,5209,12040,16958
9,1967,1967.000,1228,2990,3873,5066,5219,9871,14347,20392,28182,1966,1,20392,3873,5066,5219,9871,14347
10,1919,1919.000,1365,3132,4032,5203,5432,9948,14711,20427,39167,1918,1,20427,4032,5203,5432,9948,14711
11,1924,1924.000,1437,3129,3996,5159,5287,9734,14867,19832,27432,1923,1,19832,3996,5159,5287,9734,14867
12,1014,1014.000,1279,3206,4647,9951,13874,28677,32238,41611,48134,1014,0,41611,4647,9951,13874,28677,32238
13,427,427.000,1610,19872,23874,23230,27719,31586,33887,36956,43208,426,1,36956,23874,23230,27719,31586,33887
14,486,486.000,1359,17136,20944,20620,24952,29384,31621,39147,45021,486,0,39147,20944,20620,24952,29384,31621
15,553,553.000,1363,14794,18720,18134,22336,25452,28887,34630,41836,553,0,34630,18720,18134,22336,25452,28887
16,576,576.000,2077,14219,17551,17340,20632,23731,26188,32105,52455,576,0,32105,17551,17340,20632,23731,26188
17,591,591.000,1320,13600,16759,16820,20542,23403,26156,38548,48179,591,0,38548,16759,16820,20542,23403,26156
18,611,611.000,1311,12844,16562,16220,20028,22902,25002,28543,36832,611,0,28543,16562,16220,20028,22902,25002
19,639,639.000,1624,12458,15819,15787,19672,22923,24649,28374,43102,639,0,28374,15819,15787,19672,22923,24649
20,636,636.000,1366,12074,15865,15691,19508,22636,25376,29687,34310,635,1,29687,15865,15691,19508,22636,25376
21,623,623.000,1282,12515,16050,15978,19386,23146,25513,30358,41952,622,1,30358,16050,15978,19386,23146,25513
22,660,660.000,1286,12219,15436,15177,18904,21664,23693,27992,31438,660,0,27992,15436,15177,18904,21664,23693
23,644,644.000,1610,12101,15775,15939,19251,21823,24384,52432,64986,644,0,52432,15775,15939,19251,21823,24384
24,482,482.000,1388,15271,18697,20827,22362,25565,28003,36500,1020514,481,1,36500,18697,20827,22362,25565,28003
25,557,557.000,1398,12588,16738,17330,21671,27379,31460,41250,46542,557,0,41250,16738,17330,21671,27379,31460
26,657,657.000,1208,11957,15278,15157,18750,21772,23987,28725,48026,656,1,28725,15278,15157,18750,21772,23987
27,438,438.000,1359,18231,24078,22737,27571,31862,36903,40246,44615,438,0,40246,24078,22737,27571,31862,36903
28,497,497.000,1255,16938,20910,20261,23937,26709,29355,48731,62886,497,0,48731,20910,20261,23937,26709,29355
29,568,568.000,2089,14487,18270,17453,21488,24499,26889,29037,30523,567,1,29037,18270,17453,21488,24499,26889
30,589,589.000,1845,14028,17209,17028,20475,23663,26102,30315,51937,588,1,30315,17209,17028,20475,23663,26102
31,616,616.000,1355,13094,16788,16242,19970,23042,24758,27636,32678,615,1,27636,16788,16242,19970,23042,24758
32,622,622.000,1374,12138,16341,16007,19856,23267,24746,28564,37644,621,1,28564,16341,16007,19856,23267,24746
33,629,629.000,1338,12409,16094,15897,19854,22618,25288,30341,39851,629,0,30341,16094,15897,19854,22618,25288
34,625,625.000,1579,12405,15976,15993,20076,23345,25348,28554,51215,624,1,28554,15976,15993,20076,23345,25348
35,644,644.000,1688,12281,15895,15482,19169,21663,24078,28795,39879,644,0,28795,15895,15482,19169,21663,24078
36,651,651.000,1583,11919,15319,15347,18993,22084,24502,30616,33365,651,0,30616,15319,15347,18993,22084,24502
37,655,655.000,1425,12214,15321,15222,18872,21501,23495,28571,33448,654,1,28571,15321,15222,18872,21501,23495
38,463,463.000,1544,12949,17571,22225,24570,36024,40667,54963,1043453,463,0,54963,17571,22225,24570,36024,40667
39,568,568.000,1580,12601,16589,17095,20863,25605,30701,43345,57661,568,0,43345,16589,17095,20863,25605,30701
40,642,642.000,1169,11783,15204,15523,18700,22154,24369,45608,59913,641,1,45608,15204,15523,18700,22154,24369
41,565,565.000,1564,12485,16587,17564,21635,28844,32790,37348,50416,565,0,37348,16587,17564,21635,28844,32790
42,471,471.000,2290,18927,22484,21697,26162,28784,30519,34194,53905,470,1,34194,22484,21697,26162,28784,30519
43,508,508.000,2519,16332,20275,19442,23514,27204,28170,31814,51728,507,1,31814,20275,19442,23514,27204,28170
44,559,559.000,2185,14496,18130,17754,21600,24392,26254,29026,32777,558,1,29026,18130,17754,21600,24392,26254
45,598,598.000,1278,13425,17070,16732,20383,23640,25326,33918,43859,598,0,33918,17070,16732,20383,23640,25326
46,616,616.000,1103,12543,16485,16276,20540,24160,26042,30667,36749,616,0,30667,16485,16276,20540,24160,26042
47,633,633.000,1447,12164,15928,15724,19624,22549,23935,29983,32779,633,0,29983,15928,15724,19624,22549,23935
48,628,628.000,1837,12858,16510,15909,19553,22537,24157,27770,34048,628,0,27770,16510,15909,19553,22537,24157
49,632,632.000,1749,12130,15831,17208,19931,23037,24458,29572,943075,631,1,29572,15831,17208,19931,23037,24458
50,539,539.000,1179,12402,16110,16870,20652,25236,30329,37439,55326,539,0,37439,16110,16870,20652,25236,30329
51,655,655.000,1245,12133,15500,15330,19137,22050,23674,29455,32837,655,0,29455,15500,15330,19137,22050,23674
52,644,644.000,1234,12488,16095,15456,19353,21664,23862,27482,35697,644,0,27482,16095,15456,19353,21664,23862
53,531,531.000,1566,14036,17755,18781,21927,26267,34004,60942,63322,531,0,60942,17755,18781,21927,26267,34004
54,675,675.000,1539,11403,14953,14784,18453,21480,23757,27519,33410,675,0,27519,14953,14784,18453,21480,23757
55,670,670.000,1300,11666,15086,14902,18563,21819,23687,28546,45739,669,1,28546,15086,14902,18563,21819,23687
56,446,446.000,1302,17357,23628,22448,28497,32388,33527,35491,42156,446,0,35491,23628,22448,28497,32388,33527
57,461,461.000,4518,18439,22808,21726,26124,29140,29919,33007,38050,460,1,33007,22808,21726,26124,29140,29919
58,527,527.000,1582,15603,19143,20584,22836,26280,27813,31435,1010794,527,0,31435,19143,20584,22836,26280,27813
59,524,524.000,1187,14273,17835,17472,21597,24625,27279,32954,39803,524,0,32954,17835,17472,21597,24625,27279
60,597,597.000,2201,13239,16918,16644,20453,23578,26072,36086,53446,597,0,36086,16918,16644,20453,23578,26072
61,601,601.000,1251,13010,17127,16594,20450,23369,25182,29087,46983,600,1,29087,17127,16594,20450,23369,25182
62,630,630.000,1350,12538,16410,15857,19614,22920,24664,30006,35667,629,1,30006,16410,15857,19614,22920,24664
63,649,649.000,1440,12331,15316,15440,19434,22589,24402,27530,32074,649,0,27530,15316,15440,19434,22589,24402
64,635,635.000,1341,12786,16025,15733,19413,22467,23985,26483,30121,635,0,26483,16025,15733,19413,22467,23985
65,617,617.000,1471,12418,15841,16121,19328,23167,25672,46327,54437,617,0,46327,15841,16121,19328,23167,25672
66,652,652.000,1223,12300,15851,15354,19182,21944,24291,30249,39171,652,0,30249,15851,15354,19182,21944,24291
67,639,639.000,1331,12396,15795,15578,19371,22648,24728,27042,38110,638,1,27042,15795,15578,19371,22648,24728
68,582,582.000,1427,13200,16868,17139,20755,25077,27559,36077,42541,581,1,36077,16868,17139,20755,25077,27559
69,636,636.000,1334,12431,15262,16949,17977,21438,24321,30038,1035095,635,1,30038,15262,16949,17977,21438,24321
70,419,419.000,1356,13990,19711,22135,28302,38661,41607,51842,57964,419,0,51842,19711,22135,28302,38661,41607
71,426,426.000,3575,18982,23641,23491,28684,33138,35198,47340,49545,426,0,47340,23641,23491,28684,33138,35198
72,451,451.000,1989,18078,22122,21966,25988,29355,33475,62957,68165,451,0,62957,22122,21966,25988,29355,33475
73,563,563.000,2011,14802,18303,17824,22104,24767,26806,30988,34399,563,0,30988,18303,17824,22104,24767,26806
74,570,570.000,1908,14080,17738,17487,21252,24461,26795,33533,39857,569,1,33533,17738,17487,21252,24461,26795
