Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1648.800,6.027,1.088,2.479,3.409,5.773,15.958,19.367,25.852,83.897,0.166
5,1585.200,6.286,1.274,2.778,3.868,6.321,15.834,19.001,23.832,69.266,0.159
10,984.400,10.140,1.190,3.432,5.121,16.608,24.281,28.551,34.652,46.109,0.099
15,594.800,16.796,1.330,13.134,17.017,20.629,24.022,26.149,32.240,41.658,0.060
20,609.800,16.548,1.282,12.536,16.137,19.920,23.489,25.825,35.200,1024.532,0.060
25,534.200,18.514,1.213,14.101,18.612,22.966,26.918,29.884,37.619,66.954,0.054
30,609.400,16.394,1.320,12.968,16.572,20.163,23.210,25.750,30.807,52.048,0.061
35,598.200,16.701,1.164,12.302,15.989,19.987,24.128,28.146,41.153,964.198,0.060
40,548.200,18.224,1.152,13.838,18.410,22.634,26.468,28.840,34.122,56.837,0.055
45,621.600,16.338,1.268,12.614,16.342,19.786,23.027,24.834,29.280,1015.738,0.061
50,613.800,15.992,1.264,12.294,15.983,19.707,23.193,25.502,36.062,62.755,0.063
55,519.800,19.228,1.258,14.352,18.972,23.834,28.123,30.578,35.033,941.693,0.052
60,622.200,16.033,1.329,12.716,16.354,19.726,22.971,25.024,30.243,54.787,0.062
65,625.200,16.218,1.260,12.403,15.851,19.376,23.018,25.433,31.301,1002.996,0.062
70,484.200,20.367,1.025,15.304,20.233,24.926,29.941,34.253,46.185,68.549,0.049
75,592.800,16.820,1.368,12.537,16.154,19.650,22.741,24.873,31.336,1010.678,0.059
80,564.200,17.734,1.265,12.821,17.857,22.487,27.095,29.508,35.085,56.425,0.056
85,566.400,17.604,1.209,13.835,18.121,21.752,24.899,26.718,31.358,42.135,0.057
90,628.800,15.885,1.237,12.373,16.146,19.599,22.803,25.093,31.018,42.817,0.063
95,545.800,18.336,1.255,12.923,17.593,22.521,27.933,30.910,38.613,945.551,0.055
100,587.800,16.954,1.355,13.374,17.390,20.996,24.234,25.999,30.462,61.818,0.059
105,647.800,15.425,1.383,12.293,15.717,19.214,22.155,24.122,27.648,42.023,0.065
110,560.000,17.866,1.409,13.267,17.591,22.201,26.634,29.827,38.906,64.809,0.056
115,574.200,17.302,1.314,13.603,17.426,20.692,23.893,25.880,32.419,1021.544,0.058
