Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,228.800,28.313,0.834,6.208,9.337,29.312,57.786,72.662,88.257,1043.485,0.035
5,490.000,11.747,0.688,4.583,5.732,8.231,36.689,46.874,59.677,90.596,0.085
10,479.000,12.561,0.580,4.348,5.292,9.950,38.016,51.279,75.134,104.759,0.080
15,441.200,14.537,0.661,4.139,4.999,6.646,32.655,46.209,63.262,1034.228,0.069
20,470.200,11.510,0.553,4.038,5.011,6.341,29.554,41.759,56.631,864.442,0.087
25,406.800,15.405,0.643,4.335,5.522,25.329,44.539,53.888,70.172,80.445,0.065
30,599.800,9.056,0.597,3.859,4.827,5.992,25.997,37.635,53.750,92.293,0.110
35,462.600,13.004,0.708,4.233,5.133,17.051,38.813,48.580,63.408,103.291,0.077
40,593.400,9.514,0.722,3.923,4.818,5.901,28.158,40.455,61.423,118.910,0.105
45,358.200,16.533,0.595,4.260,5.267,19.972,40.993,48.769,62.810,904.186,0.060
50,582.600,9.683,0.590,3.919,4.808,5.903,29.315,42.356,59.133,80.937,0.103
55,445.200,13.598,0.646,4.161,5.098,16.996,41.813,53.113,72.286,101.413,0.074
60,513.200,11.199,0.614,4.128,4.960,7.794,33.175,43.196,62.983,106.633,0.089
65,519.800,11.384,0.691,4.025,4.954,9.207,34.797,44.145,58.002,82.438,0.088
70,526.400,10.914,0.635,3.980,4.894,7.375,32.250,41.979,60.713,100.576,0.092
75,520.800,11.174,0.601,4.223,5.197,8.109,32.898,43.373,61.864,106.885,0.089
80,509.800,11.411,0.685,4.099,4.962,8.175,36.260,44.293,59.491,79.547,0.088
85,517.600,11.340,0.586,4.048,4.942,8.771,35.722,44.720,58.639,71.137,0.088
90,509.600,11.823,0.527,4.036,5.026,11.967,36.001,44.084,58.128,81.423,0.085
95,547.000,10.679,0.676,4.050,4.964,7.993,32.516,40.734,53.469,76.653,0.094
100,564.600,10.392,0.628,4.034,4.895,6.419,30.628,41.881,66.917,86.673,0.096
105,490.800,11.877,0.596,4.013,5.029,7.631,38.019,48.823,61.691,95.165,0.084
110,432.200,14.489,0.658,4.381,5.509,19.251,44.185,53.883,75.759,88.210,0.069
115,567.000,9.915,0.660,3.964,4.936,6.338,27.157,40.699,67.345,137.385,0.101
