Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34.200,4.899,2.366,3.759,4.592,5.617,6.530,7.837,13.156,13.291,0.204
5,35.600,4.460,1.183,3.739,4.226,5.005,5.907,6.485,8.622,8.950,0.224
10,48.600,4.220,2.575,3.632,4.135,4.701,5.194,5.662,7.526,8.936,0.237
15,30.800,4.381,2.508,3.662,4.318,4.970,5.716,5.976,7.150,7.500,0.228
20,53.000,4.189,1.067,3.502,4.094,4.756,5.504,5.930,6.885,8.731,0.239
25,34.200,4.694,1.006,3.851,4.446,5.284,5.942,6.775,9.746,11.484,0.213
30,51.600,4.294,0.741,3.668,4.162,4.912,5.691,6.133,6.685,7.938,0.233
35,38.800,4.439,0.639,3.722,4.353,5.087,5.701,6.331,7.262,8.338,0.225
40,56.800,4.153,0.774,3.492,4.068,4.741,5.327,5.683,6.737,7.282,0.241
45,37.800,4.308,0.666,3.630,4.198,4.915,5.525,6.197,7.191,7.452,0.232
50,45.000,4.350,2.349,3.714,4.289,4.790,5.555,6.039,6.617,8.813,0.230
55,44.800,4.720,0.891,3.727,4.196,4.990,5.797,6.381,8.970,44.094,0.212
60,45.600,4.290,1.762,3.664,4.163,4.778,5.707,6.231,6.803,7.202,0.233
65,49.200,4.237,0.765,3.610,4.119,4.839,5.407,5.668,7.362,7.716,0.236
70,48.200,4.396,0.746,3.551,4.168,4.787,5.641,6.263,7.912,34.386,0.227
75,52.000,4.215,2.285,3.467,4.156,4.832,5.458,5.799,6.523,7.932,0.237
80,52.400,4.595,2.732,3.888,4.414,5.220,5.973,6.324,7.882,8.370,0.218
85,54.600,4.399,2.279,3.713,4.339,5.003,5.567,6.044,7.289,8.985,0.227
90,44.600,4.394,2.561,3.806,4.298,4.866,5.491,6.020,7.090,7.553,0.228
95,45.800,4.412,1.860,3.812,4.381,4.904,5.538,6.050,6.772,8.553,0.227
100,61.800,4.238,2.073,3.562,4.059,4.756,5.516,5.975,7.052,8.176,0.236
105,57.800,4.456,2.567,3.730,4.335,4.978,5.699,6.149,7.680,11.860,0.224
110,41.400,4.412,0.866,3.796,4.277,5.053,5.785,6.274,6.809,8.166,0.227
115,49.400,4.422,1.299,3.585,4.142,4.837,5.576,5.876,7.721,43.683,0.226
