Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,462,462.000,1328,7309,11825,22239,25687,65043,78211,85223,120222,462,0,85223,11825,22239,25687,65043,78211
1,525,525.000,1096,5859,10429,18264,23688,45903,61199,79978,101449,524,1,79978,10429,18264,23688,45903,61199
2,811,811.000,954,5218,7554,12720,12648,28762,48862,68836,89669,810,1,68836,7554,12720,12648,28762,48862
3,514,514.000,997,4466,6891,29671,12414,24537,37663,1023059,1037633,513,1,1023059,6891,29671,12414,24537,37663
4,539,539.000,814,4075,5720,8257,7841,17273,29101,44966,69491,539,0,44966,5720,8257,7841,17273,29101
5,994,994.000,985,3991,5780,10114,9345,20356,41765,76318,90457,993,1,76318,5780,10114,9345,20356,41765
6,1032,1032.000,823,3815,5433,9573,8778,22510,39454,57447,69580,1031,1,57447,5433,9573,8778,22510,39454
7,1224,1224.000,714,3487,4934,8049,6738,17088,30566,55106,64817,1223,1,55106,4934,8049,6738,17088,30566
8,1096,1096.000,809,3320,4865,9193,9953,20597,34360,57081,82321,1095,1,57081,4865,9193,9953,20597,34360
9,1259,1259.000,732,3211,4714,7920,6693,18783,32903,43948,55733,1258,1,43948,4714,7920,6693,18783,32903
10,1285,1285.000,651,3309,4744,7660,6758,16128,23210,50212,98025,1284,1,50212,4744,7660,6758,16128,23210
11,1176,1176.000,1129,3117,4653,8561,8511,20581,33222,50090,57079,1175,1,50090,4653,8561,8511,20581,33222
12,1038,1038.000,785,3464,4896,9512,6659,17046,47453,87607,101086,1037,1,87607,4896,9512,6659,17046,47453
13,951,951.000,827,3457,5177,10812,11840,29246,44426,61665,81799,951,0,61665,5177,10812,11840,29246,44426
14,1101,1101.000,696,3129,4499,8891,7679,19131,38262,60026,72285,1101,0,60026,4499,8891,7679,19131,38262
15,1010,1010.000,675,3043,4347,17298,6079,15963,25353,93074,1033976,1009,1,93074,4347,17298,6079,15963,25353
16,301,301.000,931,3669,4987,7956,7316,17845,27390,38563,49164,300,1,38563,4987,7956,7316,17845,27390
17,1063,1063.000,638,3304,4881,9558,10318,25130,40101,56897,63357,1062,1,56897,4881,9558,10318,25130,40101
18,1018,1018.000,746,3410,5011,9693,9460,23268,41602,61523,74313,1017,1,61523,5011,9693,9460,23268,41602
19,1754,1754.000,724,2883,4110,5644,5135,9753,17681,37436,48133,1753,1,37436,4110,5644,5135,9753,17681
20,1308,1308.000,804,3166,4526,7624,6415,16283,28866,49849,61656,1307,1,49849,4526,7624,6415,16283,28866
21,1437,1437.000,631,3058,4324,7004,5795,14002,22795,44690,120289,1437,0,44690,4324,7004,5795,14002,22795
22,1129,1129.000,885,3253,4814,8889,9693,20888,34943,51914,59749,1128,1,51914,4814,8889,9693,20888,34943
23,892,892.000,764,2885,4200,16670,5876,17095,30449,852662,994148,891,1,852662,4200,16670,5876,17095,30449
24,293,293.000,1132,5536,13207,18172,22555,44540,49236,77320,81763,292,1,77320,13207,18172,22555,44540,49236
25,1026,1026.000,846,3416,4793,9501,9769,24891,37473,55094,77437,1026,0,55094,4793,9501,9769,24891,37473
26,917,917.000,829,3412,5204,10983,11386,29025,43963,69540,106167,916,1,69540,5204,10983,11386,29025,43963
27,859,859.000,955,3577,5591,11367,13240,31042,42315,73419,79005,858,1,73419,5591,11367,13240,31042,42315
28,1149,1149.000,717,3122,4597,8823,7456,19261,37748,61248,77584,1148,1,61248,4597,8823,7456,19261,37748
29,1188,1188.000,602,3118,4646,8287,8373,17986,31182,55021,65737,1187,1,55021,4646,8287,8373,17986,31182
30,1313,1313.000,824,2997,4429,7666,6674,18203,28750,46274,54693,1312,1,46274,4429,7666,6674,18203,28750
31,1562,1562.000,694,2889,4110,6386,5311,13254,22010,50083,72771,1561,1,50083,4110,6386,5311,13254,22010
32,1510,1510.000,831,3000,4276,6541,5514,12585,20670,45057,92440,1509,1,45057,4276,6541,5514,12585,20670
33,1261,1261.000,779,3130,4631,7983,7824,18543,28237,50574,66147,1260,1,50574,4631,7983,7824,18543,28237
34,1009,1009.000,784,3352,4879,9919,11817,23681,41854,52116,67436,1008,1,52116,4879,9919,11817,23681,41854
35,858,858.000,611,3520,5341,11494,13676,30415,46357,60770,67803,857,1,60770,5341,11494,13676,30415,46357
36,1207,1207.000,783,3147,4600,8369,8574,19709,31671,53379,62305,1207,0,53379,4600,8369,8574,19709,31671
37,771,771.000,736,3504,5618,12862,15791,34494,45561,87331,101273,771,0,87331,5618,12862,15791,34494,45561
38,1423,1423.000,631,3103,4369,7048,5879,15216,26271,44205,53621,1423,0,44205,4369,7048,5879,15216,26271
39,1281,1281.000,950,3140,4553,7722,6868,16357,28272,54129,66411,1280,1,54129,4553,7722,6868,16357,28272
40,1316,1316.000,727,3051,4328,7618,5917,15175,26320,59376,87559,1315,1,59376,4328,7618,5917,15175,26320
41,1691,1691.000,591,2851,4036,5910,5263,11856,18779,37543,56183,1690,1,37543,4036,5910,5263,11856,18779
42,1306,1306.000,820,3014,4276,7743,5730,17122,29954,64557,119181,1305,1,64557,4276,7743,5730,17122,29954
43,1222,1222.000,635,3055,4369,7972,7145,17024,30975,53812,67508,1221,1,53812,4369,7972,7145,17024,30975
44,1222,1222.000,850,3217,4576,8144,7503,19085,31106,46753,57712,1221,1,46753,4576,8144,7503,19085,31106
45,837,837.000,829,3329,5426,12007,14730,34968,42404,57639,73165,837,0,57639,5426,12007,14730,34968,42404
46,1100,1100.000,1074,3330,4781,9022,10744,21732,32388,49815,62962,1099,1,49815,4781,9022,10744,21732,32388
47,596,596.000,1271,2995,4259,22523,6061,17919,37571,901299,970603,595,1,901299,4259,22523,6061,17919,37571
48,663,663.000,580,3464,4962,10006,9321,24998,41608,76763,83563,663,0,76763,4962,10006,9321,24998,41608
49,1044,1044.000,699,3172,4672,9581,10722,26750,39636,49578,57758,1043,1,49578,4672,9581,10722,26750,39636
50,1117,1117.000,676,3158,4593,8991,9017,20373,37072,56249,64312,1117,0,56249,4593,8991,9017,20373,37072
51,1612,1612.000,690,2923,4142,6142,5288,11484,20780,38390,70101,1612,0,38390,4142,6142,5288,11484,20780
52,1304,1304.000,680,3089,4358,7589,6257,16020,28146,54738,70231,1303,1,54738,4358,7589,6257,16020,28146
53,1538,1538.000,722,2956,4115,6717,5439,13153,24721,49829,80406,1537,1,49829,4115,6717,5439,13153,24721
54,1241,1241.000,722,3139,4517,7884,6872,17218,30936,52887,76420,1241,0,52887,4517,7884,6872,17218,30936
55,599,599.000,679,4478,9046,16542,18329,45694,62160,78927,102337,598,1,78927,9046,16542,18329,45694,62160
56,1215,1215.000,830,3142,4440,8242,7494,18692,32289,54555,67960,1214,1,54555,4440,8242,7494,18692,32289
57,1182,1182.000,735,3141,4552,8421,7892,19226,34239,47174,73341,1181,1,47174,4552,8421,7892,19226,34239
58,1301,1301.000,714,3069,4325,7668,6516,17409,29095,49292,66469,1300,1,49292,4325,7668,6516,17409,29095
59,991,991.000,829,3330,4816,9988,9716,28189,39860,69409,90246,990,1,69409,4816,9988,9716,28189,39860
60,1488,1488.000,768,3064,4342,6665,6132,15249,21803,35828,48269,1487,1,35828,4342,6665,6132,15249,21803
61,1197,1197.000,684,2982,4431,8519,6645,19858,37127,56555,71722,1196,1,56555,4431,8519,6645,19858,37127
62,889,889.000,661,3523,5180,10985,13760,31123,42962,63483,68249,888,1,63483,5180,10985,13760,31123,42962
63,1154,1154.000,765,3209,4624,8750,8751,21226,35890,53016,63573,1153,1,53016,4624,8750,8751,21226,35890
64,1419,1419.000,809,3062,4253,6946,5545,14310,23538,49385,111081,1418,1,49385,4253,6946,5545,14310,23538
65,1442,1442.000,664,2930,4288,6929,5674,15371,26669,41951,50458,1441,1,41951,4288,6929,5674,15371,26669
66,1058,1058.000,870,3101,4495,9615,8868,27166,43333,61037,68076,1057,1,61037,4495,9615,8868,27166,43333
67,1291,1291.000,632,3049,4340,7573,7096,16792,28376,50370,74990,1290,1,50370,4340,7573,7096,16792,28376
68,1059,1059.000,854,3263,4795,9467,11164,22455,36740,51356,68456,1058,1,51356,4795,9467,11164,22455,36740
69,916,916.000,851,3123,4825,10857,12201,31274,45074,73052,82559,915,1,73052,4825,10857,12201,31274,45074
70,1518,1518.000,671,2951,4218,6576,6066,15549,22675,32777,43827,1517,1,32777,4218,6576,6066,15549,22675
71,1332,1332.000,628,2967,4376,7527,7059,16107,29146,46199,69747,1331,1,46199,4376,7527,7059,16107,29146
72,840,840.000,781,3460,4964,11822,14024,30000,47279,74957,100906,839,1,74957,4964,11822,14024,30000,47279
73,1229,1229.000,618,3038,4457,8204,8615,18810,32705,49556,60361,1228,1,49556,4457,8204,8615,18810,32705
74,1402,1402.000,781,2964,4261,7084,5646,14593,26762,51801,103339,1401,1,51801,4261,7084,5646,14593,26762
75,905,905.000,762,3625,5254,10931,13291,30456,40408,53309,78598,904,1,53309,5254,10931,13291,30456,40408
76,1297,1297.000,675,3167,4682,7704,6831,17535,28085,45656,60754,1296,1,45656,4682,7704,6831,17535,28085
77,1254,1254.000,747,3171,4690,8033,7262,17110,28790,56236,64482,1254,0,56236,4690,8033,7262,17110,28790
78,1340,1340.000,968,3152,4407,7355,6073,15563,27914,53623,67226,1340,0,53623,4407,7355,6073,15563,27914
79,1124,1124.000,691,3348,4745,8991,10203,20526,32829,53396,75862,1123,1,53396,4745,8991,10203,20526,32829
80,1174,1174.000,657,3233,4754,8455,8610,22001,32547,45391,51506,1173,1,45391,4754,8455,8610,22001,32547
81,925,925.000,813,3381,5065,10793,11394,32009,44184,61745,71328,924,1,61745,5065,10793,11394,32009,44184
82,1437,1437.000,638,2929,4243,6926,5634,15596,26509,45383,59564,1436,1,45383,4243,6926,5634,15596,26509
83,1389,1389.000,675,3049,4349,7155,5989,15629,29011,44123,58161,1388,1,44123,4349,7155,5989,15629,29011
84,1202,1202.000,732,3162,4557,8323,6680,18796,30554,62620,80640,1201,1,62620,4557,8323,6680,18796,30554
85,1391,1391.000,602,3004,4129,7287,5749,15616,30600,50123,64877,1391,0,50123,4129,7287,5749,15616,30600
86,1098,1098.000,737,3137,4715,9029,10136,23243,37156,50195,57680,1097,1,50195,4715,9029,10136,23243,37156
87,1221,1221.000,928,3100,4447,8108,7235,18928,32311,53396,64729,1220,1,53396,4447,8108,7235,18928,32311
88,839,839.000,787,3617,5319,11909,14116,33108,48452,64324,75134,838,1,64324,5319,11909,14116,33108,48452
89,1367,1367.000,697,3099,4417,7453,6415,14809,23063,57248,80608,1366,1,57248,4417,7453,6415,14809,23063
90,1096,1096.000,740,3182,4694,8906,9898,20209,34056,58343,79383,1095,1,58343,4694,8906,9898,20209,34056
91,1118,1118.000,733,3174,4746,9067,8726,23677,39196,54188,74522,1117,1,54188,4746,9067,8726,23677,39196
92,1378,1378.000,558,3054,4433,7111,6185,16319,24834,43169,63170,1378,0,43169,4433,7111,6185,16319,24834
93,1135,1135.000,684,3280,4841,9051,10617,20962,35098,50323,56414,1134,1,50323,4841,9051,10617,20962,35098
94,1079,1079.000,838,3290,4642,9448,10889,25955,34303,57158,81141,1078,1,57158,4642,9448,10889,25955,34303
95,1085,1085.000,786,3289,4754,8769,9752,21392,31738,51827,60639,1085,0,51827,4754,8769,9752,21392,31738
96,1099,1099.000,813,3206,4731,9201,10526,21986,37962,50396,57802,1098,1,50396,4731,9201,10526,21986,37962
97,1320,1320.000,644,3193,4529,7510,6370,17532,28915,41123,60083,1320,0,41123,4529,7510,6370,17532,28915
98,1452,1452.000,735,3136,4231,6878,5806,15246,27047,41089,55204,1451,1,41089,4231,6878,5806,15246,27047
99,1543,1543.000,792,2974,4208,6399,5544,13302,23774,37662,48209,1542,1,37662,4208,6399,5544,13302,23774
100,1050,1050.000,650,3237,4770,9506,10898,23483,38185,56596,79650,1049,1,56596,4770,9506,10898,23483,38185
101,1468,1468.000,732,3021,4365,6894,6065,14509,23430,44878,57291,1467,1,44878,4365,6894,6065,14509,23430
102,1326,1326.000,709,3090,4323,7443,5887,14612,25256,65854,75639,1325,1,65854,4323,7443,5887,14612,25256
103,1271,1271.000,716,2979,4310,7828,6595,18375,31475,52787,64839,1270,1,52787,4310,7828,6595,18375,31475
