Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.600,22.532,2.410,10.114,17.636,31.649,50.961,58.989,69.029,71.102,0.044
5,41.600,14.682,1.108,6.133,13.634,20.476,29.784,33.357,46.793,58.554,0.068
10,47.400,15.495,0.842,6.831,11.996,19.583,30.294,41.484,77.541,82.327,0.065
15,46.800,14.786,0.983,7.478,12.495,19.867,28.022,34.206,49.912,66.106,0.068
20,35.400,14.813,0.918,7.411,13.051,20.093,27.749,34.610,50.931,64.502,0.068
25,37.400,14.312,1.107,6.173,11.804,18.344,29.395,31.747,90.951,103.892,0.070
30,55.600,15.427,1.127,6.807,12.504,22.743,29.419,35.280,49.723,66.708,0.065
35,42.600,13.268,1.084,6.182,10.654,18.845,25.830,32.025,43.100,45.665,0.075
40,49.800,12.763,1.427,6.122,11.309,17.562,24.772,30.170,41.459,54.245,0.078
45,31.400,13.750,0.988,6.557,11.324,20.090,25.848,31.576,45.403,51.803,0.073
50,57.600,12.763,0.941,6.865,12.061,17.665,22.416,28.013,34.474,41.079,0.078
55,42.400,15.056,1.197,6.960,13.037,20.515,29.782,35.470,47.486,53.533,0.066
60,54.800,15.274,0.769,6.121,13.044,21.832,29.788,37.144,62.414,81.411,0.065
65,42.600,13.298,0.612,5.759,11.087,17.464,26.355,28.464,87.434,95.032,0.075
70,51.200,13.555,0.650,7.143,12.312,18.106,25.296,28.073,35.760,71.643,0.074
75,40.000,12.486,0.654,5.802,11.810,18.081,24.480,28.251,34.392,39.317,0.080
80,43.600,13.195,0.614,5.953,11.380,18.280,25.200,27.433,76.048,79.621,0.076
85,49.000,12.979,1.097,6.804,12.008,18.155,24.578,27.235,30.970,34.111,0.077
90,45.400,11.402,0.719,5.416,10.805,17.075,20.369,22.959,31.820,36.248,0.088
95,53.800,12.481,0.896,6.074,11.493,17.980,23.287,26.500,37.424,44.050,0.080
100,53.800,12.560,0.560,6.056,10.968,16.796,24.541,27.336,40.687,85.169,0.080
105,52.400,11.966,0.871,5.937,11.169,17.476,21.979,24.034,30.860,32.716,0.084
110,41.600,14.652,0.523,7.024,13.113,18.604,23.595,29.516,76.675,96.469,0.068
115,53.200,11.951,0.776,5.566,10.445,16.713,24.237,28.273,33.225,76.021,0.084
