time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,514,514.000,514.000,86258,86258,513,1
1,511,511.000,511.000,81476,81476,511,0
2,859,859.000,859.000,54638,54638,859,0
3,514,514.000,514.000,1022204,1022204,513,1
4,484,484.000,484.000,42684,42684,483,1
5,1037,1037.000,1037.000,58222,58222,1036,1
6,957,957.000,957.000,58633,58633,956,1
7,1289,1289.000,1289.000,56800,56800,1289,0
8,1051,1051.000,1051.000,57461,57461,1050,1
9,1264,1264.000,1264.000,45380,45380,1264,0
10,1238,1238.000,1238.000,46671,46671,1237,1
11,1323,1323.000,1323.000,51473,51473,1322,1
12,1033,1033.000,1033.000,86321,86321,1032,1
13,1005,1005.000,1005.000,53784,53784,1004,1
14,1037,1037.000,1037.000,64150,64150,1036,1
15,1141,1141.000,1141.000,88160,88160,1140,1
16,176,176.000,176.000,59899,59899,176,0
17,1168,1168.000,1168.000,52099,52099,1167,1
18,895,895.000,895.000,63076,63076,894,1
19,1729,1729.000,1729.000,37397,37397,1728,1
20,1384,1384.000,1384.000,52161,52161,1383,1
21,1363,1363.000,1363.000,51931,51931,1362,1
22,1147,1147.000,1147.000,53141,53141,1147,0
23,917,917.000,917.000,801508,801508,916,1
24,272,272.000,272.000,59915,59915,271,1
25,1040,1040.000,1040.000,68418,68418,1040,0
26,842,842.000,842.000,69481,69481,841,1
27,915,915.000,915.000,61881,61881,915,0
28,1151,1151.000,1151.000,57152,57152,1150,1
29,1204,1204.000,1204.000,51184,51184,1203,1
30,1328,1328.000,1328.000,44432,44432,1327,1
31,1547,1547.000,1547.000,42756,42756,1546,1
32,1554,1554.000,1554.000,42268,42268,1553,1
33,1385,1385.000,1385.000,41858,41858,1385,0
34,984,984.000,984.000,60754,60754,983,1
35,827,827.000,827.000,58662,58662,826,1
36,1255,1255.000,1255.000,48074,48074,1254,1
37,676,676.000,676.000,84553,84553,675,1
38,1437,1437.000,1437.000,45258,45258,1436,1
39,1222,1222.000,1222.000,53420,53420,1221,1
40,1216,1216.000,1216.000,62739,62739,1215,1
41,1776,1776.000,1776.000,32942,32942,1776,0
42,1363,1363.000,1363.000,42637,42637,1362,1
43,1084,1084.000,1084.000,62755,62755,1083,1
44,1331,1331.000,1331.000,46796,46796,1330,1
45,830,830.000,830.000,58016,58016,830,0
46,1026,1026.000,1026.000,49860,49860,1025,1
47,583,583.000,583.000,898973,898973,583,0
48,602,602.000,602.000,77870,77870,601,1
49,1121,1121.000,1121.000,49641,49641,1120,1
50,1131,1131.000,1131.000,53299,53299,1130,1
51,1499,1499.000,1499.000,45866,45866,1498,1
52,1320,1320.000,1320.000,54363,54363,1319,1
53,1602,1602.000,1602.000,46299,46299,1601,1
54,1219,1219.000,1219.000,53323,53323,1218,1
55,670,670.000,670.000,99682,99682,669,1
56,1120,1120.000,1120.000,57049,57049,1119,1
57,1111,1111.000,1111.000,51679,51679,1110,1
58,1348,1348.000,1348.000,52433,52433,1347,1
59,991,991.000,991.000,71414,71414,990,1
60,1448,1448.000,1448.000,36373,36373,1447,1
61,1346,1346.000,1346.000,53915,53915,1345,1
62,885,885.000,885.000,59119,59119,885,0
63,1144,1144.000,1144.000,51033,51033,1144,0
64,1351,1351.000,1351.000,55039,55039,1350,1
65,1367,1367.000,1367.000,42534,42534,1366,1
66,1206,1206.000,1206.000,55872,55872,1206,0
67,1262,1262.000,1262.000,50758,50758,1262,0
68,1082,1082.000,1082.000,53173,53173,1081,1
69,810,810.000,810.000,75439,75439,809,1
70,1528,1528.000,1528.000,34908,34908,1527,1
71,1397,1397.000,1397.000,46152,46152,1396,1
72,847,847.000,847.000,67560,67560,846,1
73,1170,1170.000,1170.000,51013,51013,1169,1
74,1380,1380.000,1380.000,53892,53892,1379,1
75,972,972.000,972.000,54842,54842,971,1
76,1261,1261.000,1261.000,46461,46461,1261,0
77,1293,1293.000,1293.000,54939,54939,1292,1
78,1255,1255.000,1255.000,53960,53960,1254,1
79,1209,1209.000,1209.000,53648,53648,1208,1
80,1207,1207.000,1207.000,46196,46196,1206,1
81,956,956.000,956.000,61010,61010,955,1
82,1444,1444.000,1444.000,45090,45090,1443,1
83,1352,1352.000,1352.000,45715,45715,1351,1
84,1136,1136.000,1136.000,62791,62791,1136,0
85,1419,1419.000,1419.000,50304,50304,1418,1
86,1102,1102.000,1102.000,48369,48369,1101,1
87,1313,1313.000,1313.000,53755,53755,1313,0
88,797,797.000,797.000,65400,65400,796,1
89,1388,1388.000,1388.000,52426,52426,1387,1
90,1061,1061.000,1061.000,59507,59507,1060,1
91,1117,1117.000,1117.000,53194,53194,1116,1
92,1419,1419.000,1419.000,42316,42316,1418,1
93,1148,1148.000,1148.000,49624,49624,1148,0
94,1091,1091.000,1091.000,51518,51518,1090,1
95,1006,1006.000,1006.000,59383,59383,1006,0
96,1136,1136.000,1136.000,48882,48882,1135,1
97,1333,1333.000,1333.000,46738,46738,1332,1
98,1493,1493.000,1493.000,40707,40707,1492,1
99,1465,1465.000,1465.000,40225,40225,1464,1
100,1095,1095.000,1095.000,56093,56093,1094,1
101,1517,1517.000,1517.000,42575,42575,1516,1
102,1247,1247.000,1247.000,56186,56186,1246,1
103,1336,1336.000,1336.000,52231,52231,1336,0
104,1177,1177.000,1177.000,72045,72045,1176,1
105,948,948.000,948.000,72610,72610,947,1
106,1373,1373.000,1373.000,55435,55435,1372,1
107,1455,1455.000,1455.000,53712,53712,1455,0
108,1016,1016.000,1016.000,55612,55612,1015,1
109,1479,1479.000,1479.000,45422,45422,1479,0
110,886,886.000,886.000,71780,71780,885,1
111,963,963.000,963.000,83155,83155,962,1
112,1022,1022.000,1022.000,67334,67334,1022,0
113,868,868.000,868.000,71541,71541,868,0
114,997,997.000,997.000,62276,62276,997,0
115,1270,1270.000,1270.000,44654,44654,1269,1
116,1047,1047.000,1047.000,72130,72130,1046,1
117,1697,1697.000,1697.000,46119,46119,1696,1
118,1584,1584.000,1584.000,35665,35665,1583,1
119,1403,1403.000,1403.000,69830,69830,1402,1
