Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,518.600,20.947,4.422,12.332,15.412,19.927,28.810,36.569,61.495,1029.344,0.048
5,542.600,18.471,3.436,11.300,13.833,16.968,22.114,27.795,45.446,1023.858,0.054
10,609.600,14.949,3.174,11.308,13.811,16.916,20.338,24.725,35.664,92.808,0.067
15,669.000,14.854,2.533,11.138,13.621,16.368,20.275,25.186,41.320,88.204,0.067
20,691.200,14.466,2.558,10.973,13.492,16.281,19.433,23.903,35.043,90.468,0.069
25,694.800,14.357,2.523,11.041,13.387,16.001,19.158,23.891,34.346,93.555,0.070
30,689.200,14.494,3.273,10.997,13.406,16.137,19.448,24.020,35.675,91.543,0.069
35,631.800,16.840,2.870,10.968,13.499,16.049,19.144,23.131,36.794,1022.168,0.059
40,642.600,14.535,3.056,11.058,13.427,16.184,19.871,25.035,34.854,94.061,0.069
45,689.400,14.481,2.330,11.058,13.541,16.122,19.612,24.368,35.228,90.032,0.069
50,701.200,14.251,2.443,11.064,13.375,15.984,18.869,22.622,33.671,77.063,0.070
55,695.800,14.340,2.610,11.043,13.324,16.131,19.264,23.117,33.413,90.831,0.070
60,681.000,14.662,2.725,11.156,13.588,16.358,19.896,24.137,37.251,92.628,0.068
65,699.600,14.285,2.371,11.033,13.404,16.110,19.044,22.712,36.407,75.587,0.070
70,709.600,14.077,2.978,10.928,13.340,15.855,18.541,21.864,30.436,97.437,0.071
75,702.200,14.222,2.470,11.050,13.458,15.942,18.845,22.835,31.391,101.332,0.070
80,576.400,17.324,2.453,11.247,13.595,16.109,19.355,22.740,35.178,1017.532,0.058
85,566.200,17.654,2.518,11.138,13.395,16.095,19.165,24.056,36.321,1037.907,0.057
90,693.800,14.394,2.497,11.007,13.331,16.101,19.388,23.620,34.302,101.226,0.069
95,698.800,14.293,3.103,10.994,13.387,16.044,19.155,23.363,31.764,83.765,0.070
100,679.200,14.719,2.575,11.151,13.447,16.274,20.074,24.270,39.561,90.379,0.068
105,658.200,15.163,2.557,11.237,13.806,16.562,20.402,25.072,42.813,102.989,0.066
110,689.000,14.501,2.749,11.227,13.623,16.368,19.235,22.584,33.634,103.237,0.069
115,697.600,14.276,2.459,10.962,13.401,16.170,19.155,22.634,31.573,86.060,0.070
