Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,31.800,26.117,1.071,2.306,15.729,47.341,64.395,71.009,97.662,104.545,0.038
5,35.800,24.054,1.451,1.901,23.385,43.967,49.421,52.432,62.116,71.705,0.042
10,38.000,23.661,1.466,1.845,23.179,44.485,48.430,52.499,64.705,82.948,0.042
15,41.000,22.174,1.275,1.788,17.114,41.373,48.092,53.051,63.335,80.865,0.045
20,37.200,22.275,0.993,1.761,16.910,43.155,48.251,50.841,59.215,78.196,0.045
25,41.800,26.893,1.568,1.980,38.510,45.065,49.495,51.477,59.858,69.375,0.037
30,44.000,22.565,1.312,1.789,20.169,42.659,47.721,50.086,57.432,76.067,0.044
35,42.200,22.566,1.162,1.805,17.979,44.039,48.000,50.443,54.941,58.711,0.044
40,41.600,22.331,1.327,1.762,20.427,43.069,48.618,51.428,55.858,60.178,0.045
45,41.600,24.782,1.392,1.787,29.086,43.311,48.633,52.595,72.849,118.474,0.040
50,39.600,23.789,1.551,1.975,29.428,42.925,47.125,49.677,53.835,59.395,0.042
55,40.400,20.442,1.213,1.759,6.760,42.264,46.240,48.840,56.187,71.184,0.049
60,47.200,21.375,0.822,1.712,16.161,41.752,45.711,47.674,53.318,70.069,0.047
65,40.000,21.781,1.558,1.773,14.406,41.861,45.850,49.414,72.955,78.415,0.046
70,43.000,22.453,1.169,1.768,15.583,43.803,48.707,52.179,74.074,87.183,0.045
75,42.400,21.020,1.237,1.834,10.469,43.345,48.369,51.321,63.106,66.379,0.048
80,46.400,19.064,1.035,1.780,3.590,41.672,47.817,50.236,56.238,80.296,0.052
85,37.400,24.645,1.423,1.819,28.063,45.364,48.407,52.277,57.897,60.904,0.041
90,38.600,26.884,1.266,2.187,35.329,43.957,50.304,55.940,72.208,92.750,0.037
95,40.800,23.965,1.373,1.772,22.600,44.763,49.659,53.518,65.868,95.313,0.042
100,39.800,24.300,1.339,1.792,31.481,42.953,47.098,50.842,55.414,73.151,0.041
105,44.000,19.968,1.283,1.722,3.461,42.162,47.691,51.483,64.546,64.665,0.050
110,42.400,24.403,1.528,1.813,27.971,43.799,48.635,51.519,69.223,80.103,0.041
115,46.600,24.246,1.319,1.749,33.371,41.819,46.131,49.664,65.894,73.249,0.041
