Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,491,491.000,964,6420,13129,20363,22956,37953,58366,185772,204110,491,0,185772,13129,20363,22956,37953,58366
1,668,668.000,753,4964,10231,14706,20772,31173,41499,75318,105619,668,0,75318,10231,14706,20772,31173,41499
2,821,821.000,644,2310,9123,12203,18974,26329,32261,49985,105890,821,0,49985,9123,12203,18974,26329,32261
3,891,891.000,607,1804,8174,11106,17427,24618,32793,51234,85206,891,0,51234,8174,11106,17427,24618,32793
4,982,982.000,535,1697,7647,10182,15373,23914,27539,45583,61265,982,0,45583,7647,10182,15373,23914,27539
5,984,984.000,634,1818,7520,10080,15772,23447,28292,44675,55506,984,0,44675,7520,10080,15772,23447,28292
6,1017,1017.000,571,1975,7125,9884,15709,22920,27560,43910,66100,1016,1,43910,7125,9884,15709,22920,27560
7,978,978.000,655,1738,7516,10156,15660,23845,29287,46534,63923,978,0,46534,7516,10156,15660,23845,29287
8,1026,1026.000,617,1545,6950,9730,14627,23479,27620,45507,50445,1026,0,45507,6950,9730,14627,23479,27620
9,1059,1059.000,617,1545,6885,9385,13886,23021,27236,49321,57835,1058,1,49321,6885,9385,13886,23021,27236
10,834,834.000,428,1649,9141,11980,18751,27454,32949,49305,61307,834,0,49305,9141,11980,18751,27454,32949
11,899,899.000,610,1508,10030,11085,16341,23952,29835,48090,74280,899,0,48090,10030,11085,16341,23952,29835
12,992,992.000,566,1543,8111,10062,15289,22574,28497,44977,56502,992,0,44977,8111,10062,15289,22574,28497
13,1173,1173.000,624,1526,6279,8561,12427,20515,24094,41896,63652,1172,1,41896,6279,8561,12427,20515,24094
14,995,995.000,523,1633,7666,9984,14944,22577,28204,46715,77857,994,1,46715,7666,9984,14944,22577,28204
15,1027,1027.000,584,1437,6996,9723,14557,22383,28360,47009,55026,1026,1,47009,6996,9723,14557,22383,28360
16,1013,1013.000,547,1596,7955,9905,14260,22894,28568,43757,55829,1012,1,43757,7955,9905,14260,22894,28568
17,1044,1044.000,580,1613,7481,9508,14428,22567,26301,42539,51118,1044,0,42539,7481,9508,14428,22567,26301
18,1034,1034.000,555,1505,7089,9642,14809,23070,27078,44276,89958,1034,0,44276,7089,9642,14809,23070,27078
19,983,983.000,527,1631,7419,10139,14810,24030,29661,46902,79488,982,1,46902,7419,10139,14810,24030,29661
20,1051,1051.000,560,1575,6915,9531,14275,22889,27683,44101,73863,1051,0,44101,6915,9531,14275,22889,27683
21,1048,1048.000,532,1520,6860,9520,14673,21991,26211,44532,81955,1047,1,44532,6860,9520,14673,21991,26211
22,1063,1063.000,527,1603,6712,9409,14634,22940,26202,42003,63253,1062,1,42003,6712,9409,14634,22940,26202
23,994,994.000,562,1570,7709,10231,15425,22566,26494,45888,74332,993,1,45888,7709,10231,15425,22566,26494
24,1047,1047.000,553,1558,6816,9308,13814,21912,26644,43851,77995,1046,1,43851,6816,9308,13814,21912,26644
25,1068,1068.000,547,1542,6628,9356,14120,22518,27021,46869,57242,1067,1,46869,6628,9356,14120,22518,27021
26,831,831.000,566,1537,10666,12616,17545,26279,31841,48259,831462,830,1,48259,10666,12616,17545,26279,31841
27,809,809.000,586,1640,10608,11695,18042,24968,29569,45399,69099,808,1,45399,10608,11695,18042,24968,29569
28,1049,1049.000,573,1476,7794,9634,14176,21657,26589,46361,62203,1048,1,46361,7794,9634,14176,21657,26589
29,981,981.000,540,1557,7880,10093,15269,23937,28225,42470,50645,980,1,42470,7880,10093,15269,23937,28225
30,1043,1043.000,510,1562,7497,9555,13677,22083,27126,44362,79951,1042,1,44362,7497,9555,13677,22083,27126
31,1026,1026.000,583,1638,7134,9725,14342,22242,26266,47102,78310,1026,0,47102,7134,9725,14342,22242,26266
32,1033,1033.000,588,1618,7248,9670,14239,22966,28257,44264,50472,1032,1,44264,7248,9670,14239,22966,28257
33,1070,1070.000,551,1565,6890,9297,14426,21459,26341,40539,55575,1070,0,40539,6890,9297,14426,21459,26341
34,1032,1032.000,514,1664,7111,9662,14668,22324,26524,46689,61533,1032,0,46689,7111,9662,14668,22324,26524
35,1103,1103.000,502,1637,6542,9066,12972,22000,26747,44619,68490,1103,0,44619,6542,9066,12972,22000,26747
36,1067,1067.000,555,1707,7199,9365,13561,22229,25408,43404,54388,1067,0,43404,7199,9365,13561,22229,25408
37,1081,1081.000,544,1628,6496,9165,13526,22424,27253,45369,51877,1080,1,45369,6496,9165,13526,22424,27253
38,1098,1098.000,555,1557,6355,9140,13193,22403,27037,43425,56821,1098,0,43425,6355,9140,13193,22403,27037
39,1035,1035.000,554,1623,7175,9676,13704,22748,27990,45370,64211,1034,1,45370,7175,9676,13704,22748,27990
40,1082,1082.000,459,1733,6643,9210,14133,22454,25522,42649,91663,1082,0,42649,6643,9210,14133,22454,25522
41,1012,1012.000,516,1747,6887,9898,15406,23905,28918,43851,66151,1012,0,43851,6887,9898,15406,23905,28918
42,871,871.000,556,1636,9999,11415,16971,26326,31562,48450,66645,871,0,48450,9999,11415,16971,26326,31562
43,893,893.000,566,1603,10264,11151,16281,24284,30134,43537,66047,892,1,43537,10264,11151,16281,24284,30134
44,986,986.000,584,1380,8206,10123,15245,22955,27860,44120,49869,985,1,44120,8206,10123,15245,22955,27860
45,977,977.000,543,1843,8282,10212,15383,23124,27441,44422,51163,976,1,44422,8282,10212,15383,23124,27441
46,1016,1016.000,565,1717,7681,9853,14872,23356,26395,45706,53452,1015,1,45706,7681,9853,14872,23356,26395
47,1029,1029.000,516,1652,7414,9649,14123,22704,27228,41323,52727,1029,0,41323,7414,9649,14123,22704,27228
48,1034,1034.000,526,1651,7382,9676,14810,23147,27708,41920,55256,1033,1,41920,7382,9676,14810,23147,27708
49,1073,1073.000,542,1598,7095,10137,13509,21884,26467,42076,960006,1073,0,42076,7095,10137,13509,21884,26467
50,923,923.000,553,1562,6924,9764,14458,22662,27991,48722,62275,923,0,48722,6924,9764,14458,22662,27991
51,1042,1042.000,401,1567,6860,9639,15527,22609,27367,45261,60332,1042,0,45261,6860,9639,15527,22609,27367
52,1080,1080.000,547,1657,6808,9231,13344,22037,25556,44592,58327,1079,1,44592,6808,9231,13344,22037,25556
53,1032,1032.000,495,1587,7125,9690,14798,22927,26131,42669,67208,1032,0,42669,7125,9690,14798,22927,26131
54,1091,1091.000,525,1630,6705,9162,13514,22176,25763,41633,79840,1091,0,41633,6705,9162,13514,22176,25763
55,1054,1054.000,542,1488,6873,9481,13337,22087,28240,47630,69319,1053,1,47630,6873,9481,13337,22087,28240
56,1117,1117.000,529,1595,6452,8924,12243,21421,25836,45679,84463,1117,0,45679,6452,8924,12243,21421,25836
57,1084,1084.000,506,1629,6575,9188,14193,22015,25152,44140,71071,1083,1,44140,6575,9188,14193,22015,25152
58,913,913.000,580,1666,8223,10921,16089,25733,31971,48736,57915,912,1,48736,8223,10921,16089,25733,31971
59,877,877.000,535,1539,10174,11369,16496,25411,33667,47397,78730,876,1,47397,10174,11369,16496,25411,33667
60,938,938.000,562,1686,8725,10739,16080,24100,30658,45711,74627,937,1,45711,8725,10739,16080,24100,30658
61,849,849.000,569,1722,8859,11647,17393,26324,32756,56363,98839,848,1,56363,8859,11647,17393,26324,32756
62,1029,1029.000,529,1487,7288,9694,15214,22969,26166,41922,66540,1029,0,41922,7288,9694,15214,22969,26166
63,1074,1074.000,551,1532,7565,9310,13974,21843,25721,42089,47221,1073,1,42089,7565,9310,13974,21843,25721
64,1050,1050.000,556,1557,7349,9553,14467,22552,25738,42312,74512,1049,1,42312,7349,9553,14467,22552,25738
65,1079,1079.000,539,1437,7044,9249,13765,22026,26711,43676,58104,1079,0,43676,7044,9249,13765,22026,26711
66,1062,1062.000,538,1383,7403,9356,14282,21859,25011,41178,55651,1062,0,41178,7403,9356,14282,21859,25011
67,1120,1120.000,589,1527,6848,8913,13376,21156,24685,40485,51453,1120,0,40485,6848,8913,13376,21156,24685
68,1082,1082.000,460,1552,7063,9255,13957,21788,25443,44561,70337,1082,0,44561,7063,9255,13957,21788,25443
69,1124,1124.000,534,1486,6624,8923,13531,21574,25326,42203,61958,1124,0,42203,6624,8923,13531,21574,25326
70,1097,1097.000,535,1545,6531,9067,13278,21995,25900,45830,55000,1096,1,45830,6531,9067,13278,21995,25900
71,965,965.000,574,1750,7860,10306,15685,23728,28798,46520,70902,964,1,46520,7860,10306,15685,23728,28798
72,1027,1027.000,552,1528,6988,9706,14961,22300,25821,45846,69419,1027,0,45846,6988,9706,14961,22300,25821
73,1154,1154.000,526,1529,6485,8658,11252,21156,25479,45417,60354,1153,1,45417,6485,8658,11252,21156,25479
74,1001,1001.000,536,1663,7166,10722,14978,22810,26997,44308,975823,1001,0,44308,7166,10722,14978,22810,26997
75,792,792.000,571,1476,10753,11695,17067,26888,32173,48578,53475,791,1,48578,10753,11695,17067,26888,32173
76,926,926.000,539,1501,9398,10737,16210,23841,29595,44818,58584,925,1,44818,9398,10737,16210,23841,29595
77,955,955.000,550,1622,8972,10461,15256,23615,28588,43966,62748,955,0,43966,8972,10461,15256,23615,28588
78,1004,1004.000,549,1606,7550,9947,15046,22659,27518,45951,74947,1004,0,45951,7550,9947,15046,22659,27518
79,1365,1365.000,494,1514,5227,7292,10020,16471,20653,40635,63451,1364,1,40635,5227,7292,10020,16471,20653
80,1191,1191.000,595,1583,5838,8409,11921,18364,23118,49327,89863,1191,0,49327,5838,8409,11921,18364,23118
81,1084,1084.000,549,1540,6504,9286,13822,21772,25987,45577,73352,1083,1,45577,6504,9286,13822,21772,25987
82,1187,1187.000,577,1557,6032,8350,11745,19643,24192,44689,56711,1186,1,44689,6032,8350,11745,19643,24192
83,1146,1146.000,609,1430,6537,8711,12778,20664,24682,43408,53341,1146,0,43408,6537,8711,12778,20664,24682
84,1088,1088.000,585,1516,6598,9153,12713,21409,27132,47037,56501,1088,0,47037,6598,9153,12713,21409,27132
85,1008,1008.000,590,1413,7176,9873,14881,23856,27960,45617,55707,1007,1,45617,7176,9873,14881,23856,27960
86,1074,1074.000,580,1657,7268,9299,13410,21828,26725,45884,64844,1074,0,45884,7268,9299,13410,21828,26725
87,925,925.000,570,1522,8449,10884,16296,24807,31239,48581,75572,924,1,48581,8449,10884,16296,24807,31239
88,1018,1018.000,552,1539,7220,9777,15203,22404,28324,42430,56998,1018,0,42430,7220,9777,15203,22404,28324
89,802,802.000,600,1371,11568,12451,18673,27881,33012,48565,55307,801,1,48565,11568,12451,18673,27881,33012
