time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,486,486.000,486.000,175812,175812,485,1
1,752,752.000,752.000,60369,60369,752,0
2,952,952.000,952.000,43532,43532,951,1
3,919,919.000,919.000,50445,50445,919,0
4,1023,1023.000,1023.000,37679,37679,1023,0
5,994,994.000,994.000,47776,47776,993,1
6,948,948.000,948.000,43446,43446,947,1
7,1104,1104.000,1104.000,43375,43375,1103,1
8,892,892.000,892.000,47967,47967,892,0
9,899,899.000,899.000,47849,47849,898,1
10,909,909.000,909.000,47902,47902,908,1
11,1211,1211.000,1211.000,40144,40144,1211,0
12,934,934.000,934.000,46730,46730,933,1
13,968,968.000,968.000,50136,50136,967,1
14,1019,1019.000,1019.000,48026,48026,1018,1
15,1019,1019.000,1019.000,47961,47961,1019,0
16,1031,1031.000,1031.000,46281,46281,1030,1
17,1002,1002.000,1002.000,44671,44671,1002,0
18,1030,1030.000,1030.000,54673,54673,1029,1
19,1008,1008.000,1008.000,47655,47655,1008,0
20,1031,1031.000,1031.000,43962,43962,1031,0
21,1014,1014.000,1014.000,42944,42944,1014,0
22,987,987.000,987.000,49604,49604,986,1
23,1085,1085.000,1085.000,45786,45786,1085,0
24,843,843.000,843.000,49412,49412,843,0
25,833,833.000,833.000,44206,44206,833,0
26,1004,1004.000,1004.000,46193,46193,1003,1
27,971,971.000,971.000,47599,47599,971,0
28,974,974.000,974.000,47351,47351,974,0
29,1027,1027.000,1027.000,44677,44677,1026,1
30,1019,1019.000,1019.000,43760,43760,1019,0
31,1028,1028.000,1028.000,46493,46493,1028,0
32,1047,1047.000,1047.000,44665,44665,1046,1
33,1060,1060.000,1060.000,42730,42730,1060,0
34,1044,1044.000,1044.000,46709,46709,1044,0
35,1036,1036.000,1036.000,45858,45858,1035,1
36,1042,1042.000,1042.000,48674,48674,1041,1
37,955,955.000,955.000,48531,48531,955,0
38,1075,1075.000,1075.000,46855,46855,1075,0
39,1073,1073.000,1073.000,44795,44795,1073,0
40,910,910.000,910.000,46526,46526,910,0
41,864,864.000,864.000,47332,47332,863,1
42,930,930.000,930.000,47081,47081,930,0
43,968,968.000,968.000,45117,45117,967,1
44,958,958.000,958.000,52172,52172,958,0
45,1017,1017.000,1017.000,43974,43974,1016,1
46,1022,1022.000,1022.000,50086,50086,1022,0
47,1043,1043.000,1043.000,41662,41662,1042,1
48,926,926.000,926.000,49093,49093,926,0
49,986,986.000,986.000,45318,45318,986,0
50,1104,1104.000,1104.000,40755,40755,1104,0
51,1052,1052.000,1052.000,43771,43771,1051,1
52,1088,1088.000,1088.000,43850,43850,1087,1
53,999,999.000,999.000,48253,48253,998,1
54,1075,1075.000,1075.000,46671,46671,1074,1
55,1077,1077.000,1077.000,44959,44959,1076,1
56,907,907.000,907.000,47689,47689,907,0
57,906,906.000,906.000,44849,44849,906,0
58,915,915.000,915.000,47847,47847,914,1
59,943,943.000,943.000,44356,44356,943,0
60,978,978.000,978.000,44985,44985,977,1
61,995,995.000,995.000,44309,44309,994,1
62,1016,1016.000,1016.000,45609,45609,1015,1
63,1060,1060.000,1060.000,40438,40438,1059,1
64,1058,1058.000,1058.000,43791,43791,1057,1
65,1011,1011.000,1011.000,46209,46209,1010,1
66,1065,1065.000,1065.000,45559,45559,1065,0
67,1012,1012.000,1012.000,46921,46921,1011,1
68,1063,1063.000,1063.000,49183,49183,1062,1
69,1079,1079.000,1079.000,47570,47570,1078,1
70,991,991.000,991.000,44061,44061,991,0
71,1104,1104.000,1104.000,42138,42138,1103,1
72,1084,1084.000,1084.000,45566,45566,1083,1
73,795,795.000,795.000,47287,47287,795,0
74,921,921.000,921.000,46919,46919,921,0
75,926,926.000,926.000,48510,48510,925,1
76,1011,1011.000,1011.000,39265,39265,1010,1
77,1222,1222.000,1222.000,43605,43605,1221,1
78,1314,1314.000,1314.000,42564,42564,1313,1
