Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,327,327.000,1152,12711,23290,30381,38197,53892,63887,200213,212170,327,0,200213,23290,30381,38197,53892,63887
1,602,602.000,688,1518,18203,16646,24887,30778,33853,41795,1023743,601,1,41795,18203,16646,24887,30778,33853
2,584,584.000,861,1761,19487,16859,26254,33030,35546,48984,95295,584,0,48984,19487,16859,26254,33030,35546
3,558,558.000,579,2722,19564,17921,25733,31328,36126,69938,84137,558,0,69938,19564,17921,25733,31328,36126
4,623,623.000,810,1775,18338,16032,24502,29429,32305,39676,44864,623,0,39676,18338,16032,24502,29429,32305
5,616,616.000,836,2213,18430,16204,24994,29749,32243,35709,39333,616,0,35709,18430,16204,24994,29749,32243
6,534,534.000,840,5868,20840,18679,26809,32176,36913,54963,79076,534,0,54963,20840,18679,26809,32176,36913
7,584,584.000,784,2411,19217,17029,25961,31377,34165,39147,51011,584,0,39147,19217,17029,25961,31377,34165
8,643,643.000,801,2151,17071,15542,24004,29184,33999,39646,46195,643,0,39646,17071,15542,24004,29184,33999
9,604,604.000,770,2749,18195,16601,25591,30998,34992,40339,47517,604,0,40339,18195,16601,25591,30998,34992
10,499,499.000,795,4870,22108,19977,30216,35985,39794,58380,69338,499,0,58380,22108,19977,30216,35985,39794
11,477,477.000,803,8577,24444,21029,30671,35662,39289,43863,61441,477,0,43863,24444,21029,30671,35662,39289
12,588,588.000,734,1549,19925,16786,26068,30678,33792,41616,61018,587,1,41616,19925,16786,26068,30678,33792
13,568,568.000,770,3874,20785,17816,26886,31645,34421,39121,46307,568,0,39121,20785,17816,26886,31645,34421
14,550,550.000,735,3940,20713,18037,26412,31553,35023,49755,64750,550,0,49755,20713,18037,26412,31553,35023
15,596,596.000,741,2987,18881,16816,25428,30637,34663,39693,45499,596,0,39693,18881,16816,25428,30637,34663
16,590,590.000,725,2775,18915,16862,25877,30230,33498,39514,55537,589,1,39514,18915,16862,25877,30230,33498
17,609,609.000,771,2416,18861,16382,24864,30488,33191,38163,41807,608,1,38163,18861,16382,24864,30488,33191
18,606,606.000,770,2821,18791,16564,25001,30208,33310,39113,50361,606,0,39113,18791,16564,25001,30208,33310
19,611,611.000,803,1940,18124,16317,25290,30818,33809,49973,58923,610,1,49973,18124,16317,25290,30818,33809
20,626,626.000,735,1805,17470,15906,24809,29827,32858,39140,42591,626,0,39140,17470,15906,24809,29827,32858
21,613,613.000,760,2950,18630,16365,24065,28673,32434,39376,44072,612,1,39376,18630,16365,24065,28673,32434
22,637,637.000,770,1554,17591,15646,25068,29300,31683,36963,52011,636,1,36963,17591,15646,25068,29300,31683
23,588,588.000,767,5417,18954,17016,25172,30727,32806,37700,46613,588,0,37700,18954,17016,25172,30727,32806
24,606,606.000,729,2459,18018,16496,24605,31209,35046,50959,60694,606,0,50959,18018,16496,24605,31209,35046
25,576,576.000,680,2214,19177,17278,26343,31035,35034,53702,59312,576,0,53702,19177,17278,26343,31035,35034
26,603,603.000,752,3423,18547,16605,25030,30243,33291,39286,51631,603,0,39286,18547,16605,25030,30243,33291
27,575,575.000,778,6062,18830,17284,25538,30102,34015,39347,46269,574,1,39347,18830,17284,25538,30102,34015
28,676,676.000,799,1426,16326,14788,23116,28709,31351,38278,44893,676,0,38278,16326,14788,23116,28709,31351
29,526,526.000,829,2918,20043,19044,29434,36393,40528,46230,50579,526,0,46230,20043,19044,29434,36393,40528
30,526,526.000,770,1711,22591,18975,28995,33828,36712,44032,63918,526,0,44032,22591,18975,28995,33828,36712
31,523,523.000,772,2859,21353,19151,27463,33563,38580,57258,84851,523,0,57258,21353,19151,27463,33563,38580
32,561,561.000,804,4890,20219,17850,27352,32281,34240,41569,48796,560,1,41569,20219,17850,27352,32281,34240
33,611,611.000,744,2010,18445,16336,25058,30169,32646,37770,54268,611,0,37770,18445,16336,25058,30169,32646
34,615,615.000,784,1628,18468,16171,24797,30065,33340,40666,48308,614,1,40666,18468,16171,24797,30065,33340
35,641,641.000,772,1408,17052,15555,25188,30651,33741,40664,45854,641,0,40664,17052,15555,25188,30651,33741
36,576,576.000,794,5175,19025,17282,25723,31096,33815,39073,46230,576,0,39073,19025,17282,25723,31096,33815
37,623,623.000,781,2452,17883,16097,24700,30284,32821,39775,54248,623,0,39775,17883,16097,24700,30284,32821
38,594,594.000,780,1578,18432,16889,25642,32119,35513,50694,68020,594,0,50694,18432,16889,25642,32119,35513
39,601,601.000,774,2175,19013,16583,25363,30532,33387,36894,39571,601,0,36894,19013,16583,25363,30532,33387
40,607,607.000,737,3532,18202,16548,24850,30124,33961,39396,43625,606,1,39396,18202,16548,24850,30124,33961
41,606,606.000,761,2337,18011,16366,24713,30366,32231,38722,49470,605,1,38722,18011,16366,24713,30366,32231
42,603,603.000,773,3049,18648,16605,24812,30355,34263,39155,45158,602,1,39155,18648,16605,24812,30355,34263
43,619,619.000,729,2145,18306,16097,24036,30014,32720,38376,43837,619,0,38376,18306,16097,24036,30014,32720
44,611,611.000,791,2142,17957,16305,25072,30276,33866,40079,62945,611,0,40079,17957,16305,25072,30276,33866
45,554,554.000,732,3944,20486,18017,26907,31926,36437,53913,64063,554,0,53913,20486,18017,26907,31926,36437
46,654,654.000,693,2416,16835,15381,23818,29356,31682,37607,41515,653,1,37607,16835,15381,23818,29356,31682
47,609,609.000,760,2769,17733,16459,24998,30378,33273,37478,44112,609,0,37478,17733,16459,24998,30378,33273
48,582,582.000,768,5287,18927,18403,24911,30235,32075,38121,1012367,581,1,38121,18927,18403,24911,30235,32075
49,520,520.000,737,1358,20882,17776,29133,35310,38333,47132,57185,520,0,47132,20882,17776,29133,35310,38333
50,505,505.000,771,5772,22747,19594,29278,34633,37656,42270,47613,504,1,42270,22747,19594,29278,34633,37656
51,545,545.000,718,2457,20693,19204,26937,31244,34008,40545,1042635,545,0,40545,20693,19204,26937,31244,34008
52,586,586.000,747,1469,18361,16236,26096,31653,35288,41651,58266,586,0,41651,18361,16236,26096,31653,35288
53,570,570.000,799,3377,19113,17563,26229,31698,33658,42124,62566,570,0,42124,19113,17563,26229,31698,33658
54,576,576.000,785,4299,19701,17388,26234,30919,33515,37829,53088,575,1,37829,19701,17388,26234,30919,33515
55,580,580.000,790,3021,18691,17240,25977,32426,36021,41966,47163,580,0,41966,18691,17240,25977,32426,36021
56,624,624.000,795,2149,17907,15936,24886,30371,32685,38087,42793,623,1,38087,17907,15936,24886,30371,32685
57,609,609.000,761,2110,17816,16421,25631,31159,34260,40958,45184,609,0,40958,17816,16421,25631,31159,34260
58,560,560.000,821,5406,19845,17872,26249,32154,35064,41325,51630,560,0,41325,19845,17872,26249,32154,35064
59,598,598.000,851,2626,18619,16589,24723,30356,34375,39663,50610,598,0,39663,18619,16589,24723,30356,34375
60,611,611.000,734,2412,18541,16488,25329,30509,33997,40377,55089,611,0,40377,18541,16488,25329,30509,33997
61,617,617.000,671,3067,18335,16140,24096,29718,33252,38192,42617,616,1,38192,18335,16140,24096,29718,33252
62,578,578.000,767,3197,19083,17363,25645,31699,34828,52164,72458,578,0,52164,19083,17363,25645,31699,34828
63,590,590.000,814,3250,18671,16867,25319,30808,34089,38949,46371,590,0,38949,18671,16867,25319,30808,34089
64,600,600.000,779,3837,18552,16637,24589,29899,33995,39171,41802,600,0,39171,18552,16637,24589,29899,33995
65,594,594.000,746,2714,18853,16863,25521,30835,34637,39650,60082,594,0,39650,18853,16863,25521,30835,34637
66,618,618.000,762,3423,17651,16089,24351,29546,32310,40005,45126,618,0,40005,17651,16089,24351,29546,32310
67,604,604.000,728,3177,18216,16578,25127,30166,33700,40331,49484,604,0,40331,18216,16578,25127,30166,33700
68,604,604.000,741,1794,17350,16601,25666,33040,37368,44908,57936,603,1,44908,17350,16601,25666,33040,37368
69,612,612.000,750,1240,15985,16325,27541,36078,40587,53765,69310,611,1,53765,15985,16325,27541,36078,40587
70,552,552.000,746,1396,20082,18109,29413,36905,41169,50262,57235,552,0,50262,20082,18109,29413,36905,41169
71,535,535.000,798,2794,21351,18717,28185,33004,38471,50423,61243,535,0,50423,21351,18717,28185,33004,38471
72,546,546.000,759,3093,21233,18279,27342,32521,35404,40652,54623,546,0,40652,21233,18279,27342,32521,35404
73,552,552.000,806,3953,20689,17994,26844,32717,35369,39249,57448,552,0,39249,20689,17994,26844,32717,35369
