Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1664252518.882320,209297,0,1,0,0,1,0,0
1,NewOrder,1664252518.883283,207564,1,1,0,0,1,0,0
1,NewOrder,1664252518.883391,211877,7,1,0,0,1,0,0
1,NewOrder,1664252518.883458,199855,9,1,0,0,1,0,0
1,NewOrder,1664252518.883477,200251,8,1,0,0,1,0,0
1,NewOrder,1664252518.883563,211583,2,1,0,0,1,0,0
1,NewOrder,1664252518.883587,200181,3,1,0,0,1,0,0
1,NewOrder,1664252518.883645,199629,5,1,0,0,1,0,0
1,NewOrder,1664252518.883681,199590,6,1,0,0,1,0,0
1,NewOrder,1664252519.083533,45018,6,1,0,0,0,1,1120
1,NewOrder,1664252519.083864,25832,9,1,0,0,0,1,15314
1,NewOrder,1664252519.083889,22531,8,1,0,0,0,1,5247
1,NewOrder,1664252519.083907,34685,5,1,0,0,0,1,12888
1,NewOrder,1664252519.083922,46591,3,1,0,0,0,1,13131
1,NewOrder,1664252519.084687,25442,4,1,0,0,0,1,806
1,NewOrder,1664252519.090898,40114,1,1,0,0,0,1,4697
1,NewOrder,1664252519.091732,35937,0,1,0,0,0,1,2241
1,NewOrder,1664252519.095213,29383,2,1,0,0,0,1,15348
1,NewOrder,1664252519.095373,22325,7,1,0,0,0,1,5242
1,NewOrder,1664252519.106485,34023,8,1,0,0,1,0,0
1,NewOrder,1664252519.109740,36577,9,1,0,0,1,0,0
1,NewOrder,1664252519.110174,23481,4,1,0,0,1,0,0
1,NewOrder,1664252519.117735,43090,7,1,0,0,1,0,0
1,NewOrder,1664252519.118643,20828,5,1,0,0,1,0,0
1,NewOrder,1664252519.125393,27881,2,1,0,0,1,0,0
1,NewOrder,1664252519.127712,11631,0,1,0,0,1,0,0
1,NewOrder,1664252519.128600,21240,6,1,0,0,1,0,0
1,NewOrder,1664252519.130554,26238,3,1,0,0,1,0,0
