Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,282.000,23.835,0.689,7.591,11.876,33.490,61.793,77.574,107.096,181.282,0.042
5,349.200,20.952,0.666,6.834,9.528,27.972,54.337,74.744,100.756,123.887,0.048
10,347.200,22.828,0.597,6.819,9.366,33.159,60.735,79.855,105.095,140.515,0.044
15,272.000,29.343,0.697,7.022,10.080,35.336,62.670,75.260,117.870,1029.244,0.034
20,376.400,20.781,0.574,6.509,9.297,28.893,55.023,69.860,93.210,135.184,0.048
25,256.000,31.764,0.577,6.862,12.190,43.061,74.075,87.633,138.402,835.325,0.031
30,347.800,22.915,0.565,6.277,9.060,31.434,61.950,86.228,106.733,143.819,0.044
35,307.600,26.181,0.575,6.123,8.658,29.043,58.309,73.173,109.015,1025.918,0.038
40,293.600,24.501,0.572,6.886,9.797,31.568,65.493,85.645,125.468,317.759,0.041
45,284.400,26.927,0.610,6.262,8.144,29.265,53.769,69.393,118.688,1113.588,0.037
50,304.600,24.656,0.600,6.441,11.702,37.375,59.966,76.617,142.821,184.631,0.041
55,347.000,21.709,0.659,6.258,8.213,28.031,60.762,78.291,104.770,156.686,0.046
60,311.600,25.056,0.556,6.210,8.305,25.332,51.032,67.166,98.482,1028.814,0.040
65,357.000,20.812,0.581,6.307,8.334,26.689,55.480,77.176,114.243,148.869,0.048
70,441.000,16.126,0.623,6.008,7.522,19.593,41.720,56.791,82.965,117.916,0.062
75,407.800,15.882,0.648,5.912,7.536,18.906,35.199,44.971,64.574,679.704,0.063
80,448.800,15.363,0.585,5.933,7.508,20.418,40.641,51.866,71.901,87.687,0.065
85,439.000,15.268,0.537,5.984,7.503,20.580,36.282,50.921,77.226,104.334,0.065
90,434.600,15.763,0.609,5.937,7.415,22.934,40.068,52.703,78.038,100.074,0.063
95,2543.200,2.077,0.036,0.070,0.105,0.143,5.704,8.912,42.839,81.277,0.482
100,4472.800,0.137,0.038,0.104,0.136,0.157,0.179,0.184,0.208,39.286,7.300
105,4285.000,0.137,0.038,0.112,0.138,0.161,0.180,0.187,0.215,1.791,7.287
110,4309.800,0.138,0.037,0.115,0.138,0.162,0.179,0.184,0.209,1.228,7.259
115,4297.400,0.138,0.037,0.118,0.138,0.162,0.179,0.184,0.206,0.312,7.251
