Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24.400,5.329,2.680,4.231,5.012,6.006,7.151,8.273,11.986,12.547,0.188
5,35.200,4.311,0.716,3.691,4.279,5.028,5.601,5.976,7.162,7.319,0.232
10,34.000,4.382,0.715,3.689,4.217,5.159,6.111,7.026,8.217,8.295,0.228
15,24.600,4.109,0.675,3.449,4.059,4.715,5.478,6.302,7.343,8.286,0.243
20,36.600,4.276,0.695,3.600,4.192,4.902,5.550,6.415,7.082,7.229,0.234
25,26.000,4.074,0.716,3.325,3.917,4.832,5.860,6.626,6.962,8.576,0.245
30,31.400,4.114,0.696,3.492,4.075,4.765,5.354,5.901,8.331,8.338,0.243
35,26.000,4.257,0.950,3.467,4.190,4.804,5.677,6.140,9.481,10.181,0.235
40,31.000,4.481,0.797,3.679,4.252,5.193,6.410,7.147,9.003,11.626,0.223
45,29.400,4.410,0.628,3.792,4.448,5.090,6.099,6.657,7.114,7.476,0.227
50,29.200,4.226,0.627,3.790,4.393,5.003,5.872,6.335,7.327,7.373,0.237
55,30.800,4.390,0.605,3.727,4.493,5.161,5.734,6.240,7.397,7.750,0.228
60,31.600,4.196,0.587,3.472,4.365,5.150,5.922,6.389,7.248,10.737,0.238
65,32.600,4.146,0.646,3.561,4.244,4.943,5.652,6.233,7.603,8.310,0.241
70,40.600,4.172,0.646,3.416,4.050,4.880,5.703,6.277,7.344,8.464,0.240
75,37.200,4.204,0.707,3.593,4.193,4.835,5.195,5.734,7.155,7.691,0.238
80,42.600,4.456,0.710,3.881,4.299,4.998,5.626,6.255,6.639,7.879,0.224
85,45.200,4.301,0.712,3.764,4.269,4.887,5.546,6.038,7.099,7.968,0.232
90,42.200,4.428,0.680,3.735,4.243,4.824,5.407,5.678,6.270,43.447,0.226
95,235.000,4.428,0.663,3.310,4.024,4.954,6.483,7.820,11.607,22.385,0.226
100,406.000,4.402,0.826,3.322,3.915,4.691,6.291,8.210,11.352,49.552,0.227
105,405.800,3.980,1.221,3.175,3.767,4.350,5.241,6.111,8.471,46.442,0.251
110,394.400,3.920,2.096,3.134,3.689,4.221,5.160,6.158,8.458,37.063,0.255
115,395.400,3.983,2.118,3.056,3.646,4.224,5.362,6.192,8.973,46.292,0.251
