Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,654.200,15.246,0.580,2.500,7.591,18.726,38.436,59.935,98.861,220.820,0.066
5,829.800,12.016,0.640,1.604,5.905,13.450,30.669,49.498,91.847,123.887,0.083
10,812.400,12.341,0.597,1.506,5.188,12.248,36.242,57.193,92.085,140.515,0.081
15,622.400,16.069,0.555,1.532,5.754,13.725,40.678,59.463,90.636,1029.244,0.062
20,871.600,11.420,0.574,1.498,5.032,11.634,32.477,50.402,86.421,135.184,0.088
25,589.800,16.935,0.577,1.604,5.332,14.787,47.813,70.018,101.435,835.325,0.059
30,817.800,12.254,0.565,1.484,4.737,12.199,33.547,56.960,100.901,143.819,0.082
35,713.200,13.924,0.575,1.486,4.540,10.785,33.544,54.033,87.371,1025.918,0.072
40,694.600,14.430,0.572,1.562,5.616,14.174,33.778,62.604,105.123,997.455,0.069
45,649.200,15.361,0.610,1.511,5.636,14.764,34.233,51.005,95.195,1113.588,0.065
50,714.000,14.000,0.600,1.566,5.816,17.085,41.110,55.412,105.131,184.631,0.071
55,797.000,12.537,0.605,1.593,5.479,13.512,37.719,57.928,94.066,156.686,0.080
60,727.800,13.705,0.556,1.496,5.239,13.125,30.442,46.672,76.410,1028.814,0.073
65,832.600,11.967,0.581,1.563,5.322,13.895,30.038,52.678,96.035,148.869,0.084
70,1035.200,9.691,0.623,1.504,5.135,10.076,24.378,38.304,68.356,117.916,0.103
75,944.600,10.569,0.648,1.551,5.530,10.455,22.942,33.033,56.909,1010.209,0.095
80,1029.800,9.652,0.548,1.599,5.523,10.326,25.023,38.215,66.378,87.687,0.104
85,1043.200,9.552,0.537,1.532,5.468,10.636,24.664,34.902,69.376,104.334,0.105
90,1030.000,9.695,0.609,1.488,5.401,10.087,25.414,38.512,63.129,100.074,0.103
95,5941.200,1.672,0.036,0.119,0.247,0.578,3.963,7.048,27.825,82.643,0.598
100,10395.200,0.539,0.038,0.139,0.248,0.478,0.685,2.414,5.078,49.552,1.854
105,9999.200,0.526,0.038,0.142,0.274,0.487,0.691,2.425,4.545,46.442,1.901
110,10000.400,0.518,0.037,0.141,0.287,0.498,0.693,2.225,4.311,37.063,1.930
115,9994.800,0.524,0.037,0.142,0.290,0.501,0.699,2.223,4.370,46.292,1.908
