Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,295.200,8.510,0.567,1.454,2.874,12.657,21.808,27.513,48.217,217.963,0.118
5,375.200,4.891,0.586,1.207,1.568,6.095,14.315,17.578,26.682,74.609,0.204
10,357.400,4.462,0.735,1.217,1.615,5.382,13.669,15.798,19.560,41.454,0.224
15,279.600,5.869,0.721,1.229,1.546,5.072,13.460,16.568,20.573,1021.287,0.170
20,378.000,4.258,0.748,1.209,1.605,4.795,12.679,15.538,21.537,30.235,0.235
25,270.600,5.606,0.699,1.210,1.561,4.922,12.715,15.707,21.892,1013.441,0.178
30,375.800,4.833,0.735,1.174,1.555,5.437,12.973,15.359,20.016,1012.644,0.207
35,322.400,3.952,0.741,1.187,1.515,4.336,11.725,14.321,18.617,43.361,0.253
40,325.400,7.185,0.683,1.191,1.526,5.599,15.600,19.457,28.468,982.570,0.139
45,297.000,6.310,0.718,1.182,1.619,5.934,17.449,21.378,29.787,1024.423,0.158
50,349.400,5.582,0.751,1.201,1.784,6.202,17.238,20.981,30.853,38.620,0.179
55,362.000,5.779,0.741,1.199,1.924,6.025,17.679,20.884,30.827,78.038,0.173
60,330.400,6.730,0.724,1.201,1.714,6.145,16.826,21.021,28.660,1024.693,0.149
65,379.800,5.348,0.733,1.192,1.774,5.812,16.350,20.756,27.783,52.469,0.187
70,451.600,5.001,0.719,1.145,1.541,5.815,15.466,19.354,25.869,34.153,0.200
75,414.600,6.915,0.718,1.141,1.511,7.225,15.637,19.418,27.687,1011.995,0.145
80,480.800,5.461,0.731,1.173,1.634,7.096,16.304,20.296,25.394,46.844,0.183
85,488.400,5.458,0.647,1.153,1.661,7.234,15.888,19.535,26.161,82.080,0.183
90,475.000,5.466,0.748,1.148,1.544,7.063,16.252,20.317,28.402,68.504,0.183
95,2190.000,1.276,0.103,0.266,0.399,0.616,1.411,6.046,19.112,78.530,0.784
100,5112.800,0.572,0.102,0.267,0.372,0.501,0.631,0.684,7.523,37.674,1.749
105,4495.600,0.635,0.103,0.308,0.405,0.527,0.646,0.693,10.485,49.630,1.574
110,4513.400,0.636,0.103,0.321,0.420,0.538,0.647,0.687,10.533,61.261,1.572
115,4468.800,0.674,0.103,0.323,0.421,0.536,0.646,0.683,13.374,50.196,1.485
