Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.400,6.198,1.952,3.449,4.567,6.026,8.134,9.732,14.018,121.573,0.161
5,33.600,2.808,1.436,2.381,2.676,3.100,3.751,3.999,5.019,5.157,0.356
10,29.400,3.001,1.527,2.246,2.554,3.209,3.850,4.316,6.195,38.270,0.333
15,27.200,2.553,1.481,2.203,2.447,2.793,3.405,3.919,4.280,4.398,0.392
20,32.600,2.589,1.554,2.158,2.425,2.912,3.719,4.145,4.484,4.617,0.386
25,22.600,2.553,1.626,2.169,2.434,2.810,3.145,3.756,4.358,4.944,0.392
30,35.800,2.408,1.483,2.042,2.289,2.647,3.247,3.658,4.438,4.886,0.415
35,27.200,2.436,1.522,1.959,2.335,2.606,3.194,4.190,4.833,5.308,0.411
40,37.200,2.402,1.371,1.982,2.293,2.577,3.063,3.833,4.637,9.594,0.416
45,21.000,2.389,1.627,2.037,2.255,2.562,3.112,3.554,4.351,4.757,0.419
50,28.000,2.327,1.473,1.911,2.227,2.488,2.875,3.415,5.044,6.326,0.430
55,26.800,2.307,1.510,1.944,2.310,2.497,2.893,3.330,3.976,4.596,0.433
60,34.800,2.298,1.304,1.930,2.233,2.502,2.949,3.640,4.445,4.577,0.435
65,21.000,2.187,1.287,1.892,2.116,2.397,2.725,3.094,3.889,4.032,0.457
70,34.000,2.211,1.527,1.904,2.083,2.411,2.710,2.994,4.178,5.758,0.452
75,38.800,2.173,1.330,1.811,2.056,2.343,2.757,3.138,5.319,7.516,0.460
80,50.800,2.184,1.405,1.856,2.117,2.398,2.744,2.999,3.704,4.847,0.458
85,38.400,2.195,1.341,1.865,2.105,2.393,2.732,3.110,4.393,4.955,0.456
90,42.000,2.178,1.379,1.868,2.085,2.302,2.720,3.185,4.197,5.628,0.459
95,44.600,2.147,1.476,1.840,2.048,2.281,2.632,2.964,4.040,5.490,0.466
100,437.400,2.642,1.107,1.719,2.105,2.884,4.407,5.935,9.354,13.974,0.379
105,397.400,2.199,1.039,1.647,1.896,2.341,3.101,4.200,6.189,30.120,0.455
110,407.400,2.172,1.077,1.654,1.895,2.305,3.055,3.991,6.064,9.689,0.460
115,394.400,2.172,0.990,1.674,1.895,2.289,3.032,3.767,6.585,37.358,0.460
