time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,374,374.000,374.000,193625,193625,374,0
1,687,687.000,687.000,59426,59426,687,0
2,573,573.000,573.000,760929,760929,573,0
3,453,453.000,453.000,71020,71020,453,0
4,824,824.000,824.000,46816,46816,823,1
5,798,798.000,798.000,51816,51816,797,1
6,889,889.000,889.000,46179,46179,888,1
7,811,811.000,811.000,76002,76002,811,0
8,898,898.000,898.000,38988,38988,898,0
9,885,885.000,885.000,36064,36064,885,0
10,897,897.000,897.000,41809,41809,896,1
11,923,923.000,923.000,37175,37175,923,0
12,875,875.000,875.000,42191,42191,875,0
13,871,871.000,871.000,67457,67457,871,0
14,899,899.000,899.000,38206,38206,899,0
15,853,853.000,853.000,38213,38213,852,1
16,884,884.000,884.000,37431,37431,883,1
17,922,922.000,922.000,39217,39217,922,0
18,908,908.000,908.000,46612,46612,907,1
19,918,918.000,918.000,43441,43441,917,1
20,795,795.000,795.000,70738,70738,794,1
21,967,967.000,967.000,36302,36302,967,0
22,938,938.000,938.000,39630,39630,938,0
23,942,942.000,942.000,44199,44199,941,1
24,947,947.000,947.000,40263,40263,946,1
25,924,924.000,924.000,37601,37601,923,1
26,954,954.000,954.000,36184,36184,954,0
27,874,874.000,874.000,73144,73144,873,1
28,936,936.000,936.000,42272,42272,935,1
29,944,944.000,944.000,44113,44113,943,1
30,942,942.000,942.000,35740,35740,941,1
31,926,926.000,926.000,41091,41091,926,0
32,947,947.000,947.000,34829,34829,947,0
33,828,828.000,828.000,68020,68020,827,1
34,931,931.000,931.000,40229,40229,931,0
35,980,980.000,980.000,31515,31515,980,0
36,895,895.000,895.000,37328,37328,894,1
37,842,842.000,842.000,35221,35221,841,1
38,950,950.000,950.000,39731,39731,949,1
39,905,905.000,905.000,35143,35143,904,1
40,847,847.000,847.000,74503,74503,847,0
41,966,966.000,966.000,37952,37952,965,1
42,917,917.000,917.000,36900,36900,916,1
43,919,919.000,919.000,39328,39328,919,0
44,916,916.000,916.000,33486,33486,915,1
45,898,898.000,898.000,38009,38009,897,1
46,891,891.000,891.000,77207,77207,891,0
47,948,948.000,948.000,36720,36720,948,0
48,917,917.000,917.000,44719,44719,917,0
49,930,930.000,930.000,39053,39053,930,0
50,930,930.000,930.000,33292,33292,929,1
51,951,951.000,951.000,36838,36838,951,0
52,943,943.000,943.000,34462,34462,943,0
53,835,835.000,835.000,78373,78373,834,1
54,948,948.000,948.000,37347,37347,948,0
55,920,920.000,920.000,34746,34746,920,0
56,969,969.000,969.000,36186,36186,968,1
57,961,961.000,961.000,37046,37046,960,1
58,982,982.000,982.000,32000,32000,981,1
59,871,871.000,871.000,75861,75861,870,1
60,882,882.000,882.000,36258,36258,881,1
61,988,988.000,988.000,35230,35230,987,1
62,949,949.000,949.000,37592,37592,949,0
63,989,989.000,989.000,37743,37743,988,1
64,932,932.000,932.000,36985,36985,931,1
65,941,941.000,941.000,44144,44144,941,0
66,853,853.000,853.000,78122,78122,852,1
67,979,979.000,979.000,40713,40713,979,0
68,957,957.000,957.000,34447,34447,956,1
69,954,954.000,954.000,38221,38221,954,0
70,956,956.000,956.000,37616,37616,955,1
71,957,957.000,957.000,36950,36950,956,1
72,827,827.000,827.000,84092,84092,826,1
73,194,194.000,194.000,741307,741307,194,0
74,932,932.000,932.000,34118,34118,931,1
75,374,374.000,374.000,938996,938996,374,0
76,803,803.000,803.000,36523,36523,802,1
77,931,931.000,931.000,34220,34220,931,0
78,930,930.000,930.000,45033,45033,929,1
79,960,960.000,960.000,35518,35518,959,1
80,940,940.000,940.000,32555,32555,939,1
81,856,856.000,856.000,70333,70333,856,0
82,908,908.000,908.000,37998,37998,908,0
83,993,993.000,993.000,34347,34347,993,0
84,885,885.000,885.000,39218,39218,884,1
85,949,949.000,949.000,35756,35756,949,0
86,936,936.000,936.000,36674,36674,936,0
87,884,884.000,884.000,74087,74087,883,1
88,978,978.000,978.000,37447,37447,978,0
89,897,897.000,897.000,42218,42218,897,0
90,923,923.000,923.000,36636,36636,923,0
91,964,964.000,964.000,34828,34828,964,0
92,948,948.000,948.000,33609,33609,948,0
93,957,957.000,957.000,36002,36002,957,0
94,917,917.000,917.000,77300,77300,917,0
95,935,935.000,935.000,35565,35565,935,0
96,700,700.000,700.000,842686,842686,700,0
97,395,395.000,395.000,52831,52831,394,1
98,916,916.000,916.000,39423,39423,916,0
99,934,934.000,934.000,35005,35005,933,1
100,932,932.000,932.000,39033,39033,932,0
101,868,868.000,868.000,70285,70285,868,0
102,917,917.000,917.000,34564,34564,917,0
103,928,928.000,928.000,33761,33761,928,0
104,927,927.000,927.000,32355,32355,926,1
105,931,931.000,931.000,34184,34184,930,1
106,933,933.000,933.000,32432,32432,933,0
107,958,958.000,958.000,38405,38405,957,1
108,922,922.000,922.000,70897,70897,921,1
109,918,918.000,918.000,42817,42817,918,0
110,898,898.000,898.000,34220,34220,898,0
111,935,935.000,935.000,38388,38388,935,0
112,932,932.000,932.000,35490,35490,932,0
113,940,940.000,940.000,36601,36601,939,1
114,873,873.000,873.000,72313,72313,873,0
115,959,959.000,959.000,36275,36275,958,1
116,925,925.000,925.000,36310,36310,924,1
117,935,935.000,935.000,36991,36991,935,0
118,910,910.000,910.000,33091,33091,910,0
119,920,920.000,920.000,36783,36783,920,0
