Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,582.200,17.108,0.618,1.362,13.372,22.114,33.734,42.774,66.928,1035.073,0.058
5,856.200,11.647,0.537,1.149,12.246,18.817,24.280,29.910,46.387,107.054,0.086
10,893.000,11.174,0.683,1.128,12.215,18.604,23.101,27.126,40.570,122.852,0.089
15,897.000,11.133,0.713,1.130,12.498,18.647,22.766,26.658,42.008,75.344,0.090
20,917.800,10.878,0.727,1.120,11.988,18.154,22.564,26.775,43.582,86.456,0.092
25,926.400,10.776,0.696,1.116,11.853,18.105,22.427,25.614,42.272,90.954,0.093
30,914.800,10.917,0.716,1.117,12.075,18.256,22.754,26.493,40.230,89.342,0.092
35,914.400,10.920,0.689,1.108,12.420,18.395,22.580,25.255,35.501,66.064,0.092
40,913.000,10.933,0.703,1.154,11.992,18.442,22.561,26.126,38.894,95.396,0.091
45,916.800,10.887,0.714,1.147,11.881,18.176,22.425,25.760,41.170,107.769,0.092
50,921.400,10.840,0.717,1.137,11.960,18.192,22.576,25.946,37.948,92.672,0.092
55,940.600,10.644,0.712,1.131,11.839,18.088,22.212,25.206,36.440,108.937,0.094
60,948.000,10.501,0.721,1.126,11.389,18.109,22.433,25.704,36.854,68.180,0.095
65,936.800,10.645,0.567,1.101,11.393,17.978,22.337,26.773,42.112,94.438,0.094
70,773.200,12.930,0.701,1.105,12.045,18.330,22.523,25.813,40.493,1035.658,0.077
75,799.600,12.488,0.712,1.101,12.171,18.361,22.342,25.518,39.053,1044.707,0.080
80,916.400,10.896,0.700,1.120,12.237,18.390,22.354,25.052,37.716,83.622,0.092
85,928.800,10.764,0.694,1.101,12.033,18.104,22.494,25.691,39.129,115.094,0.093
90,941.800,10.592,0.722,1.091,11.811,18.281,22.300,24.715,36.101,104.785,0.094
95,776.000,12.877,0.692,1.110,12.054,18.236,22.811,26.354,40.099,1031.088,0.078
100,914.400,10.917,0.712,1.095,12.338,18.478,22.223,24.833,37.410,86.611,0.092
105,932.400,10.709,0.683,1.098,11.998,18.341,22.403,25.246,38.536,96.286,0.093
110,915.600,10.912,0.692,1.095,12.148,18.328,22.716,25.664,39.020,88.184,0.092
115,929.800,10.704,0.671,1.092,12.059,18.205,22.321,25.310,35.988,60.222,0.093
