Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1661696672.258279,38724,6,1,0,0,1,0,38724
1,NewOrder,1661696672.258282,35027,4,1,0,0,0,1,35027
1,NewOrder,1661696672.258308,35001,3,1,0,0,0,1,35001
1,NewOrder,1661696672.258339,38641,7,1,0,0,1,0,38641
1,NewOrder,1661696672.258359,38644,8,1,0,0,1,0,38644
1,NewOrder,1661696672.258768,34542,9,1,0,0,0,1,34542
1,NewOrder,1661696672.258794,38186,2,1,0,0,1,0,38186
1,NewOrder,1661696672.259066,37914,5,1,0,0,1,0,37914
1,NewOrder,1661696672.259340,40354,1,1,0,0,1,0,40354
1,NewOrder,1661696672.259543,37437,0,1,0,0,1,0,37437
1,NewOrder,1661696672.293603,21665,3,1,0,0,1,0,21665
1,NewOrder,1661696672.293604,21298,4,1,0,0,1,0,21298
1,NewOrder,1661696672.293606,17056,9,1,0,0,0,1,17056
1,NewOrder,1661696672.297019,20755,2,1,0,0,1,0,20755
1,NewOrder,1661696672.297019,14405,7,1,0,0,1,0,14405
1,NewOrder,1661696672.297026,19916,5,1,0,0,1,0,19916
1,NewOrder,1661696672.297029,12170,6,1,0,0,0,1,12170
1,NewOrder,1661696672.297031,27533,8,1,0,0,0,1,27533
1,NewOrder,1661696672.297039,20859,0,1,0,0,1,0,20859
1,NewOrder,1661696672.299795,13900,1,1,0,0,0,1,13900
1,NewOrder,1661696672.309231,14891,6,1,0,0,1,0,14891
1,NewOrder,1661696672.310701,21297,9,1,0,0,1,0,21297
1,NewOrder,1661696672.311454,18189,7,1,0,0,0,1,18189
1,NewOrder,1661696672.313771,14847,1,1,0,0,1,0,14847
1,NewOrder,1661696672.314940,19922,4,1,0,0,0,1,19922
1,NewOrder,1661696672.315303,16630,3,1,0,0,1,0,16630
1,NewOrder,1661696672.317004,16223,5,1,0,0,1,0,16223
1,NewOrder,1661696672.317807,21211,2,1,0,0,1,0,21211
1,NewOrder,1661696672.317919,17765,0,1,0,0,0,1,17765
1,NewOrder,1661696672.324159,18687,6,1,0,0,0,1,18687
1,NewOrder,1661696672.324601,24456,8,1,0,0,1,0,24456
1,NewOrder,1661696672.328655,11033,1,1,0,0,1,0,11033
1,NewOrder,1661696672.329683,13540,7,1,0,0,1,0,13540
1,NewOrder,1661696672.331966,22156,3,1,0,0,0,1,22156
1,NewOrder,1661696672.332016,13237,9,1,0,0,1,0,13237
1,NewOrder,1661696672.333267,9928,5,1,0,0,1,0,9928
1,NewOrder,1661696672.334904,21459,4,1,0,0,0,1,21459
1,NewOrder,1661696672.335712,18822,0,1,0,0,1,0,18822
1,NewOrder,1661696672.339091,17577,2,1,0,0,1,0,17577
1,NewOrder,1661696672.339715,19093,1,1,0,0,1,0,19093
1,NewOrder,1661696672.342878,11032,6,1,0,0,1,0,11032
1,NewOrder,1661696672.343224,11823,5,1,0,0,0,1,11823
1,NewOrder,1661696672.343285,17134,7,1,0,0,1,0,17134
1,NewOrder,1661696672.345326,15689,9,1,0,0,1,0,15689
1,NewOrder,1661696672.349092,18042,8,1,0,0,0,1,18042
1,NewOrder,1661696672.353942,14059,6,1,0,0,1,0,14059
1,NewOrder,1661696672.354151,12323,3,1,0,0,1,0,12323
1,NewOrder,1661696672.354551,18565,0,1,0,0,1,0,18565
1,NewOrder,1661696672.355068,20804,5,1,0,0,0,1,20804
1,NewOrder,1661696672.356393,14597,4,1,0,0,0,1,14597
1,NewOrder,1661696672.356692,12851,2,1,0,0,0,1,12851
1,NewOrder,1661696672.358879,13283,1,1,0,0,0,1,13283
1,NewOrder,1661696672.360447,11335,7,1,0,0,1,0,11335
1,NewOrder,1661696672.361040,14849,9,1,0,0,1,0,14849
1,NewOrder,1661696672.366507,11261,3,1,0,0,1,0,11261
1,NewOrder,1661696672.367159,14689,8,1,0,0,0,1,14689
1,NewOrder,1661696672.368024,15442,6,1,0,0,0,1,15442
1,NewOrder,1661696672.369578,13723,2,1,0,0,1,0,13723
1,NewOrder,1661696672.371033,18096,4,1,0,0,1,0,18096
1,NewOrder,1661696672.371808,13484,7,1,0,0,0,1,13484
1,NewOrder,1661696672.372187,11101,1,1,0,0,1,0,11101
1,NewOrder,1661696672.373139,17915,0,1,0,0,1,0,17915
1,NewOrder,1661696672.375927,11982,5,1,0,0,0,1,11982
1,NewOrder,1661696672.375942,23365,9,1,0,0,1,0,23365
1,NewOrder,1661696672.377800,20408,3,1,0,0,0,1,20408
1,NewOrder,1661696672.381892,14881,8,1,0,0,1,0,14881
1,NewOrder,1661696672.383317,18269,1,1,0,0,0,1,18269
1,NewOrder,1661696672.383337,27737,2,1,0,0,1,0,27737
1,NewOrder,1661696672.383488,16315,6,1,0,0,1,0,16315
1,NewOrder,1661696672.385316,11667,7,1,0,0,0,1,11667
1,NewOrder,1661696672.387947,12223,5,1,0,0,0,1,12223
1,NewOrder,1661696672.389156,22074,4,1,0,0,1,0,22074
1,NewOrder,1661696672.391084,21699,0,1,0,0,0,1,21699
1,NewOrder,1661696672.396806,6979,8,1,0,0,1,0,6979
1,NewOrder,1661696672.397003,16845,7,1,0,0,1,0,16845
1,NewOrder,1661696672.398235,17331,3,1,0,0,1,0,17331
1,NewOrder,1661696672.399359,22247,9,1,0,0,1,0,22247
1,NewOrder,1661696672.399824,10097,6,1,0,1,0,0,10097
1,NewOrder,1661696672.400193,14731,5,1,0,0,0,1,14731
1,NewOrder,1661696672.401667,11057,1,1,0,0,1,0,11057
1,NewOrder,1661696672.403853,16742,8,1,0,0,0,1,16742
1,NewOrder,1661696672.409957,22494,6,1,0,0,1,0,22494
1,NewOrder,1661696672.411108,17311,2,1,0,0,0,1,17311
1,NewOrder,1661696672.411248,14457,4,1,0,0,1,0,14457
1,NewOrder,1661696672.412840,17416,0,1,0,0,0,1,17416
1,NewOrder,1661696672.412863,24405,1,1,0,0,1,0,24405
1,NewOrder,1661696672.413874,21308,7,1,0,0,1,0,21308
1,NewOrder,1661696672.414951,17544,5,1,0,0,0,1,17544
1,NewOrder,1661696672.415591,14636,3,1,0,0,0,1,14636
1,NewOrder,1661696672.420661,13815,8,1,0,0,1,0,13815
1,NewOrder,1661696672.421638,16865,9,1,0,0,0,1,16865
1,NewOrder,1661696672.425737,11528,4,1,0,0,1,0,11528
1,NewOrder,1661696672.428458,20420,2,1,0,0,0,1,20420
1,NewOrder,1661696672.430266,21320,3,1,0,0,1,0,21320
1,NewOrder,1661696672.430365,22591,0,1,0,0,1,0,22591
1,NewOrder,1661696672.432492,22973,6,1,0,0,1,0,22973
1,NewOrder,1661696672.432529,21867,5,1,0,0,0,1,21867
1,NewOrder,1661696672.434506,19196,8,1,0,0,1,0,19196
1,NewOrder,1661696672.435209,17401,7,1,0,0,1,0,17401
1,NewOrder,1661696672.437318,13506,4,1,0,0,0,1,13506
1,NewOrder,1661696672.437319,20336,1,1,0,0,1,0,20336
1,NewOrder,1661696672.438640,23726,9,1,0,0,1,0,23726
1,NewOrder,1661696672.448924,16652,2,1,0,0,1,0,16652
1,NewOrder,1661696672.450861,14176,4,1,0,0,0,1,14176
1,NewOrder,1661696672.451673,11813,3,1,0,0,0,1,11813
1,NewOrder,1661696672.452635,15410,7,1,0,0,1,0,15410
1,NewOrder,1661696672.452978,18855,0,1,0,0,0,1,18855
1,NewOrder,1661696672.453798,12025,8,1,0,0,1,0,12025
1,NewOrder,1661696672.454420,21623,5,1,0,0,0,1,21623
1,NewOrder,1661696672.455488,18675,6,1,0,0,1,0,18675
1,NewOrder,1661696672.457715,10371,1,1,0,0,1,0,10371
1,NewOrder,1661696672.462400,15355,9,1,0,0,1,0,15355
