Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1661697369.376067,84198,4,1,0,0,0,1,41783
1,NewOrder,1661697369.376068,97709,3,1,0,0,1,0,0
1,NewOrder,1661697369.376075,99442,9,1,0,0,1,0,0
1,NewOrder,1661697369.376100,97511,8,1,0,0,1,0,0
1,NewOrder,1661697369.376107,98607,1,1,0,0,1,0,0
1,NewOrder,1661697369.376117,98365,2,1,0,0,1,0,0
1,NewOrder,1661697369.376128,97561,6,1,0,0,1,0,0
1,NewOrder,1661697369.376140,97716,0,1,0,0,1,0,0
1,NewOrder,1661697369.376152,97459,5,1,0,0,1,0,0
1,NewOrder,1661697369.376154,96448,7,1,0,0,1,0,0
1,NewOrder,1661697369.460744,31164,4,1,0,0,0,1,29661
1,NewOrder,1661697369.472672,3596,7,1,0,0,0,1,1580
1,NewOrder,1661697369.473648,5313,8,1,0,0,0,1,924
1,NewOrder,1661697369.473695,5884,5,1,0,0,0,1,1060
1,NewOrder,1661697369.473713,5216,6,1,0,0,0,1,1110
1,NewOrder,1661697369.473799,5541,3,1,0,0,0,1,768
1,NewOrder,1661697369.473877,5502,0,1,0,0,0,1,1306
1,NewOrder,1661697369.474529,4765,2,1,0,0,0,1,988
1,NewOrder,1661697369.474751,6312,1,1,0,0,0,1,1934
1,NewOrder,1661697369.475555,3630,9,1,0,0,0,1,1219
1,NewOrder,1661697369.476285,14680,7,1,0,0,1,0,0
1,NewOrder,1661697369.478989,12066,8,1,0,0,1,0,0
1,NewOrder,1661697369.479003,11888,6,1,0,0,1,0,0
1,NewOrder,1661697369.479203,11947,9,1,0,0,1,0,0
1,NewOrder,1661697369.479311,11594,2,1,0,0,1,0,0
1,NewOrder,1661697369.479363,11610,3,1,0,0,1,0,0
1,NewOrder,1661697369.479440,11709,0,1,0,0,1,0,0
1,NewOrder,1661697369.479594,11196,5,1,0,0,1,0,0
1,NewOrder,1661697369.481087,10128,1,1,0,0,1,0,0
1,NewOrder,1661697369.490832,4141,5,1,0,0,0,1,715
1,NewOrder,1661697369.490910,3360,6,1,0,0,0,1,1561
1,NewOrder,1661697369.490937,5064,2,1,0,0,0,1,937
1,NewOrder,1661697369.490982,4032,7,1,0,0,0,1,642
1,NewOrder,1661697369.490988,7032,3,1,0,0,0,1,1292
1,NewOrder,1661697369.491067,3455,8,1,0,0,0,1,743
1,NewOrder,1661697369.491164,6412,9,1,0,0,0,1,940
1,NewOrder,1661697369.491179,5005,0,1,0,0,0,1,784
1,NewOrder,1661697369.491268,6246,1,1,0,0,0,1,683
1,NewOrder,1661697369.491932,21908,4,1,0,0,1,0,0
1,NewOrder,1661697369.494301,19629,6,1,0,0,1,0,0
1,NewOrder,1661697369.494540,19352,8,1,0,0,1,0,0
1,NewOrder,1661697369.494990,19804,5,1,0,0,1,0,0
1,NewOrder,1661697369.495040,18801,7,1,0,0,1,0,0
1,NewOrder,1661697369.496029,18813,2,1,0,0,0,1,16809
1,NewOrder,1661697369.496201,17493,0,1,0,0,1,0,0
1,NewOrder,1661697369.497540,17364,1,1,0,0,1,0,0
1,NewOrder,1661697369.497593,17343,9,1,0,0,1,0,0
1,NewOrder,1661697369.498036,15657,3,1,0,0,1,0,0
1,NewOrder,1661697369.513723,5709,0,1,0,0,0,1,634
1,NewOrder,1661697369.513723,4589,3,1,0,0,0,1,753
1,NewOrder,1661697369.513857,4813,4,1,0,0,0,1,660
1,NewOrder,1661697369.513857,5409,7,1,0,0,0,1,717
1,NewOrder,1661697369.513934,4449,8,1,0,0,0,1,690
1,NewOrder,1661697369.513947,4308,6,1,0,0,0,1,1073
1,NewOrder,1661697369.514823,5813,5,1,0,0,0,1,751
1,NewOrder,1661697369.514860,26913,2,1,0,0,1,0,0
1,NewOrder,1661697369.514921,9435,1,1,0,0,0,1,799
1,NewOrder,1661697369.514954,5688,9,1,0,0,0,1,748
1,NewOrder,1661697369.518283,23421,6,1,0,0,1,0,0
1,NewOrder,1661697369.518330,23079,3,1,0,0,1,0,0
1,NewOrder,1661697369.518400,23275,8,1,0,0,1,0,0
1,NewOrder,1661697369.518685,22732,4,1,0,0,1,0,0
1,NewOrder,1661697369.519283,21876,7,1,0,0,1,0,0
1,NewOrder,1661697369.519450,22338,0,1,0,0,1,0,0
1,NewOrder,1661697369.520654,21871,5,1,0,0,0,1,18717
1,NewOrder,1661697369.520793,20844,9,1,0,0,1,0,0
1,NewOrder,1661697369.524431,16370,1,1,0,0,1,0,0
1,NewOrder,1661697369.540839,1382,1,1,0,0,0,1,785
1,NewOrder,1661697369.541195,1978,7,1,0,0,0,1,932
1,NewOrder,1661697369.541426,7880,3,1,0,0,0,1,676
1,NewOrder,1661697369.541486,5655,4,1,0,0,0,1,1503
1,NewOrder,1661697369.541653,6014,9,1,0,0,0,1,1827
1,NewOrder,1661697369.541708,6869,8,1,0,0,0,1,847
1,NewOrder,1661697369.541721,7483,6,1,0,0,0,1,1028
1,NewOrder,1661697369.541789,6276,2,1,0,0,0,1,948
1,NewOrder,1661697369.541804,6300,0,1,0,0,0,1,630
1,NewOrder,1661697369.542236,10151,1,1,0,0,1,0,0
1,NewOrder,1661697369.542542,25784,5,1,0,0,1,0,0
1,NewOrder,1661697369.543239,25989,7,1,0,0,1,0,0
1,NewOrder,1661697369.547180,25869,4,1,0,0,0,1,23690
