Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,526,526.000,8447,15114,18485,19112,22227,25718,28427,45167,45458,526,0,45167,18485,19112,22227,25718,28427
1,631,631.000,6111,12667,15416,15848,18685,20839,22321,24495,31053,631,0,24495,15416,15848,18685,20839,22321
2,654,654.000,7666,12479,15041,15249,17807,19889,20655,22637,24778,654,0,22637,15041,15249,17807,19889,20655
3,627,627.000,7933,13386,15651,15961,18832,20543,21624,22389,23868,627,0,22389,15651,15961,18832,20543,21624
4,1027,1027.000,2083,3132,11194,9704,13222,16059,17983,21317,25399,1026,1,21317,11194,9704,13222,16059,17983
5,1224,1224.000,2043,2898,9728,8158,12073,13907,15131,18446,25409,1223,1,18446,9728,8158,12073,13907,15131
6,1490,1490.000,1901,2581,8033,6694,10161,11491,12276,13925,16124,1489,1,13925,8033,6694,10161,11491,12276
7,1448,1448.000,1862,2638,8751,6907,10395,11694,12376,13747,14723,1447,1,13747,8751,6907,10395,11694,12376
8,1452,1452.000,2006,2638,8598,6856,10337,11855,12500,13988,15822,1451,1,13988,8598,6856,10337,11855,12500
9,1439,1439.000,2048,2676,8624,6954,10323,11890,12639,14152,16060,1438,1,14152,8624,6954,10323,11890,12639
10,1440,1440.000,2020,2666,8614,6892,10334,11679,12532,13956,16739,1439,1,13956,8614,6892,10334,11679,12532
11,1457,1457.000,2066,2807,8165,6896,10240,11677,12307,13820,19056,1456,1,13820,8165,6896,10240,11677,12307
12,1456,1456.000,1842,2607,8082,6821,10261,11630,12616,14475,16768,1456,0,14475,8082,6821,10261,11630,12616
13,1456,1456.000,1928,2586,8709,6893,10380,11549,12330,14024,19768,1456,0,14024,8709,6893,10380,11549,12330
14,1423,1423.000,1939,2592,8648,6986,10505,12042,12848,14813,16177,1422,1,14813,8648,6986,10505,12042,12848
15,1471,1471.000,1949,2533,8398,6765,10211,11630,12259,13908,16970,1470,1,13908,8398,6765,10211,11630,12259
16,1500,1500.000,1942,2543,8289,6665,9938,11383,11992,12878,14137,1499,1,12878,8289,6665,9938,11383,11992
17,1510,1510.000,1948,2524,8135,6652,9962,11270,12012,13807,18037,1509,1,13807,8135,6652,9962,11270,12012
18,1427,1427.000,1901,2632,8494,6999,10506,11828,12620,14120,15068,1426,1,14120,8494,6999,10506,11828,12620
19,1475,1475.000,1775,2566,8212,6756,10187,11551,12290,13680,15134,1474,1,13680,8212,6756,10187,11551,12290
20,1512,1512.000,1883,2518,8352,6595,10022,11105,11699,12803,14085,1511,1,12803,8352,6595,10022,11105,11699
21,1287,1287.000,2112,2815,9259,7746,11671,13183,14016,16056,18927,1286,1,16056,9259,7746,11671,13183,14016
22,1203,1203.000,2044,3035,9920,8290,12393,14530,15398,17503,19077,1202,1,17503,9920,8290,12393,14530,15398
23,1212,1212.000,2119,2990,10087,8242,12089,13445,14325,16494,20659,1211,1,16494,10087,8242,12089,13445,14325
24,1350,1350.000,2041,2808,8988,7456,11189,12398,13250,14424,16155,1349,1,14424,8988,7456,11189,12398,13250
25,1263,1263.000,2068,2853,9373,7835,11490,13302,14558,17034,20205,1262,1,17034,9373,7835,11490,13302,14558
26,1673,1673.000,2113,2780,3527,5989,9624,11413,12413,14968,232958,1672,1,14968,3527,5989,9624,11413,12413
