time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,526,526.000,526.000,45167,45167,526,0
1,631,631.000,631.000,24495,24495,631,0
2,654,654.000,654.000,22637,22637,654,0
3,627,627.000,627.000,22389,22389,627,0
4,1027,1027.000,1027.000,21317,21317,1026,1
5,1224,1224.000,1224.000,18446,18446,1223,1
6,1490,1490.000,1490.000,13925,13925,1489,1
7,1448,1448.000,1448.000,13747,13747,1447,1
8,1452,1452.000,1452.000,13988,13988,1451,1
9,1439,1439.000,1439.000,14152,14152,1438,1
10,1440,1440.000,1440.000,13956,13956,1439,1
11,1457,1457.000,1457.000,13820,13820,1456,1
12,1456,1456.000,1456.000,14475,14475,1456,0
13,1456,1456.000,1456.000,14024,14024,1456,0
14,1423,1423.000,1423.000,14813,14813,1422,1
15,1471,1471.000,1471.000,13908,13908,1470,1
16,1500,1500.000,1500.000,12878,12878,1499,1
17,1510,1510.000,1510.000,13807,13807,1509,1
18,1427,1427.000,1427.000,14120,14120,1426,1
19,1475,1475.000,1475.000,13680,13680,1474,1
20,1512,1512.000,1512.000,12803,12803,1511,1
21,1287,1287.000,1287.000,16056,16056,1286,1
22,1203,1203.000,1203.000,17503,17503,1202,1
23,1212,1212.000,1212.000,16494,16494,1211,1
24,1350,1350.000,1350.000,14424,14424,1349,1
25,1263,1263.000,1263.000,17034,17034,1262,1
26,1673,1673.000,1673.000,14968,14968,1672,1
27,1309,1309.000,1309.000,15160,15160,1308,1
28,1441,1441.000,1441.000,13437,13437,1440,1
29,1319,1319.000,1319.000,15426,15426,1318,1
30,1319,1319.000,1319.000,14642,14642,1318,1
31,1463,1463.000,1463.000,17701,17701,1462,1
32,1445,1445.000,1445.000,14400,14400,1444,1
33,1506,1506.000,1506.000,14215,14215,1505,1
34,1403,1403.000,1403.000,14626,14626,1402,1
35,1473,1473.000,1473.000,13886,13886,1472,1
36,1520,1520.000,1520.000,13240,13240,1519,1
37,1395,1395.000,1395.000,14821,14821,1394,1
38,1425,1425.000,1425.000,14144,14144,1424,1
39,1467,1467.000,1467.000,14563,14563,1467,0
40,1472,1472.000,1472.000,13585,13585,1471,1
41,1512,1512.000,1512.000,13229,13229,1511,1
42,1437,1437.000,1437.000,14545,14545,1436,1
43,1379,1379.000,1379.000,14489,14489,1378,1
44,1481,1481.000,1481.000,13710,13710,1480,1
45,1435,1435.000,1435.000,15104,15104,1434,1
46,1517,1517.000,1517.000,13254,13254,1516,1
47,1338,1338.000,1338.000,14914,14914,1337,1
48,1288,1288.000,1288.000,16433,16433,1287,1
49,1198,1198.000,1198.000,19354,19354,1197,1
50,1339,1339.000,1339.000,14858,14858,1338,1
51,1434,1434.000,1434.000,13949,13949,1433,1
52,1434,1434.000,1434.000,16337,16337,1433,1
53,1376,1376.000,1376.000,14943,14943,1375,1
54,1444,1444.000,1444.000,14874,14874,1443,1
55,1393,1393.000,1393.000,15891,15891,1392,1
56,1435,1435.000,1435.000,15861,15861,1434,1
57,1247,1247.000,1247.000,34422,34422,1246,1
58,1010,1010.000,1010.000,31095,31095,1009,1
59,1123,1123.000,1123.000,18868,18868,1122,1
