Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,275,275.000,1923,28340,34831,36911,41350,48252,54152,102764,105551,275,0,102764,34831,36911,41350,48252,54152
1,282,282.000,3178,28066,33822,35411,42182,48426,51718,58266,73641,282,0,58266,33822,35411,42182,48426,51718
2,289,289.000,932,23665,30949,34973,40210,56158,71773,113585,129247,289,0,113585,30949,34973,40210,56158,71773
3,347,347.000,858,20546,24939,28275,30457,38997,52600,113047,117964,347,0,113047,24939,28275,30457,38997,52600
4,501,501.000,619,16259,19733,19943,23670,26550,28763,33662,39693,501,0,33662,19733,19943,23670,26550,28763
5,456,456.000,713,17928,22256,22016,26126,29300,31025,34792,38504,456,0,34792,22256,22016,26126,29300,31025
6,514,514.000,630,15813,19192,19262,22617,25324,26507,31001,34655,514,0,31001,19192,19262,22617,25324,26507
7,506,506.000,687,16421,19924,19792,23135,25307,26657,30022,31194,506,0,30022,19924,19792,23135,25307,26657
8,471,471.000,665,17460,21336,21263,24728,27644,30473,36897,49873,471,0,36897,21336,21263,24728,27644,30473
9,522,522.000,539,15952,19123,19129,22185,24798,26179,27550,29326,522,0,27550,19123,19129,22185,24798,26179
10,544,544.000,616,15311,18244,18402,21744,24083,25049,27271,29175,544,0,27271,18244,18402,21744,24083,25049
11,532,532.000,688,15513,18884,18756,22182,24077,25059,28351,33019,532,0,28351,18884,18756,22182,24077,25059
12,523,523.000,664,15426,18963,19067,22801,24927,26279,29196,33665,523,0,29196,18963,19067,22801,24927,26279
13,555,555.000,631,15110,18172,18021,21296,23640,24619,27118,28719,555,0,27118,18172,18021,21296,23640,24619
14,526,526.000,648,15776,19309,19011,22309,24471,25487,27462,30083,526,0,27462,19309,19011,22309,24471,25487
15,543,543.000,654,14985,18430,18365,21778,23833,24813,28255,30133,543,0,28255,18430,18365,21778,23833,24813
16,548,548.000,694,15125,18307,18299,21433,23750,24669,26453,29996,548,0,26453,18307,18299,21433,23750,24669
17,544,544.000,620,15173,18044,18278,21769,24026,25100,29395,31407,544,0,29395,18044,18278,21769,24026,25100
18,537,537.000,655,15248,18346,18676,22186,24711,25696,29803,34415,537,0,29803,18346,18676,22186,24711,25696
19,556,556.000,601,14983,17986,17950,21200,23652,24524,27099,28843,556,0,27099,17986,17950,21200,23652,24524
20,536,536.000,627,15372,18752,18625,21969,23817,24731,26308,30447,536,0,26308,18752,18625,21969,23817,24731
21,545,545.000,670,15259,18280,18338,21547,23823,24861,27799,29924,545,0,27799,18280,18338,21547,23823,24861
22,543,543.000,608,15092,18000,18400,21892,23972,24761,28179,31240,543,0,28179,18000,18400,21892,23972,24761
23,551,551.000,688,15050,18182,18131,21449,23467,24116,26437,33795,551,0,26437,18182,18131,21449,23467,24116
24,550,550.000,615,14888,18258,18269,21566,23755,24882,28440,29699,550,0,28440,18258,18269,21566,23755,24882
25,544,544.000,628,15189,18393,18346,21611,23786,25041,26730,35381,544,0,26730,18393,18346,21611,23786,25041
26,548,548.000,615,15363,18447,18229,21746,23577,24401,26675,31431,548,0,26675,18447,18229,21746,23577,24401
27,535,535.000,713,15353,18738,18701,21792,24152,25601,28028,32096,535,0,28028,18738,18701,21792,24152,25601
28,523,523.000,641,16156,19161,19062,22655,24690,25695,27688,28346,523,0,27688,19161,19062,22655,24690,25695
29,466,466.000,647,15258,18383,21546,22762,24996,28009,112529,124480,466,0,112529,18383,21546,22762,24996,28009
30,534,534.000,650,15218,18419,18575,21855,24220,25008,27524,30188,534,0,27524,18419,18575,21855,24220,25008
31,547,547.000,699,15345,18359,18350,21599,23814,24825,26655,29598,547,0,26655,18359,18350,21599,23814,24825
32,548,548.000,593,14842,18183,18230,21511,23567,24641,27158,29797,548,0,27158,18183,18230,21511,23567,24641
33,546,546.000,700,15028,18137,18270,21538,23713,24687,26892,29639,546,0,26892,18137,18270,21538,23713,24687
34,514,514.000,567,15673,18986,19451,22294,24770,26240,48597,60702,514,0,48597,18986,19451,22294,24770,26240
35,527,527.000,666,15808,19065,19044,22338,24709,26256,29204,31584,527,0,29204,19065,19044,22338,24709,26256
36,554,554.000,644,15131,17953,17939,21109,23512,24400,25942,27406,554,0,25942,17953,17939,21109,23512,24400
37,542,542.000,639,15564,18809,18471,21684,23182,24059,27946,33054,542,0,27946,18809,18471,21684,23182,24059
38,536,536.000,574,15326,18976,18630,22008,23986,24984,26503,29341,536,0,26503,18976,18630,22008,23986,24984
39,552,552.000,571,15138,18474,18171,21056,23691,24520,27215,29127,552,0,27215,18474,18171,21056,23691,24520
40,544,544.000,790,15244,18443,18325,21310,23810,24639,26741,29341,544,0,26741,18443,18325,21310,23810,24639
41,554,554.000,561,14932,18058,17980,21609,23413,24304,25996,29344,554,0,25996,18058,17980,21609,23413,24304
42,539,539.000,572,15394,18524,18577,21636,23911,25287,27795,33959,539,0,27795,18524,18577,21636,23911,25287
43,541,541.000,672,15334,18485,18466,21654,23793,24474,26536,28140,541,0,26536,18485,18466,21654,23793,24474
44,536,536.000,685,15408,18635,18711,22122,24967,26174,29077,30921,536,0,29077,18635,18711,22122,24967,26174
45,553,553.000,646,14919,17815,18032,21675,23732,24712,26587,31464,553,0,26587,17815,18032,21675,23732,24712
46,522,522.000,596,16064,19211,19143,22521,24920,25890,27817,30083,522,0,27817,19211,19143,22521,24920,25890
47,515,515.000,671,15717,19709,19427,22772,25266,26593,29409,32569,515,0,29409,19709,19427,22772,25266,26593
48,538,538.000,613,15112,18374,18585,22199,24606,26005,28505,29263,538,0,28505,18374,18585,22199,24606,26005
49,541,541.000,622,15368,18431,18441,21540,23755,24945,27275,30944,541,0,27275,18431,18441,21540,23755,24945
50,547,547.000,619,15185,17915,18196,21387,23627,24747,26911,29647,547,0,26911,17915,18196,21387,23627,24747
51,539,539.000,611,15532,18576,18640,22002,24338,25518,27973,30745,539,0,27973,18576,18640,22002,24338,25518
52,543,543.000,630,15240,18243,18330,21496,23970,24828,27042,31946,543,0,27042,18243,18330,21496,23970,24828
53,542,542.000,575,15525,18479,18457,21716,23829,24900,26372,31482,542,0,26372,18479,18457,21716,23829,24900
54,529,529.000,591,15566,18976,18871,22085,24829,26500,29410,36156,529,0,29410,18976,18871,22085,24829,26500
55,444,444.000,768,18957,22857,22657,26272,30503,33048,38284,44059,444,0,38284,22857,22657,26272,30503,33048
56,360,360.000,800,20083,24958,27774,31301,39521,47117,93912,113049,360,0,93912,24958,27774,31301,39521,47117
57,515,515.000,559,16233,19745,19275,22729,24942,26015,29158,35155,515,0,29158,19745,19275,22729,24942,26015
58,537,537.000,602,15273,18561,18641,22187,24554,25294,28627,30686,537,0,28627,18561,18641,22187,24554,25294
59,435,435.000,969,15837,19081,22531,22681,25648,32084,155027,173196,435,0,155027,19081,22531,22681,25648,32084
