time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,275,275.000,275.000,102764,102764,275,0
1,282,282.000,282.000,58266,58266,282,0
2,289,289.000,289.000,113585,113585,289,0
3,347,347.000,347.000,113047,113047,347,0
4,501,501.000,501.000,33662,33662,501,0
5,456,456.000,456.000,34792,34792,456,0
6,514,514.000,514.000,31001,31001,514,0
7,506,506.000,506.000,30022,30022,506,0
8,471,471.000,471.000,36897,36897,471,0
9,522,522.000,522.000,27550,27550,522,0
10,544,544.000,544.000,27271,27271,544,0
11,532,532.000,532.000,28351,28351,532,0
12,523,523.000,523.000,29196,29196,523,0
13,555,555.000,555.000,27118,27118,555,0
14,526,526.000,526.000,27462,27462,526,0
15,543,543.000,543.000,28255,28255,543,0
16,548,548.000,548.000,26453,26453,548,0
17,544,544.000,544.000,29395,29395,544,0
18,537,537.000,537.000,29803,29803,537,0
19,556,556.000,556.000,27099,27099,556,0
20,536,536.000,536.000,26308,26308,536,0
21,545,545.000,545.000,27799,27799,545,0
22,543,543.000,543.000,28179,28179,543,0
23,551,551.000,551.000,26437,26437,551,0
24,550,550.000,550.000,28440,28440,550,0
25,544,544.000,544.000,26730,26730,544,0
26,548,548.000,548.000,26675,26675,548,0
27,535,535.000,535.000,28028,28028,535,0
28,523,523.000,523.000,27688,27688,523,0
29,466,466.000,466.000,112529,112529,466,0
30,534,534.000,534.000,27524,27524,534,0
31,547,547.000,547.000,26655,26655,547,0
32,548,548.000,548.000,27158,27158,548,0
33,546,546.000,546.000,26892,26892,546,0
34,514,514.000,514.000,48597,48597,514,0
35,527,527.000,527.000,29204,29204,527,0
36,554,554.000,554.000,25942,25942,554,0
37,542,542.000,542.000,27946,27946,542,0
38,536,536.000,536.000,26503,26503,536,0
39,552,552.000,552.000,27215,27215,552,0
40,544,544.000,544.000,26741,26741,544,0
41,554,554.000,554.000,25996,25996,554,0
42,539,539.000,539.000,27795,27795,539,0
43,541,541.000,541.000,26536,26536,541,0
44,536,536.000,536.000,29077,29077,536,0
45,553,553.000,553.000,26587,26587,553,0
46,522,522.000,522.000,27817,27817,522,0
47,515,515.000,515.000,29409,29409,515,0
48,538,538.000,538.000,28505,28505,538,0
49,541,541.000,541.000,27275,27275,541,0
50,547,547.000,547.000,26911,26911,547,0
51,539,539.000,539.000,27973,27973,539,0
52,543,543.000,543.000,27042,27042,543,0
53,542,542.000,542.000,26372,26372,542,0
54,529,529.000,529.000,29410,29410,529,0
55,444,444.000,444.000,38284,38284,444,0
56,360,360.000,360.000,93912,93912,360,0
57,515,515.000,515.000,29158,29158,515,0
58,537,537.000,537.000,28627,28627,537,0
59,435,435.000,435.000,155027,155027,435,0
