Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1661821556.210929,45202,3,1,0,0,1,0,45202
1,NewOrder,1661821556.210929,45378,1,1,0,0,1,0,45378
1,NewOrder,1661821556.210930,34193,4,1,0,0,0,1,34193
1,NewOrder,1661821556.210930,45381,9,1,0,0,1,0,45381
1,NewOrder,1661821556.210931,34192,5,1,0,0,0,1,34192
1,NewOrder,1661821556.210939,45458,6,1,0,0,1,0,45458
1,NewOrder,1661821556.210947,45336,0,1,0,0,1,0,45336
1,NewOrder,1661821556.210963,45167,2,1,0,0,1,0,45167
1,NewOrder,1661821556.210971,34152,8,1,0,0,0,1,34152
1,NewOrder,1661821556.210979,38157,7,1,0,0,0,1,38157
1,NewOrder,1661821556.245665,25712,8,1,0,0,0,1,25712
1,NewOrder,1661821556.245671,23574,5,1,0,0,0,1,23574
1,NewOrder,1661821556.245693,26876,4,1,0,0,0,1,26876
1,NewOrder,1661821556.249176,18927,7,1,0,0,0,1,18927
1,NewOrder,1661821556.256171,18117,3,1,0,0,1,0,18117
1,NewOrder,1661821556.256171,18165,2,1,0,0,1,0,18165
1,NewOrder,1661821556.256311,19550,0,1,0,0,0,1,19550
1,NewOrder,1661821556.256328,17853,1,1,0,0,1,0,17853
1,NewOrder,1661821556.256351,18322,9,1,0,0,0,1,18322
1,NewOrder,1661821556.256427,18062,6,1,0,0,1,0,18062
1,NewOrder,1661821556.268142,25707,7,1,0,0,0,1,25707
1,NewOrder,1661821556.269279,21596,5,1,0,1,0,0,21596
1,NewOrder,1661821556.271408,30251,8,1,0,0,0,1,30251
1,NewOrder,1661821556.272599,30672,4,1,0,0,0,1,30672
1,NewOrder,1661821556.274210,21934,1,1,0,0,1,0,21934
1,NewOrder,1661821556.274309,28888,3,1,0,0,0,1,28888
1,NewOrder,1661821556.274361,17638,2,1,0,0,0,1,17638
1,NewOrder,1661821556.274512,22227,6,1,0,0,1,0,22227
1,NewOrder,1661821556.274715,21215,9,1,0,0,0,1,21215
1,NewOrder,1661821556.275892,23883,0,1,0,0,0,1,23883
1,NewOrder,1661821556.290911,16246,5,1,0,0,0,1,16246
1,NewOrder,1661821556.292033,25980,2,1,0,0,0,1,25980
1,NewOrder,1661821556.293881,15988,7,1,0,0,0,1,15988
1,NewOrder,1661821556.296041,20293,9,1,0,0,0,1,20293
1,NewOrder,1661821556.296262,19652,1,1,0,0,1,0,19652
1,NewOrder,1661821556.296767,19192,6,1,0,0,1,0,19192
1,NewOrder,1661821556.299919,25382,0,1,0,0,0,1,25382
1,NewOrder,1661821556.301696,17678,8,1,0,0,0,1,17678
1,NewOrder,1661821556.303227,26069,3,1,0,0,0,1,26069
1,NewOrder,1661821556.303295,29150,4,1,0,0,0,1,29150
1,NewOrder,1661821556.307195,23712,5,1,0,0,0,1,23712
1,NewOrder,1661821556.309910,25447,7,1,0,0,0,1,25447
1,NewOrder,1661821556.315952,17019,1,1,0,0,1,0,17019
1,NewOrder,1661821556.315989,17683,6,1,0,0,0,1,17683
1,NewOrder,1661821556.316360,16631,9,1,0,0,1,0,16631
1,NewOrder,1661821556.318041,19164,2,1,0,0,0,1,19164
1,NewOrder,1661821556.319405,34384,8,1,0,0,0,1,34384
1,NewOrder,1661821556.325344,25325,0,1,0,0,0,1,25325
1,NewOrder,1661821556.329340,16781,3,1,0,0,0,1,16781
1,NewOrder,1661821556.330945,16971,5,1,0,0,0,1,16971
1,NewOrder,1661821556.332475,19765,4,1,0,0,0,1,19765
1,NewOrder,1661821556.333061,25242,9,1,0,0,1,0,25242
1,NewOrder,1661821556.333068,23821,1,1,0,0,0,1,23821
1,NewOrder,1661821556.333715,24836,6,1,0,0,0,1,24836
1,NewOrder,1661821556.335390,25074,7,1,0,0,0,1,25074
1,NewOrder,1661821556.337239,16284,2,1,0,0,0,1,16284
1,NewOrder,1661821556.346206,20304,3,1,0,0,0,1,20304
1,NewOrder,1661821556.347956,20330,5,1,0,0,0,1,20330
1,NewOrder,1661821556.350707,24588,0,1,0,0,0,1,24588
1,NewOrder,1661821556.352275,21097,4,1,0,0,0,1,21097
1,NewOrder,1661821556.353555,25223,2,1,0,0,0,1,25223
1,NewOrder,1661821556.353827,27155,8,1,0,0,0,1,27155
1,NewOrder,1661821556.356931,26284,1,1,0,0,0,1,26284
1,NewOrder,1661821556.358339,29094,9,1,0,0,0,1,29094
1,NewOrder,1661821556.358582,34087,6,1,0,0,0,1,34087
1,NewOrder,1661821556.360502,24993,7,1,0,0,0,1,24993
1,NewOrder,1661821556.366572,33413,3,1,0,0,0,1,33413
1,NewOrder,1661821556.368325,25718,5,1,0,0,0,1,25718
1,NewOrder,1661821556.373452,33089,4,1,0,0,0,1,33089
1,NewOrder,1661821556.375360,26552,0,1,0,0,0,1,26552
1,NewOrder,1661821556.378828,29038,2,1,0,0,0,1,29038
1,NewOrder,1661821556.381024,20903,8,1,0,0,0,1,20903
1,NewOrder,1661821556.383262,21177,1,1,0,0,0,1,21177
1,NewOrder,1661821556.385537,25943,7,1,0,0,0,1,25943
1,NewOrder,1661821556.387474,30860,9,1,0,0,0,1,30860
1,NewOrder,1661821556.392756,21278,6,1,0,0,0,1,21278
1,NewOrder,1661821556.394079,24283,5,1,0,0,0,1,24283
1,NewOrder,1661821556.400029,16762,3,1,0,0,0,1,16762
1,NewOrder,1661821556.401952,32118,0,1,0,0,0,1,32118
1,NewOrder,1661821556.401956,20576,8,1,0,0,0,1,20576
1,NewOrder,1661821556.404498,22118,1,1,0,0,0,1,22118
1,NewOrder,1661821556.406578,22816,4,1,0,0,0,1,22816
1,NewOrder,1661821556.407897,16519,2,1,0,0,0,1,16519
1,NewOrder,1661821556.411518,24118,7,1,0,0,0,1,24118
1,NewOrder,1661821556.414068,24871,6,1,0,0,0,1,24871
1,NewOrder,1661821556.416834,14470,3,1,0,1,0,0,14470
1,NewOrder,1661821556.418372,18598,9,1,0,0,0,1,18598
1,NewOrder,1661821556.418377,28785,5,1,0,0,0,1,28785
1,NewOrder,1661821556.422572,20043,8,1,0,0,0,1,20043
1,NewOrder,1661821556.424458,25858,2,1,0,0,0,1,25858
1,NewOrder,1661821556.426657,26459,1,1,0,0,0,1,26459
1,NewOrder,1661821556.429434,30697,4,1,0,0,0,1,30697
1,NewOrder,1661821556.431391,27234,3,1,0,0,0,1,27234
1,NewOrder,1661821556.434115,28644,0,1,0,0,0,1,28644
1,NewOrder,1661821556.435674,15988,7,1,0,0,0,1,15988
1,NewOrder,1661821556.437005,27947,9,1,0,0,0,1,27947
1,NewOrder,1661821556.438974,17872,6,1,0,0,0,1,17872
