Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1661821265.784062,105551,9,1,0,0,0,1,58017
1,NewOrder,1661821265.784063,100042,2,1,0,0,0,1,53966
1,NewOrder,1661821265.784064,104138,6,1,0,0,0,1,58109
1,NewOrder,1661821265.784066,102764,0,1,0,0,0,1,56525
1,NewOrder,1661821265.784072,101471,5,1,0,0,0,1,53913
1,NewOrder,1661821265.784080,100284,7,1,0,0,0,1,54935
1,NewOrder,1661821265.784089,101448,4,1,0,0,0,1,54526
1,NewOrder,1661821265.784104,102689,1,1,0,0,0,1,54424
1,NewOrder,1661821265.784119,99986,3,1,0,0,0,1,55716
1,NewOrder,1661821265.784383,99979,8,1,0,0,0,1,54312
1,NewOrder,1661821265.884576,36678,2,1,0,0,0,1,30990
1,NewOrder,1661821265.884578,47256,8,1,0,0,0,1,40205
1,NewOrder,1661821265.884585,28751,3,1,0,0,0,1,24636
1,NewOrder,1661821265.884590,31470,7,1,0,0,0,1,26887
1,NewOrder,1661821265.885570,42880,4,1,0,0,0,1,36285
1,NewOrder,1661821265.885578,37206,5,1,0,0,0,1,31161
1,NewOrder,1661821265.886826,33041,1,1,0,0,0,1,28136
1,NewOrder,1661821265.886862,24665,0,1,0,0,0,1,20493
1,NewOrder,1661821265.888233,38254,6,1,0,0,0,1,33724
1,NewOrder,1661821265.889648,28340,9,1,0,0,0,1,25217
1,NewOrder,1661821265.911568,23166,0,1,0,0,0,1,21618
1,NewOrder,1661821265.913375,19799,3,1,0,0,0,1,18129
1,NewOrder,1661821265.916122,21576,7,1,0,0,0,1,20308
1,NewOrder,1661821265.918024,40648,9,1,0,0,0,1,38470
1,NewOrder,1661821265.919922,35432,1,1,0,0,0,1,33462
1,NewOrder,1661821265.921304,21975,2,1,0,0,0,1,20618
1,NewOrder,1661821265.922846,40644,5,1,0,0,0,1,38296
1,NewOrder,1661821265.926543,28688,6,1,0,0,0,1,26438
1,NewOrder,1661821265.928609,25148,4,1,0,0,0,1,23675
1,NewOrder,1661821265.931892,29221,8,1,0,0,0,1,27530
1,NewOrder,1661821265.933228,32051,3,1,0,0,0,1,30276
1,NewOrder,1661821265.934769,22110,0,1,0,0,0,1,20730
1,NewOrder,1661821265.937826,33262,7,1,0,0,0,1,31046
1,NewOrder,1661821265.943322,39902,2,1,0,0,0,1,38032
1,NewOrder,1661821265.953807,32392,4,1,0,0,0,1,30200
1,NewOrder,1661821265.955271,43815,6,1,0,0,0,1,41702
1,NewOrder,1661821265.955379,32794,1,1,0,0,0,1,30742
1,NewOrder,1661821265.956918,35488,0,1,0,0,0,1,33745
1,NewOrder,1661821265.958710,22662,9,1,0,0,0,1,21301
1,NewOrder,1661821265.961185,32995,8,1,0,0,0,1,31338
1,NewOrder,1661821265.963589,30504,5,1,0,0,0,1,29190
1,NewOrder,1661821265.965314,22767,3,1,0,0,0,1,21939
1,NewOrder,1661821265.971243,36000,7,1,0,0,0,1,34122
1,NewOrder,1661821265.981421,31766,9,1,0,0,0,1,29544
1,NewOrder,1661821265.983359,21347,2,1,0,0,0,1,20112
1,NewOrder,1661821265.986333,33926,4,1,0,0,0,1,32727
1,NewOrder,1661821265.988179,30443,3,1,0,0,0,1,28712
1,NewOrder,1661821265.988260,37510,1,1,0,0,0,1,35810
1,NewOrder,1661821265.992459,31616,0,1,0,0,0,1,29824
1,NewOrder,1661821265.994172,22929,5,1,0,0,0,1,21316
1,NewOrder,1661821265.994207,26084,8,1,0,0,0,1,24562
