Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
1,NewOrder,1664335126.304516,90056,2,1,0,0,1,0,90056
2,Payment,1664335126.304519,87614,1,1,0,0,1,0,87614
2,Payment,1664335126.304520,75005,3,1,0,0,1,0,75005
1,NewOrder,1664335126.304523,85162,5,1,0,0,1,0,85162
1,NewOrder,1664335126.304546,84320,9,1,0,0,1,0,84320
2,Payment,1664335126.305088,90116,4,1,0,0,1,0,90116
1,NewOrder,1664335126.305129,86099,8,1,0,0,1,0,86099
2,Payment,1664335126.305179,84456,7,1,0,0,1,0,84456
5,StockLevel,1664335126.305181,63930,0,1,0,0,0,1,63930
1,NewOrder,1664335126.305279,74080,6,1,0,0,1,0,74080
4,Delivery,1664335126.369561,131701,0,1,0,0,0,1,131701
2,Payment,1664335126.379480,31810,6,1,0,0,1,0,31810
2,Payment,1664335126.379660,68353,3,1,0,0,0,1,68353
2,Payment,1664335126.388926,4995,9,1,0,0,1,0,4995
2,Payment,1664335126.389755,5155,7,1,0,0,1,0,5155
2,Payment,1664335126.389785,16960,5,1,0,0,1,0,16960
2,Payment,1664335126.391373,56578,8,1,0,0,0,1,56578
2,Payment,1664335126.392227,7124,1,1,0,0,1,0,7124
2,Payment,1664335126.393965,14347,9,1,0,0,1,0,14347
1,NewOrder,1664335126.394692,32082,2,1,0,0,1,0,32082
1,NewOrder,1664335126.394997,81671,7,1,0,0,0,1,81671
1,NewOrder,1664335126.395284,19948,4,1,0,0,1,0,19948
2,Payment,1664335126.399426,19597,1,1,0,0,1,0,19597
4,Delivery,1664335126.408344,91090,9,1,0,0,0,1,91090
2,Payment,1664335126.408837,11963,5,1,0,0,1,0,11963
2,Payment,1664335126.411382,11289,6,1,0,0,1,0,11289
2,Payment,1664335126.415305,13138,4,1,0,0,1,0,13138
2,Payment,1664335126.419102,57921,1,1,0,0,0,1,57921
2,Payment,1664335126.420859,12029,5,1,0,0,1,0,12029
1,NewOrder,1664335126.422725,7631,6,1,0,0,1,0,7631
1,NewOrder,1664335126.426847,22719,2,1,0,0,1,0,22719
1,NewOrder,1664335126.428475,50272,4,1,0,0,1,0,50272
1,NewOrder,1664335126.430429,4530,6,1,0,0,1,0,4530
1,NewOrder,1664335126.432930,31952,5,1,0,0,1,0,31952
1,NewOrder,1664335126.435036,4503,6,1,0,0,1,0,4503
1,NewOrder,1664335126.439608,4463,6,1,0,0,1,0,4463
1,NewOrder,1664335126.444138,4627,6,1,0,0,1,0,4627
1,NewOrder,1664335126.448057,74664,8,1,0,0,0,1,74664
1,NewOrder,1664335126.448076,74772,3,1,0,0,0,1,74772
1,NewOrder,1664335126.448798,2666,6,1,0,0,1,0,2666
2,Payment,1664335126.449634,95650,2,1,0,0,0,1,95650
2,Payment,1664335126.451495,26967,6,1,0,0,1,0,26967
1,NewOrder,1664335126.464932,14339,5,1,0,0,1,0,14339
2,Payment,1664335126.476704,47570,7,1,0,0,1,0,47570
2,Payment,1664335126.477084,45773,1,1,0,0,0,1,45773
4,Delivery,1664335126.478534,89342,6,1,0,0,0,1,89342
2,Payment,1664335126.478823,13128,4,1,0,0,1,0,13128
2,Payment,1664335126.479306,29642,5,1,0,0,1,0,29642
2,Payment,1664335126.492022,15984,4,1,0,0,1,0,15984
1,NewOrder,1664335126.499466,6884,9,1,0,0,1,0,6884
1,NewOrder,1664335126.501291,66614,0,1,0,0,0,1,66614
2,Payment,1664335126.506422,18635,9,1,0,0,1,0,18635
1,NewOrder,1664335126.508056,19772,4,1,0,0,1,0,19772
1,NewOrder,1664335126.509000,59732,5,1,0,0,0,1,59732
4,Delivery,1664335126.522816,47051,8,1,0,0,1,0,47051
3,OrderStatus,1664335126.522891,35648,3,1,0,0,0,1,35648
1,NewOrder,1664335126.522914,35414,1,1,0,0,1,0,35414
2,Payment,1664335126.524305,46445,7,1,0,0,1,0,46445
2,Payment,1664335126.525087,47562,9,1,0,0,1,0,47562
5,StockLevel,1664335126.527859,11036,4,1,0,0,0,1,11036
2,Payment,1664335126.538923,31762,4,1,0,0,1,0,31762
3,OrderStatus,1664335126.545325,20918,2,1,0,0,0,1,20918
2,Payment,1664335126.558386,12961,1,1,0,0,1,0,12961
1,NewOrder,1664335126.558723,3810,3,1,0,0,1,0,3810
5,StockLevel,1664335126.562584,11120,3,1,0,0,0,1,11120
2,Payment,1664335126.566314,155722,2,1,0,0,0,1,155722
1,NewOrder,1664335126.567966,49294,6,1,0,0,1,0,49294
2,Payment,1664335126.567986,27707,0,1,0,0,1,0,27707
2,Payment,1664335126.568891,85131,5,1,0,0,1,0,85131
2,Payment,1664335126.569938,34361,8,1,0,0,1,0,34361
1,NewOrder,1664335126.570758,33855,4,1,0,0,1,0,33855
2,Payment,1664335126.570824,30912,7,1,0,0,1,0,30912
1,NewOrder,1664335126.571404,43631,1,1,0,0,1,0,43631
1,NewOrder,1664335126.572747,5464,9,1,0,0,1,0,5464
1,NewOrder,1664335126.573740,3704,3,1,0,0,1,0,3704
2,Payment,1664335126.577498,20488,3,1,0,0,1,0,20488
1,NewOrder,1664335126.578282,40109,9,1,0,0,1,0,40109
1,NewOrder,1664335126.595812,36689,0,1,0,1,0,0,36689
1,NewOrder,1664335126.598057,10859,3,1,0,0,1,0,10859
4,Delivery,1664335126.601824,120602,7,1,0,0,0,1,120602
3,OrderStatus,1664335126.604376,11520,8,1,0,0,0,1,11520
1,NewOrder,1664335126.604689,49218,4,1,0,0,1,0,49218
2,Payment,1664335126.608972,44775,3,1,0,0,1,0,44775
2,Payment,1664335126.615098,75992,1,1,0,0,1,0,75992
2,Payment,1664335126.615970,74412,8,1,0,0,0,1,74412
1,NewOrder,1664335126.617904,31238,6,1,0,0,1,0,31238
1,NewOrder,1664335126.618475,50549,9,1,0,0,1,0,50549
1,NewOrder,1664335126.632567,5860,0,1,0,0,1,0,5860
1,NewOrder,1664335126.638483,10780,0,1,0,0,1,0,10780
1,NewOrder,1664335126.649237,8934,6,1,0,0,1,0,8934
2,Payment,1664335126.649343,4186,0,1,0,0,1,0,4186
