Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1621.400,6.124,0.972,2.223,3.366,6.847,12.370,18.312,40.954,161.828,0.163
5,1058.800,9.430,1.074,4.012,6.372,10.516,20.833,28.259,41.708,972.723,0.106
10,714.600,14.001,1.140,3.904,6.843,17.354,36.513,48.990,68.957,170.748,0.071
15,305.600,32.750,0.977,17.486,27.016,46.993,61.712,69.244,96.914,117.543,0.031
20,265.800,37.710,0.950,28.668,39.139,47.171,55.638,58.652,75.482,99.397,0.027
25,282.200,35.190,1.354,27.942,35.861,43.816,51.419,55.262,65.904,79.961,0.028
30,278.000,36.084,1.104,27.310,35.755,44.018,52.489,54.487,72.197,115.624,0.028
35,268.000,37.827,1.378,27.083,35.496,44.207,52.474,54.766,87.804,1016.248,0.026
40,207.800,47.351,1.472,32.026,37.037,51.757,76.021,101.880,216.549,339.033,0.021
45,216.600,46.209,1.183,34.663,47.210,56.776,66.539,74.785,90.981,161.924,0.022
50,241.600,41.352,1.386,29.274,38.632,48.440,57.954,64.494,75.063,1060.894,0.024
55,281.000,35.594,1.830,28.033,35.854,44.637,50.828,54.092,63.029,85.920,0.028
60,252.400,39.521,1.207,27.589,36.499,45.460,54.699,61.819,103.183,1011.168,0.025
65,308.000,32.412,0.954,17.994,33.302,43.553,52.495,57.812,68.874,947.010,0.031
70,265.400,37.746,1.288,17.380,28.798,43.778,59.726,75.923,193.693,1189.843,0.026
75,201.000,49.760,1.257,38.832,47.468,55.987,73.939,89.992,138.001,150.816,0.020
80,248.000,40.188,1.241,30.524,39.485,47.287,55.625,62.771,68.373,116.310,0.025
85,257.800,38.879,1.695,28.608,36.995,46.054,54.390,61.910,73.372,109.202,0.026
90,283.800,35.318,1.245,27.364,35.449,43.515,51.593,53.471,62.973,74.760,0.028
95,239.800,41.599,5.689,26.797,35.279,44.906,60.070,77.727,210.541,221.063,0.024
100,302.400,32.922,1.426,24.867,27.106,38.273,58.961,67.043,85.503,201.911,0.030
105,235.800,42.803,1.816,27.473,43.946,52.108,61.920,71.096,93.038,145.130,0.023
110,258.800,38.357,1.881,29.608,37.763,46.113,55.099,59.618,87.480,95.488,0.026
115,262.800,37.673,1.442,27.883,36.595,45.615,53.127,56.109,64.344,101.561,0.027
