time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,439,439.000,439.000,87787,87787,439,0
1,530,530.000,530.000,35258,35258,529,1
2,533,533.000,533.000,42854,42854,532,1
3,607,607.000,607.000,48240,48240,606,1
4,678,678.000,678.000,35066,35066,677,1
5,679,679.000,679.000,34919,34919,679,0
6,641,641.000,641.000,34707,34707,640,1
7,655,655.000,655.000,34494,34494,654,1
8,615,615.000,615.000,33690,33690,614,1
9,568,568.000,568.000,33699,33699,567,1
10,594,594.000,594.000,33545,33545,593,1
11,580,580.000,580.000,26105,26105,579,1
12,592,592.000,592.000,25874,25874,591,1
13,592,592.000,592.000,25891,25891,591,1
14,593,593.000,593.000,34715,34715,592,1
15,552,552.000,552.000,33537,33537,551,1
16,526,526.000,526.000,42068,42068,525,1
17,551,551.000,551.000,25824,25824,550,1
18,536,536.000,536.000,33478,33478,535,1
19,531,531.000,531.000,33839,33839,530,1
20,562,562.000,562.000,34041,34041,561,1
21,567,567.000,567.000,56700,56700,566,1
22,598,598.000,598.000,26492,26492,598,0
23,584,584.000,584.000,33972,33972,583,1
24,588,588.000,588.000,34717,34717,587,1
25,595,595.000,595.000,26859,26859,594,1
26,615,615.000,615.000,25953,25953,614,1
27,620,620.000,620.000,34057,34057,619,1
28,598,598.000,598.000,33973,33973,597,1
29,593,593.000,593.000,33996,33996,592,1
30,600,600.000,600.000,26121,26121,599,1
31,554,554.000,554.000,117115,117115,553,1
32,607,607.000,607.000,25840,25840,606,1
33,614,614.000,614.000,25770,25770,613,1
34,626,626.000,626.000,26372,26372,625,1
35,603,603.000,603.000,34127,34127,602,1
36,587,587.000,587.000,100241,100241,586,1
37,554,554.000,554.000,150570,150570,553,1
38,574,574.000,574.000,118018,118018,573,1
39,579,579.000,579.000,75609,75609,578,1
40,592,592.000,592.000,33112,33112,591,1
41,600,600.000,600.000,35363,35363,599,1
42,543,543.000,543.000,160364,160364,542,1
43,582,582.000,582.000,67219,67219,581,1
44,605,605.000,605.000,26561,26561,604,1
45,617,617.000,617.000,25627,25627,616,1
46,641,641.000,641.000,18909,18909,640,1
47,647,647.000,647.000,18344,18344,646,1
48,628,628.000,628.000,25988,25988,627,1
49,614,614.000,614.000,26000,26000,613,1
50,611,611.000,611.000,25671,25671,610,1
51,622,622.000,622.000,25703,25703,621,1
52,619,619.000,619.000,26503,26503,618,1
53,623,623.000,623.000,29052,29052,622,1
54,610,610.000,610.000,34773,34773,609,1
55,646,646.000,646.000,24320,24320,645,1
56,627,627.000,627.000,25695,25695,626,1
57,616,616.000,616.000,33794,33794,615,1
58,634,634.000,634.000,19316,19316,633,1
59,619,619.000,619.000,26688,26688,618,1
60,617,617.000,617.000,26073,26073,616,1
61,617,617.000,617.000,26220,26220,616,1
62,587,587.000,587.000,82805,82805,586,1
63,632,632.000,632.000,26541,26541,631,1
64,607,607.000,607.000,26488,26488,606,1
65,603,603.000,603.000,26649,26649,602,1
66,608,608.000,608.000,26788,26788,607,1
67,564,564.000,564.000,91726,91726,563,1
68,564,564.000,564.000,150242,150242,563,1
69,616,616.000,616.000,49880,49880,615,1
70,583,583.000,583.000,41773,41773,582,1
71,529,529.000,529.000,150763,150763,528,1
72,627,627.000,627.000,33389,33389,626,1
73,608,608.000,608.000,25911,25911,607,1
74,610,610.000,610.000,33255,33255,609,1
75,617,617.000,617.000,49800,49800,616,1
76,650,650.000,650.000,26330,26330,649,1
77,624,624.000,624.000,25774,25774,623,1
78,621,621.000,621.000,25793,25793,620,1
79,608,608.000,608.000,33017,33017,607,1
80,622,622.000,622.000,18130,18130,621,1
81,619,619.000,619.000,25460,25460,619,0
82,626,626.000,626.000,25446,25446,625,1
83,632,632.000,632.000,26115,26115,631,1
84,605,605.000,605.000,26452,26452,604,1
85,630,630.000,630.000,25593,25593,629,1
86,587,587.000,587.000,74696,74696,586,1
87,639,639.000,639.000,25123,25123,638,1
88,608,608.000,608.000,43707,43707,607,1
89,589,589.000,589.000,42441,42441,588,1
90,620,620.000,620.000,25738,25738,619,1
91,631,631.000,631.000,32836,32836,630,1
92,626,626.000,626.000,39581,39581,625,1
93,545,545.000,545.000,108698,108698,544,1
94,589,589.000,589.000,33378,33378,588,1
95,484,484.000,484.000,150417,150417,483,1
96,599,599.000,599.000,25578,25578,598,1
97,503,503.000,503.000,149931,149931,502,1
98,529,529.000,529.000,167083,167083,528,1
99,583,583.000,583.000,41473,41473,582,1
100,604,604.000,604.000,25221,25221,603,1
101,594,594.000,594.000,49820,49820,593,1
102,564,564.000,564.000,108620,108620,563,1
103,610,610.000,610.000,24884,24884,609,1
104,601,601.000,601.000,27032,27032,600,1
105,553,553.000,553.000,83355,83355,552,1
106,603,603.000,603.000,25165,25165,602,1
107,615,615.000,615.000,17626,17626,614,1
108,612,612.000,612.000,25108,25108,611,1
109,543,543.000,543.000,100640,100640,542,1
110,563,563.000,563.000,50494,50494,562,1
111,595,595.000,595.000,25789,25789,594,1
112,597,597.000,597.000,25512,25512,596,1
113,573,573.000,573.000,66522,66522,572,1
114,586,586.000,586.000,25780,25780,585,1
115,518,518.000,518.000,149885,149885,517,1
116,591,591.000,591.000,33069,33069,590,1
117,598,598.000,598.000,25578,25578,597,1
118,590,590.000,590.000,58001,58001,589,1
119,567,567.000,567.000,108468,108468,567,0
