Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
2,Payment,1664336715.213259,87787,5,1,0,0,1,0,87787
2,Payment,1664336715.213260,88531,3,1,0,0,1,0,88531
2,Payment,1664336715.213285,89384,4,1,0,0,1,0,89384
2,Payment,1664336715.213337,53797,8,1,0,0,1,0,53797
2,Payment,1664336715.213384,55682,1,1,0,0,1,0,55682
2,Payment,1664336715.213998,52944,7,1,0,0,1,0,52944
2,Payment,1664336715.214016,52925,6,1,0,0,1,0,52925
2,Payment,1664336715.214046,60637,2,1,0,0,1,0,60637
2,Payment,1664336715.214120,89475,0,1,0,0,1,0,89475
2,Payment,1664336715.214188,87236,9,1,0,0,1,0,87236
2,Payment,1664336715.267570,16127,6,1,0,0,1,0,16127
2,Payment,1664336715.267583,34648,7,1,0,0,1,0,34648
2,Payment,1664336715.267593,34177,8,1,0,0,1,0,34177
2,Payment,1664336715.269222,13135,1,1,0,0,1,0,13135
2,Payment,1664336715.274867,15016,2,1,0,0,1,0,15016
2,Payment,1664336715.282442,22285,1,1,0,0,1,0,22285
2,Payment,1664336715.283772,17586,6,1,0,0,1,0,17586
2,Payment,1664336715.289946,17959,2,1,0,0,1,0,17959
2,Payment,1664336715.301165,49799,5,1,0,0,0,1,49799
2,Payment,1664336715.301450,15964,6,1,0,0,1,0,15964
2,Payment,1664336715.301569,32909,9,1,0,0,1,0,32909
2,Payment,1664336715.301859,26043,8,1,0,0,1,0,26043
2,Payment,1664336715.301946,32796,3,1,0,0,1,0,32796
2,Payment,1664336715.302312,31676,7,1,0,0,1,0,31676
2,Payment,1664336715.303307,13524,4,1,0,0,1,0,13524
2,Payment,1664336715.303746,30891,0,1,0,0,1,0,30891
2,Payment,1664336715.304811,30243,1,1,0,0,1,0,30243
2,Payment,1664336715.307986,19600,2,1,0,0,1,0,19600
2,Payment,1664336715.316907,26241,4,1,0,0,1,0,26241
2,Payment,1664336715.317481,18487,6,1,0,0,1,0,18487
2,Payment,1664336715.327665,16995,2,1,0,0,1,0,16995
2,Payment,1664336715.327985,16104,8,1,0,0,1,0,16104
2,Payment,1664336715.334051,36843,7,1,0,0,0,1,36843
2,Payment,1664336715.334557,19580,9,1,0,0,1,0,19580
2,Payment,1664336715.334722,88201,0,1,0,0,1,0,88201
2,Payment,1664336715.334805,35372,3,1,0,0,1,0,35372
2,Payment,1664336715.335132,36545,1,1,0,0,1,0,36545
2,Payment,1664336715.336044,17156,6,1,0,0,1,0,17156
2,Payment,1664336715.343195,19613,4,1,0,0,1,0,19613
2,Payment,1664336715.344166,25138,8,1,0,0,1,0,25138
2,Payment,1664336715.344740,25285,2,1,0,0,1,0,25285
2,Payment,1664336715.351017,25258,5,1,0,0,0,1,25258
2,Payment,1664336715.353292,24820,6,1,0,0,1,0,24820
2,Payment,1664336715.354179,17878,9,1,0,0,1,0,17878
