Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,154.800,44.069,1.725,14.486,25.224,76.369,98.876,110.478,143.966,161.704,0.023
5,155.600,46.853,1.624,14.862,40.741,70.637,93.963,111.286,204.624,283.149,0.021
10,209.600,33.604,0.667,11.725,16.359,52.465,82.461,97.307,140.809,273.615,0.030
15,188.000,38.562,1.594,13.328,17.696,67.168,85.378,93.626,107.982,126.462,0.026
20,122.600,59.795,1.490,12.982,40.205,68.474,90.203,110.745,1054.543,1085.701,0.017
25,232.000,30.676,1.185,12.282,16.253,50.811,76.747,88.146,105.057,134.001,0.033
30,192.200,35.722,0.786,11.408,17.023,57.366,76.886,92.352,131.741,231.470,0.028
35,179.600,37.938,0.673,13.302,25.171,59.927,84.155,93.452,119.093,128.054,0.026
40,177.600,39.753,1.375,13.050,16.974,64.435,87.543,100.766,171.211,204.502,0.025
45,202.600,33.897,0.623,12.143,16.609,53.837,79.495,93.371,134.990,240.489,0.030
50,175.600,40.505,1.229,14.635,32.905,63.246,84.923,95.545,110.153,127.180,0.025
55,212.600,32.839,0.701,10.781,16.769,53.020,75.807,85.674,149.253,167.210,0.030
60,135.000,50.341,1.320,16.482,44.518,64.891,88.764,101.868,249.590,505.879,0.020
65,164.000,42.402,1.393,14.658,29.146,66.603,86.305,94.844,206.854,322.324,0.024
70,188.000,38.815,1.278,13.498,27.114,58.458,78.349,94.089,217.733,234.997,0.026
75,206.200,33.013,0.646,12.144,16.575,55.117,77.650,88.094,112.612,128.305,0.030
80,190.200,36.158,0.606,11.850,17.213,60.453,78.849,97.293,120.942,227.762,0.028
85,180.800,37.902,0.693,14.293,25.206,57.349,77.198,86.559,121.265,252.067,0.026
90,162.600,45.713,0.740,11.642,21.342,54.019,78.397,98.825,998.822,1036.648,0.022
95,199.200,35.111,0.829,11.990,16.785,55.920,75.269,86.717,250.615,276.673,0.028
100,189.200,35.210,3.040,11.023,16.832,54.194,80.927,99.287,140.124,200.993,0.028
105,200.600,34.297,1.313,12.305,22.756,56.149,73.552,81.781,93.563,104.525,0.029
110,167.000,40.117,2.805,14.571,33.476,61.298,77.650,85.167,146.154,244.891,0.025
115,214.800,30.660,0.714,10.128,16.464,50.014,73.104,87.278,108.466,192.673,0.033
