Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,751.800,13.236,7.145,8.241,8.520,16.576,16.992,23.236,91.441,108.656,0.076
5,1056.000,9.446,6.492,8.206,8.331,8.493,9.171,16.700,25.067,108.432,0.106
10,1070.600,9.323,6.699,8.190,8.338,8.524,8.891,16.711,24.884,108.742,0.107
15,1020.000,9.781,7.397,8.217,8.347,8.516,16.508,16.755,25.357,108.081,0.102
20,1095.600,9.107,7.226,8.191,8.333,8.500,8.793,16.570,25.008,58.984,0.110
25,1042.200,9.581,7.249,8.177,8.346,8.555,8.909,16.727,41.714,108.088,0.104
30,1057.800,9.435,7.417,8.203,8.338,8.504,8.766,16.634,17.475,150.399,0.106
35,1062.000,9.399,6.801,8.229,8.338,8.489,8.858,16.758,25.363,34.081,0.106
40,1052.000,9.489,7.517,8.230,8.337,8.473,8.730,16.653,25.287,141.547,0.105
45,1066.000,9.366,7.497,8.214,8.343,8.496,8.777,16.714,25.079,141.419,0.107
50,1034.000,9.653,7.505,8.207,8.335,8.487,8.747,16.680,25.407,149.778,0.104
55,1098.000,9.168,7.352,8.228,8.336,8.468,8.661,16.487,16.998,180.650,0.109
60,1106.000,8.948,7.102,8.206,8.337,8.478,8.677,16.414,17.033,74.954,0.112
65,1090.200,9.150,0.617,8.170,8.341,8.542,8.817,16.580,24.620,95.669,0.109
70,1051.800,9.492,7.392,8.212,8.341,8.486,8.748,16.677,41.885,75.531,0.105
75,1076.000,9.287,7.318,8.203,8.366,8.570,9.108,16.773,25.048,41.853,0.108
80,1076.000,9.292,6.533,8.187,8.359,8.546,8.862,16.708,25.290,108.282,0.108
85,1056.200,9.428,7.470,8.213,8.352,8.529,8.926,16.755,23.625,142.403,0.106
90,1045.600,9.556,7.278,8.217,8.350,8.504,8.826,16.804,25.091,100.343,0.105
95,966.000,10.339,7.441,8.231,8.359,8.558,16.620,16.866,25.275,175.670,0.097
100,1021.200,9.840,6.757,8.231,8.359,8.533,16.546,16.835,41.329,92.177,0.102
105,1060.000,9.350,7.346,8.224,8.351,8.506,8.817,16.724,25.008,142.111,0.107
110,1091.000,9.151,7.340,8.218,8.345,8.490,8.726,16.624,24.191,91.412,0.109
115,1071.400,9.290,7.292,8.196,8.350,8.536,8.906,16.664,17.261,142.049,0.108
