Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,384,384.000,9852,16157,16739,25850,24414,65856,84598,102562,106545,383,1,102562,16739,25850,24414,65856,84598
1,485,485.000,7145,16266,16610,20396,16927,24957,41580,108212,108656,484,1,108212,16610,20396,16927,24957,41580
2,910,910.000,7164,8186,8414,10974,16449,16822,17016,17479,18997,909,1,17479,8414,10974,16449,16822,17016
3,920,920.000,7358,8192,8413,10840,16378,16719,16891,24781,26003,919,1,24781,8413,10840,16378,16719,16891
4,1060,1060.000,7438,8197,8321,9410,8503,16524,16732,18468,25474,1059,1,18468,8321,9410,8503,16524,16732
5,1094,1094.000,7205,8189,8323,9088,8509,9167,16678,17275,25797,1093,1,17275,8323,9088,8509,9167,16678
6,1086,1086.000,6492,8187,8320,9161,8497,9093,16701,17422,25279,1085,1,17422,8320,9161,8497,9093,16701
7,860,860.000,7565,8219,8354,11612,8602,16682,17051,107896,108432,859,1,107896,8354,11612,8602,16682,17051
8,1110,1110.000,6807,8211,8335,9005,8457,8687,16654,25027,25444,1109,1,25027,8335,9005,8457,8687,16654
9,1130,1130.000,7556,8218,8331,8849,8467,8723,16557,16843,17258,1129,1,16843,8331,8849,8467,8723,16557
10,1103,1103.000,7536,8198,8330,9013,8490,8707,16602,25306,25938,1102,1,25306,8330,9013,8490,8707,16602
11,1126,1126.000,6768,8180,8342,8858,8531,8762,16452,16872,17085,1125,1,16872,8342,8858,8531,8762,16452
12,1000,1000.000,7460,8214,8357,10012,8602,16780,17022,25004,25472,999,1,25004,8357,10012,8602,16780,17022
13,970,970.000,6699,8173,8345,10307,8556,16414,16829,108299,108742,969,1,108299,8345,10307,8556,16414,16829
14,1154,1154.000,7656,8186,8315,8648,8481,8696,8916,16729,17238,1153,1,16729,8315,8648,8481,8696,8916
15,1016,1016.000,7397,8197,8372,9774,8614,16594,16879,25334,25700,1015,1,25334,8372,9774,8614,16594,16879
16,940,940.000,7688,8254,8371,10724,8618,16683,16779,83168,83411,939,1,83168,8371,10724,8618,16683,16779
17,1070,1070.000,7602,8198,8334,9266,8502,8775,16731,17395,50042,1069,1,17395,8334,9266,8502,8775,16731
18,1060,1060.000,7601,8226,8334,9433,8462,8764,16712,25363,50205,1059,1,25363,8334,9433,8462,8764,16712
19,1014,1014.000,7653,8217,8335,9816,8484,8786,16646,18922,108081,1013,1,18922,8335,9816,8484,8786,16646
20,1066,1066.000,7562,8236,8332,9349,8450,8637,16634,25755,58984,1065,1,25755,8332,9349,8450,8637,16634
21,1112,1112.000,7226,8143,8330,8998,8514,8798,9949,17227,52154,1111,1,17227,8330,8998,8514,8798,9949
22,1100,1100.000,7440,8171,8324,9079,8483,8727,16326,17289,51361,1099,1,17289,8324,9079,8483,8727,16326
23,1101,1101.000,7699,8217,8337,9028,8514,8860,16604,17175,25594,1100,1,17175,8337,9028,8514,8860,16604
24,1099,1099.000,7508,8173,8348,9089,8560,8928,16653,17153,25459,1098,1,17153,8348,9089,8560,8928,16653
25,810,810.000,7401,8187,8386,12352,8639,16462,41984,107709,108088,809,1,107709,8386,12352,8639,16462,41984
26,1090,1090.000,7373,8156,8345,9174,8554,8841,16636,17504,50445,1089,1,17504,8345,9174,8554,8841,16636
27,1130,1130.000,7520,8182,8332,8849,8496,8791,16547,17055,17307,1129,1,17055,8332,8849,8496,8791,16547
28,1072,1072.000,7416,8166,8346,9266,8580,16345,16765,17553,25174,1071,1,17553,8346,9266,8580,16345,16765
29,1109,1109.000,7249,8191,8347,9006,8535,8787,16614,17552,25162,1109,0,17552,8347,9006,8535,8787,16614
30,1029,1029.000,7545,8207,8335,9694,8492,8833,16673,25474,83081,1028,1,25474,8335,9694,8492,8833,16673
31,1130,1130.000,7617,8207,8333,8853,8502,8787,16542,16944,17225,1129,1,16944,8333,8853,8502,8787,16542
32,1143,1143.000,7655,8229,8336,8706,8479,8651,8887,16892,17166,1142,1,16892,8336,8706,8479,8651,8887
33,1118,1118.000,7417,8164,8342,8930,8537,8829,16627,17107,17657,1118,0,17107,8342,8930,8537,8829,16627
34,869,869.000,7565,8196,8341,11490,8522,8808,16821,149650,150399,868,1,149650,8341,11490,8522,8808,16821
35,1140,1140.000,7565,8210,8335,8769,8484,8684,8883,16982,25689,1139,1,16982,8335,8769,8484,8684,8883
36,1000,1000.000,7555,8231,8337,9992,8500,16670,24961,33120,33636,999,1,33120,8337,9992,8500,16670,24961
37,976,976.000,7567,8227,8347,10318,8559,16699,24976,33783,34081,975,1,33783,8347,10318,8559,16699,24976
38,1085,1085.000,7558,8229,8334,9084,8474,8730,16714,25191,25924,1085,0,25191,8334,9084,8474,8730,16714
39,1109,1109.000,6801,8249,8340,9011,8454,8671,16670,17024,25313,1108,1,17024,8340,9011,8454,8671,16670
40,940,940.000,7720,8231,8344,10638,8515,9009,16746,141287,141547,939,1,141287,8344,10638,8515,9009,16746
41,1100,1100.000,7649,8243,8335,9087,8456,8773,16668,17090,25224,1099,1,17090,8335,9087,8456,8773,16668
42,960,960.000,7517,8232,8348,10414,8498,8830,16730,91032,91625,959,1,91032,8348,10414,8498,8830,16730
43,1111,1111.000,7594,8219,8328,8933,8454,8647,8988,17088,43840,1111,0,17088,8328,8933,8454,8647,8988
44,1149,1149.000,7677,8217,8328,8698,8461,8648,8935,16849,17289,1148,1,16849,8328,8698,8461,8648,8935
45,1030,1030.000,7623,8236,8347,9875,8535,16689,17400,25395,25716,1029,1,25395,8347,9875,8535,16689,17400
46,920,920.000,7563,8225,8349,10680,8512,9187,16775,140993,141419,919,1,140993,8349,10680,8512,9187,16775
47,1114,1114.000,7731,8206,8335,8928,8481,8695,16561,17182,33102,1113,1,17182,8335,8928,8481,8695,16561
48,1136,1136.000,7793,8222,8346,8781,8477,8659,16580,16880,17275,1135,1,16880,8346,8781,8477,8659,16580
49,1130,1130.000,7497,8187,8344,8848,8504,8734,16165,17030,25267,1129,1,17030,8344,8848,8504,8734,16165
50,1130,1130.000,7657,8180,8319,8852,8484,8687,16594,17902,25407,1129,1,17902,8319,8852,8484,8687,16594
51,1134,1134.000,7505,8191,8332,8770,8486,8712,16491,17089,17487,1133,1,17089,8332,8770,8486,8712,16491
52,906,906.000,7737,8220,8340,11090,8504,9134,16928,149205,149566,905,1,149205,8340,11090,8504,9134,16928
53,1060,1060.000,7712,8236,8332,9428,8463,8775,16742,25140,50105,1059,1,25140,8332,9428,8463,8775,16742
54,940,940.000,7757,8218,8348,10546,8496,8805,16611,149431,149778,939,1,149431,8348,10546,8496,8805,16611
55,1120,1120.000,7640,8227,8334,8927,8457,8624,16686,17115,25828,1119,1,17115,8334,8927,8457,8624,16686
56,1130,1130.000,7402,8246,8338,8801,8470,8675,16616,16933,17133,1129,1,16933,8338,8801,8470,8675,16616
57,933,933.000,7352,8231,8327,10707,8470,8753,16723,180341,180650,932,1,180341,8327,10707,8470,8753,16723
58,1157,1157.000,7640,8227,8331,8616,8446,8595,8799,16800,17394,1156,1,16800,8331,8616,8446,8595,8799
59,1150,1150.000,7729,8214,8349,9066,8503,8709,16353,17100,50241,1149,1,17100,8349,9066,8503,8709,16353
60,1100,1100.000,7714,8185,8336,8705,8478,8666,8960,16890,17228,1099,1,16890,8336,8705,8478,8666,8960
61,1153,1153.000,7691,8206,8335,8623,8463,8611,8769,17008,17306,1152,1,17008,8335,8623,8463,8611,8769
62,1107,1107.000,7102,8204,8345,9011,8524,8827,16614,17001,25179,1106,1,17001,8345,9011,8524,8827,16614
63,1020,1020.000,7736,8211,8333,9799,8494,8756,16733,49612,74954,1019,1,49612,8333,9799,8494,8756,16733
64,1150,1150.000,7666,8213,8333,8691,8461,8617,8859,16889,17546,1149,1,16889,8333,8691,8461,8617,8859
65,1133,1133.000,7595,8201,8361,8790,8548,8746,9010,16913,25117,1132,1,16913,8361,8790,8548,8746,9010
66,1147,1147.000,7678,8161,8333,8692,8523,8743,9005,17007,17296,1146,1,17007,8333,8692,8523,8743,9005
67,1090,1090.000,7323,8154,8329,9168,8546,8971,16760,25037,26019,1089,1,25037,8329,9168,8546,8971,16760
68,1090,1090.000,6890,8173,8351,9208,8551,8829,16580,17256,59457,1089,1,17256,8351,9208,8551,8829,16580
69,991,991.000,617,8164,8345,10003,8555,8936,16746,94654,95669,990,1,94654,8345,10003,8555,8936,16746
70,1130,1130.000,7592,8174,8327,8835,8475,8682,16416,17111,25577,1129,1,17111,8327,8835,8475,8682,16416
71,1149,1149.000,7683,8224,8333,8697,8465,8640,8913,16749,17054,1148,1,16749,8333,8697,8465,8640,8913
72,1060,1060.000,7392,8217,8347,9433,8481,8759,16688,25506,55067,1059,1,25506,8347,9433,8481,8759,16688
73,1140,1140.000,7626,8214,8338,8772,8464,8691,16575,16909,18104,1139,1,16909,8338,8772,8464,8691,16575
74,780,780.000,7420,8234,8380,12746,8648,25061,42160,74974,75531,779,1,74974,8380,12746,8648,25061,42160
75,1020,1020.000,7421,8190,8383,9842,8638,16571,16921,41576,41853,1019,1,41576,8383,9842,8638,16571,16921
76,1040,1040.000,7318,8195,8415,9570,8629,16635,16942,25390,33864,1039,1,25390,8415,9570,8629,16635,16942
77,1096,1096.000,7626,8182,8354,9112,8563,8939,16840,18597,25048,1095,1,18597,8354,9112,8563,8939,16840
78,1114,1114.000,7638,8207,8352,8949,8522,8816,16697,17114,17531,1113,1,17114,8352,8949,8522,8816,16697
79,1110,1110.000,7634,8229,8358,9022,8509,8882,16485,17170,25075,1109,1,17170,8358,9022,8509,8882,16485
80,1100,1100.000,7749,8228,8344,9023,8486,8722,16563,17160,33148,1099,1,17160,8344,9023,8486,8722,16563
81,950,950.000,7477,8195,8376,10553,8589,16433,17190,107701,108282,949,1,107701,8376,10553,8589,16433,17190
82,1132,1132.000,7234,8162,8371,8795,8563,8782,16225,17399,17700,1131,1,17399,8371,8795,8563,8782,16225
83,1118,1118.000,6533,8167,8350,8936,8534,8887,16696,17098,17548,1117,1,17098,8350,8936,8534,8887,16696
84,1080,1080.000,7475,8160,8365,9344,8572,8917,16750,25641,50322,1079,1,25641,8365,9344,8572,8917,16750
