Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.400,10.882,0.785,6.247,7.423,9.989,13.764,41.331,61.147,61.147,0.092
5,21.400,6.358,0.719,4.747,5.758,6.767,7.597,9.876,35.004,36.325,0.157
10,15.400,6.333,0.794,4.447,5.499,6.435,7.218,7.974,59.770,59.770,0.158
15,26.000,5.808,0.807,4.472,5.401,6.260,7.035,7.604,33.095,35.838,0.172
20,20.200,5.818,0.763,4.726,5.694,6.327,7.154,8.603,19.056,31.328,0.172
25,20.600,5.730,0.692,3.923,5.333,6.347,7.288,7.887,22.093,41.629,0.175
30,13.400,5.728,1.496,5.143,5.948,6.592,7.007,7.322,8.506,8.506,0.175
35,21.200,5.960,0.576,4.931,5.777,6.413,7.143,7.479,17.117,38.173,0.168
40,24.200,5.700,0.875,4.649,5.605,6.216,6.572,6.957,15.967,37.539,0.175
45,23.200,6.621,0.542,4.692,5.732,6.534,7.147,7.762,43.158,62.048,0.151
50,16.600,6.193,0.754,5.253,5.818,6.335,6.848,7.377,51.925,51.925,0.161
55,19.000,8.734,0.638,4.680,5.715,6.630,7.595,30.089,114.248,114.248,0.114
60,18.800,6.685,1.497,4.937,5.722,6.259,7.699,14.502,49.598,49.598,0.150
65,13.400,7.148,0.606,5.141,5.821,6.696,7.761,9.402,65.035,65.035,0.140
70,20.000,5.651,0.573,4.643,5.611,6.385,6.928,7.344,35.844,35.844,0.177
75,23.400,7.754,0.554,4.743,5.768,6.702,7.859,33.652,39.835,40.152,0.129
80,21.400,6.395,0.583,4.902,5.712,6.353,7.183,8.764,30.747,40.924,0.156
85,21.000,8.744,0.739,4.868,6.057,7.041,12.150,39.376,49.560,52.347,0.114
90,12.600,7.407,0.641,5.066,6.088,6.668,7.452,9.191,68.387,68.387,0.135
95,18.200,7.650,0.632,5.183,6.110,7.240,8.018,9.871,52.425,52.425,0.131
100,19.600,6.273,0.795,5.127,6.070,6.655,7.249,7.894,38.228,38.228,0.159
105,18.600,6.144,0.672,4.723,5.687,6.476,7.223,7.729,37.182,37.182,0.163
110,19.400,6.801,0.574,4.754,5.979,6.499,7.377,17.682,52.820,52.820,0.147
115,21.800,6.908,0.577,4.774,5.952,6.996,7.858,9.432,50.055,51.964,0.145
