Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,463.000,21.601,0.592,1.447,17.057,34.505,52.599,60.123,77.654,180.081,0.046
5,449.200,22.256,0.691,1.357,21.666,36.756,46.349,53.798,70.639,94.320,0.045
10,435.200,22.938,0.755,1.691,26.687,35.671,43.842,46.175,55.906,70.918,0.044
15,350.800,28.650,0.695,8.825,27.611,40.218,52.299,65.998,119.899,161.015,0.035
20,397.200,25.001,0.704,8.747,26.238,34.628,44.995,60.172,86.652,126.447,0.040
25,472.400,21.197,0.502,1.145,14.865,32.661,59.027,70.825,88.397,109.490,0.047
30,293.200,34.018,0.722,17.321,36.805,49.067,59.432,64.798,81.223,114.867,0.029
35,298.000,33.594,0.708,14.618,36.892,46.187,54.237,60.270,86.458,161.278,0.030
40,310.800,32.176,0.717,15.372,35.708,47.360,55.593,60.499,69.745,86.800,0.031
45,258.400,38.654,0.710,16.996,42.269,52.498,68.887,86.077,118.029,141.945,0.026
50,378.400,26.376,0.679,8.977,26.395,35.575,51.852,60.532,86.355,127.859,0.038
55,235.600,42.448,0.764,19.278,47.997,60.583,71.248,82.738,119.982,155.530,0.024
60,301.000,33.313,0.741,10.208,37.571,48.558,56.611,64.066,75.971,97.732,0.030
65,287.800,34.614,0.703,9.163,36.522,47.725,59.793,70.288,121.184,878.689,0.029
70,311.600,32.495,0.702,9.953,35.018,45.631,59.409,65.014,75.791,851.969,0.031
75,309.600,31.813,0.721,10.472,34.777,46.088,58.797,66.620,78.737,104.083,0.031
80,306.200,32.600,0.736,9.889,31.898,44.055,67.543,79.531,116.923,162.594,0.031
85,429.000,23.466,0.640,1.398,22.762,33.042,48.415,61.981,123.278,986.741,0.043
90,263.200,37.931,0.742,19.048,44.268,54.747,64.539,70.381,78.486,99.114,0.026
95,281.800,35.388,0.767,19.649,38.785,48.053,55.958,63.531,73.802,143.595,0.028
100,295.200,33.831,0.704,13.000,37.261,47.030,59.010,62.250,86.565,136.078,0.030
105,299.400,33.310,0.714,11.895,35.814,50.074,59.535,61.771,107.586,130.995,0.030
110,285.800,35.088,0.737,17.337,35.413,50.727,64.307,69.378,118.145,152.566,0.028
115,375.600,26.266,0.696,9.146,26.429,35.097,45.356,65.445,114.861,155.648,0.038
