Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,916.800,10.882,0.627,3.494,6.279,17.182,24.261,26.747,51.534,222.752,0.092
5,539.400,18.535,0.788,16.882,17.110,17.693,25.615,26.084,34.218,64.916,0.054
10,565.600,17.632,0.621,16.796,17.050,17.825,25.408,25.808,34.090,85.287,0.057
15,583.000,17.134,0.699,16.702,16.951,17.352,25.102,25.497,33.428,35.697,0.058
20,577.200,17.312,0.747,16.704,16.912,17.209,20.799,25.219,33.596,132.032,0.058
25,560.800,17.808,0.557,16.704,16.939,17.530,25.079,25.466,33.358,41.853,0.056
30,584.800,17.076,0.780,16.479,16.910,19.235,24.899,25.524,39.093,109.312,0.059
35,578.800,17.243,0.769,16.639,16.841,17.224,21.450,25.161,30.392,50.949,0.058
40,568.400,17.569,0.732,16.643,16.804,17.053,17.531,24.966,25.706,83.521,0.057
45,566.000,17.712,0.712,16.639,16.821,17.113,24.522,25.138,25.947,34.138,0.056
50,543.800,18.371,0.750,16.613,16.778,17.031,17.668,25.422,82.182,84.574,0.054
55,565.200,17.625,0.759,16.601,16.769,16.969,17.364,19.094,33.539,151.143,0.057
60,544.200,18.349,0.867,16.646,16.781,16.946,24.816,25.242,57.996,100.343,0.054
65,553.400,18.073,0.784,16.632,16.776,16.967,24.137,25.221,42.440,92.032,0.055
70,559.400,17.827,0.758,16.627,16.765,16.946,17.459,25.083,33.484,125.886,0.056
75,544.200,18.373,0.714,16.638,16.761,16.928,24.678,25.256,41.742,150.327,0.054
80,543.000,18.398,0.728,16.619,16.760,16.955,25.035,25.480,42.120,108.779,0.054
85,514.600,19.403,0.764,16.636,16.746,16.920,24.822,25.314,116.523,167.051,0.052
90,601.200,16.623,0.759,16.449,16.755,17.187,24.570,25.318,34.062,108.547,0.060
95,613.000,16.287,0.826,16.505,16.773,17.123,20.156,21.087,25.667,134.138,0.061
100,577.800,17.287,0.713,16.486,16.794,17.428,22.030,25.437,49.546,158.952,0.058
105,549.600,18.193,0.743,16.620,16.733,16.865,17.675,25.200,49.425,158.902,0.055
110,543.200,18.391,0.764,16.642,16.742,16.880,24.533,25.196,33.708,150.190,0.054
115,535.000,18.592,0.789,16.618,16.748,16.939,24.257,25.031,41.795,200.221,0.054
