Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file),error,aborted,retries,success,window
2,Payment,1664337111.529513,188120,4,1,0,0,1,0,0
2,Payment,1664337111.529515,181158,0,1,0,0,1,0,0
2,Payment,1664337111.529516,188612,3,1,0,0,1,0,0
2,Payment,1664337111.529521,188294,2,1,0,0,1,0,0
2,Payment,1664337111.529531,197160,5,1,0,0,1,0,0
2,Payment,1664337111.529539,188472,1,1,0,0,1,0,0
2,Payment,1664337111.529648,187214,7,1,0,0,1,0,0
2,Payment,1664337111.530579,195741,9,1,0,0,1,0,0
2,Payment,1664337111.530663,186008,6,1,0,0,1,0,0
2,Payment,1664337111.530698,186867,8,1,0,0,1,0,0
2,Payment,1664337111.711128,14112,0,1,0,0,1,0,0
2,Payment,1664337111.716758,15082,6,1,0,0,0,1,8949
2,Payment,1664337111.716940,3927,7,1,0,0,0,1,1877
2,Payment,1664337111.717702,11169,8,1,0,0,0,1,4219
2,Payment,1664337111.717802,12451,4,1,0,0,0,1,4390
2,Payment,1664337111.718011,15087,2,1,0,0,0,1,6016
2,Payment,1664337111.718153,12589,1,1,0,0,0,1,5061
2,Payment,1664337111.718313,11525,3,1,0,0,0,1,2919
2,Payment,1664337111.720912,9585,7,1,0,0,1,0,0
2,Payment,1664337111.725324,14162,0,1,0,0,1,0,0
2,Payment,1664337111.726482,10671,9,1,0,0,0,1,6728
2,Payment,1664337111.726775,4073,5,1,0,0,0,1,1126
2,Payment,1664337111.728930,7270,8,1,0,0,1,0,0
2,Payment,1664337111.729901,9547,3,1,0,0,1,0,0
2,Payment,1664337111.730304,9863,4,1,0,0,1,0,0
2,Payment,1664337111.730576,25929,7,1,0,0,1,0,0
2,Payment,1664337111.730778,7508,1,1,0,0,1,0,0
2,Payment,1664337111.730927,12851,5,1,0,0,1,0,0
2,Payment,1664337111.731906,12067,6,1,0,0,1,0,0
2,Payment,1664337111.733166,9115,2,1,0,0,1,0,0
2,Payment,1664337111.736235,7922,8,1,0,0,0,1,6718
2,Payment,1664337111.737227,5784,9,1,0,0,1,0,0
2,Payment,1664337111.738348,8894,1,1,0,0,0,1,6718
2,Payment,1664337111.739529,16858,0,1,0,0,1,0,0
2,Payment,1664337111.739530,7379,3,1,0,0,0,1,3769
2,Payment,1664337111.740229,6644,4,1,0,0,0,1,4080
2,Payment,1664337111.742316,3445,2,1,0,0,0,1,2224
2,Payment,1664337111.743065,17038,9,1,0,0,0,1,14159
2,Payment,1664337111.743841,5678,5,1,0,0,0,1,1165
2,Payment,1664337111.744034,5476,6,1,0,0,0,1,1859
2,Payment,1664337111.744189,5313,8,1,0,0,1,0,0
2,Payment,1664337111.745787,8752,2,1,0,0,1,0,0
2,Payment,1664337111.746934,8326,4,1,0,0,1,0,0
2,Payment,1664337111.746955,4848,3,1,0,0,1,0,0
2,Payment,1664337111.747274,5420,1,1,0,0,1,0,0
2,Payment,1664337111.749556,17184,8,1,0,0,0,1,15307
2,Payment,1664337111.749575,7385,6,1,0,0,1,0,0
2,Payment,1664337111.749602,8920,5,1,0,0,1,0,0
2,Payment,1664337111.751838,9387,3,1,0,0,0,1,7700
2,Payment,1664337111.752752,5608,1,1,0,0,0,1,3816
2,Payment,1664337111.754601,9915,2,1,0,0,0,1,7968
2,Payment,1664337111.755338,10738,4,1,0,0,0,1,8006
2,Payment,1664337111.756441,17022,0,1,0,0,1,0,0
2,Payment,1664337111.756590,7691,7,1,0,0,0,1,4762
2,Payment,1664337111.757008,10430,6,1,0,0,0,1,8765
2,Payment,1664337111.758434,7114,1,1,0,0,1,0,0
2,Payment,1664337111.758558,5027,5,1,0,0,0,1,3895
2,Payment,1664337111.760145,4360,9,1,0,0,1,0,0
2,Payment,1664337111.761255,4196,3,1,0,0,1,0,0
2,Payment,1664337111.763612,9206,5,1,0,0,1,0,0
2,Payment,1664337111.764382,8121,7,1,0,0,1,0,0
2,Payment,1664337111.764561,4976,9,1,0,0,0,1,2418
2,Payment,1664337111.764573,7591,2,1,0,0,1,0,0
2,Payment,1664337111.765497,12303,3,1,0,0,0,1,9143
2,Payment,1664337111.765613,3727,1,1,0,0,0,1,1012
2,Payment,1664337111.766108,14333,4,1,0,0,1,0,0
2,Payment,1664337111.766798,7188,8,1,0,0,1,0,0
2,Payment,1664337111.767486,6527,6,1,0,0,1,0,0
2,Payment,1664337111.769382,6742,1,1,0,0,1,0,0
2,Payment,1664337111.769571,8374,9,1,0,0,1,0,0
2,Payment,1664337111.772220,4238,2,1,0,0,0,1,1117
2,Payment,1664337111.772553,6118,7,1,0,0,0,1,3552
2,Payment,1664337111.772885,10679,5,1,0,0,0,1,7763
2,Payment,1664337111.773559,16006,0,1,0,0,1,0,0
2,Payment,1664337111.774039,10170,8,1,0,0,0,1,6528
2,Payment,1664337111.774054,8283,6,1,0,0,0,1,4929
2,Payment,1664337111.776177,4845,1,1,0,0,0,1,2862
2,Payment,1664337111.776546,9627,2,1,0,0,1,0,0
2,Payment,1664337111.777861,6778,3,1,0,0,1,0,0
2,Payment,1664337111.777986,4995,9,1,0,0,0,1,3087
2,Payment,1664337111.778721,6382,7,1,0,0,1,0,0
2,Payment,1664337111.780476,4898,4,1,0,0,0,1,3912
2,Payment,1664337111.781082,10418,1,1,0,0,1,0,0
2,Payment,1664337111.782370,11854,6,1,0,0,1,0,0
2,Payment,1664337111.783017,6204,9,1,0,0,1,0,0
2,Payment,1664337111.783606,3931,5,1,0,0,1,0,0
2,Payment,1664337111.784245,5995,8,1,0,0,1,0,0
2,Payment,1664337111.784707,4677,3,1,0,0,0,1,2432
2,Payment,1664337111.785265,8198,7,1,0,0,0,1,5130
2,Payment,1664337111.785407,6905,4,1,0,0,1,0,0
2,Payment,1664337111.786223,8250,2,1,0,0,0,1,6166
2,Payment,1664337111.787584,6290,5,1,0,0,0,1,4950
2,Payment,1664337111.789254,5629,9,1,0,0,0,1,4484
2,Payment,1664337111.789459,11423,3,1,0,0,1,0,0
2,Payment,1664337111.789601,16702,0,1,0,0,1,0,0
2,Payment,1664337111.790287,9428,8,1,0,0,0,1,6663
2,Payment,1664337111.791539,6982,1,1,0,0,0,1,5369
2,Payment,1664337111.792353,5744,4,1,0,0,0,1,4495
2,Payment,1664337111.793537,8236,7,1,0,0,1,0,0
2,Payment,1664337111.793994,3861,5,1,0,0,1,0,0
2,Payment,1664337111.794258,4908,6,1,0,0,0,1,2075
2,Payment,1664337111.794510,3956,2,1,0,0,1,0,0
2,Payment,1664337111.794915,5170,9,1,0,0,1,0,0
2,Payment,1664337111.797885,7181,5,1,0,0,0,1,6177
2,Payment,1664337111.798168,10482,4,1,0,0,1,0,0
2,Payment,1664337111.798504,7695,2,1,0,0,0,1,6864
2,Payment,1664337111.798555,5082,1,1,0,0,1,0,0
2,Payment,1664337111.799200,6055,6,1,0,0,1,0,0
2,Payment,1664337111.799751,4088,8,1,0,0,1,0,0
2,Payment,1664337111.800120,6397,9,1,0,0,0,1,5084
2,Payment,1664337111.800918,5035,3,1,0,0,0,1,3956
