Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,203.800,33.337,0.914,14.359,18.237,43.389,81.391,102.999,131.439,248.543,0.030
5,276.400,26.988,0.852,14.203,15.937,24.422,66.193,96.717,155.307,201.288,0.037
10,230.000,33.655,0.642,14.382,16.389,50.425,81.335,103.823,148.764,233.679,0.030
15,236.400,32.659,0.675,14.063,16.301,45.524,80.920,104.859,133.133,165.791,0.031
20,233.200,31.839,0.748,14.643,16.477,47.875,78.323,89.931,115.841,131.363,0.031
25,264.800,27.822,0.760,14.343,16.230,29.653,66.822,79.217,107.217,225.154,0.036
30,277.800,27.626,0.690,14.540,16.036,29.504,69.244,83.121,118.183,147.130,0.036
35,192.200,43.073,0.747,14.516,16.304,49.286,84.079,104.594,946.443,1049.341,0.023
40,262.200,27.996,0.736,14.214,15.955,28.025,73.369,93.804,132.006,179.475,0.036
45,276.000,27.702,0.600,14.451,16.103,29.601,66.515,83.148,118.072,149.842,0.036
50,248.600,30.406,0.646,14.152,16.162,43.686,66.660,89.425,148.488,239.095,0.033
55,276.400,27.109,0.724,14.248,16.048,25.139,70.147,86.386,116.155,151.352,0.037
60,227.000,34.767,0.646,14.199,15.978,26.793,72.246,88.150,142.158,1049.852,0.029
65,254.000,29.222,0.704,14.020,16.039,32.357,77.819,91.651,123.823,213.843,0.034
70,264.400,28.840,0.647,13.110,15.951,33.780,74.566,90.737,118.666,142.577,0.035
75,253.400,29.326,0.752,14.205,16.370,37.355,71.406,90.025,122.681,168.754,0.034
80,238.800,30.967,0.748,14.438,16.263,38.658,78.712,97.379,135.002,255.317,0.032
85,266.600,28.925,0.710,14.296,15.979,32.858,72.075,91.310,121.540,142.313,0.035
90,289.600,25.735,0.713,14.218,16.048,23.955,66.057,81.673,115.743,168.922,0.039
95,299.200,24.815,0.677,13.124,15.790,21.235,63.102,79.374,113.268,149.146,0.040
100,274.800,28.265,0.726,14.087,16.227,33.571,70.555,82.803,115.357,153.574,0.035
105,239.000,32.570,0.666,14.840,16.745,44.193,74.055,93.809,183.950,377.678,0.031
110,269.200,28.388,0.621,13.849,16.433,33.129,66.557,88.205,149.486,193.191,0.035
115,262.200,28.700,0.728,14.790,16.438,37.322,65.387,87.895,125.441,207.474,0.035
