Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,479.400,20.749,0.742,16.376,16.674,17.540,25.311,30.302,108.986,221.627,0.048
5,592.400,16.818,0.961,16.450,16.625,16.776,17.067,17.663,49.706,100.091,0.059
10,662.600,15.085,0.978,8.487,16.543,16.723,16.937,17.160,60.034,100.054,0.066
15,938.000,10.626,7.260,8.233,8.397,16.387,16.769,16.925,17.258,42.076,0.094
20,930.000,10.739,0.774,8.234,8.388,9.208,16.744,16.933,25.133,108.407,0.093
25,1021.800,9.769,6.900,8.215,8.349,8.572,16.619,16.787,17.183,108.413,0.102
30,870.800,11.466,0.821,8.228,8.408,16.160,16.797,17.050,41.691,141.315,0.087
35,1015.600,9.827,7.362,8.224,8.354,8.567,16.682,16.862,17.380,83.241,0.102
40,943.200,10.597,7.512,8.227,8.381,8.764,16.724,16.882,25.082,142.061,0.094
45,972.800,10.252,7.247,8.222,8.367,8.674,16.710,16.854,24.885,108.442,0.098
50,1005.600,9.926,0.932,8.223,8.343,8.536,16.659,16.809,25.076,141.636,0.101
55,955.000,10.463,7.295,8.242,8.360,8.616,16.711,16.860,33.361,141.841,0.096
60,964.000,10.354,7.218,8.225,8.367,8.625,16.717,16.900,25.066,141.434,0.097
65,925.800,10.777,6.778,8.205,8.363,8.707,16.720,16.913,49.940,165.324,0.093
70,982.800,10.149,7.391,8.193,8.354,8.598,16.714,16.939,25.735,108.284,0.099
75,966.000,10.334,7.314,8.213,8.345,8.527,16.539,16.753,25.069,400.366,0.097
80,1025.200,9.733,7.339,8.212,8.354,8.550,16.587,16.800,17.876,108.747,0.103
85,1014.800,9.844,7.390,8.233,8.352,8.541,16.623,16.783,18.534,108.067,0.102
90,973.200,10.258,7.304,8.213,8.359,8.587,16.664,16.843,33.122,108.174,0.097
95,1012.000,9.883,7.558,8.222,8.353,8.524,16.566,16.766,25.257,150.065,0.101
100,1077.600,9.297,7.402,8.202,8.341,8.519,9.002,16.710,17.200,92.798,0.108
105,976.600,10.165,0.839,8.231,8.363,8.571,16.672,17.015,41.117,108.263,0.098
110,1028.600,9.706,6.344,8.190,8.357,8.603,16.536,16.819,19.014,75.959,0.103
115,1003.600,9.919,6.128,8.183,8.358,8.599,16.581,16.857,24.614,178.802,0.101
