Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,289,289.000,1904,19569,24632,37150,27758,100291,191635,213571,221627,289,0,213571,24632,37150,27758,100291,191635
1,440,440.000,1434,16019,17001,20518,23899,26845,34205,83530,86274,439,1,83530,17001,20518,23899,26845,34205
2,533,533.000,1175,16301,16631,18745,17041,18482,25552,108428,109744,532,1,108428,16631,18745,17041,18482,25552
3,593,593.000,742,16371,16604,16848,16872,17365,17981,33156,35827,592,1,33156,16604,16848,16872,17365,17981
4,542,542.000,755,16422,16602,18427,16857,17665,24761,91385,93401,541,1,91385,16602,18427,16857,17665,24761
5,600,600.000,15800,16476,16624,16659,16758,16978,17189,18296,19440,599,1,18296,16624,16659,16758,16978,17189
6,632,632.000,961,16344,16601,15804,16784,17131,17417,33301,33667,631,1,33301,16601,15804,16784,17131,17417
7,560,560.000,7843,16445,16631,17843,16779,17096,24855,99805,100091,559,1,99805,16631,17843,16779,17096,24855
8,610,610.000,7153,16485,16637,16422,16791,17103,18551,25070,25244,609,1,25070,16637,16422,16791,17103,18551
9,560,560.000,7839,16487,16633,17539,16756,17061,24643,50209,50714,559,1,50209,16633,17539,16756,17061,24643
10,641,641.000,978,16430,16611,15592,16733,16891,17019,18063,18512,640,1,18063,16611,15592,16733,16891,17019
11,712,712.000,7334,8293,15977,14055,16693,17024,24797,58481,61893,711,1,58481,15977,14055,16693,17024,24797
12,610,610.000,7672,16280,16597,16512,16765,17080,17482,66620,66846,609,1,66620,16597,16512,16765,17080,17482
13,660,660.000,7649,8411,16540,15021,16732,16934,17124,99667,100054,659,1,99667,16540,15021,16732,16934,17124
14,690,690.000,7780,8393,16487,14476,16699,16839,16980,83001,83601,689,1,83001,16487,14476,16699,16839,16980
15,892,892.000,7693,8247,8401,11141,16586,16769,16884,17082,17750,891,1,17082,8401,11141,16586,16769,16884
16,858,858.000,7465,8237,8455,11610,16656,16902,17089,24707,25050,857,1,24707,8455,11610,16656,16902,17089
17,920,920.000,7528,8252,8411,10970,16548,16780,16927,17185,17725,919,1,17185,8411,10970,16548,16780,16927
18,1030,1030.000,7310,8207,8375,9634,8628,16579,16852,17227,17770,1029,1,17227,8375,9634,8628,16579,16852
19,990,990.000,7260,8221,8376,10021,8614,16721,16897,41061,42076,989,1,41061,8376,10021,8614,16721,16897
20,967,967.000,774,8167,8414,10334,8903,16780,16964,21226,37932,967,0,21226,8414,10334,8903,16780,16964
21,799,799.000,7689,8251,8381,12497,16594,16913,25052,107926,108407,798,1,107926,8381,12497,16594,16913,25052
22,930,930.000,7578,8263,8398,10754,16388,16724,16885,25025,25633,929,1,25025,8398,10754,16388,16724,16885
23,1010,1010.000,7435,8229,8364,9900,8636,16676,16770,17062,17756,1009,1,17062,8364,9900,8636,16676,16770
24,944,944.000,7419,8242,8386,10546,16301,16737,16889,24953,25377,943,1,24953,8386,10546,16301,16737,16889
25,1036,1036.000,7648,8222,8348,9699,8593,16666,16774,16987,17263,1035,1,16987,8348,9699,8593,16666,16774
26,1040,1040.000,7528,8233,8353,9534,8532,16441,16824,17384,41836,1039,1,17384,8353,9534,8532,16441,16824
27,920,920.000,7464,8206,8372,10869,8688,16702,16816,108054,108413,919,1,108054,8372,10869,8688,16702,16816
28,1060,1060.000,7438,8215,8334,9430,8508,9051,16727,17357,50251,1059,1,17357,8334,9430,8508,9051,16727
29,1053,1053.000,6900,8197,8345,9448,8611,16611,16805,17271,18248,1052,1,17271,8345,9448,8611,16611,16805
30,967,967.000,7488,8196,8393,10570,10027,16764,16976,19166,39331,966,1,19166,8393,10570,10027,16764,16976
31,733,733.000,821,8289,8490,13408,16653,17034,25454,82923,83226,732,1,82923,8490,13408,16653,17034,25454
32,900,900.000,7656,8240,8419,11025,16504,16808,16960,41111,41989,899,1,41111,8419,11025,16504,16808,16960
33,920,920.000,7669,8211,8355,10862,8635,16690,16908,108078,109176,919,1,108078,8355,10862,8635,16690,16908
34,834,834.000,7672,8240,8412,11938,8861,16734,17023,141052,141315,833,1,141052,8412,11938,8861,16734,17023
35,1046,1046.000,7677,8219,8343,9520,8530,16598,16762,17302,25648,1045,1,17302,8343,9520,8530,16598,16762
36,1010,1010.000,7496,8232,8351,9904,8568,16732,16912,17700,25546,1009,1,17700,8351,9904,8568,16732,16912
37,1050,1050.000,7362,8213,8364,9524,8564,16624,16753,17049,17850,1049,1,17049,8364,9524,8564,16624,16753
38,889,889.000,7484,8241,8392,11242,16175,16845,17015,82935,83241,888,1,82935,8392,11242,16175,16845,17015
39,1083,1083.000,7376,8217,8338,9182,8497,8920,16755,17428,25450,1082,1,17428,8338,9182,8497,8920,16755
40,1038,1038.000,7690,8236,8350,9606,8546,16577,16747,17623,25192,1037,1,17623,8350,9606,8546,16577,16747
41,910,910.000,7512,8224,8366,10991,8597,16540,16808,141720,142061,909,1,141720,8366,10991,8597,16540,16808
42,968,968.000,7526,8194,8390,10324,8803,16720,16947,32179,39612,967,1,32179,8390,10324,8803,16720,16947
43,810,810.000,7703,8274,8555,12348,16692,16851,17012,33277,33633,809,1,33277,8555,12348,16692,16851,17012
44,990,990.000,7635,8217,8371,10107,8627,16707,16911,24669,25276,989,1,24669,8371,10107,8627,16707,16911
45,970,970.000,7739,8247,8383,10314,8823,16752,16863,17143,17606,969,1,17143,8383,10314,8823,16752,16863
46,960,960.000,7247,8227,8368,10330,8654,16701,16853,49934,50436,959,1,49934,8368,10330,8654,16701,16853
47,930,930.000,7333,8199,8361,10741,8698,16663,16835,107811,108442,929,1,107811,8361,10741,8698,16663,16835
