Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,222.200,15.230,1.151,4.207,9.485,17.244,37.940,55.971,85.162,114.927,0.066
5,276.600,12.185,0.879,3.056,6.647,15.791,31.155,43.269,55.318,77.498,0.082
10,175.000,20.161,1.059,3.353,9.389,28.521,53.477,67.782,122.818,275.068,0.050
15,176.000,22.969,1.042,4.460,14.913,34.727,50.872,68.042,110.034,135.545,0.044
20,156.800,23.983,1.074,5.919,14.677,36.365,58.640,68.313,90.683,118.601,0.042
25,164.000,25.246,1.112,7.378,22.090,40.940,50.551,58.928,72.639,89.086,0.040
30,181.200,22.012,1.063,5.693,16.598,36.342,44.957,47.263,66.768,126.566,0.045
35,186.200,22.616,1.011,7.155,17.342,35.787,45.853,53.389,62.933,119.112,0.044
40,166.200,24.412,1.032,6.418,16.498,36.158,44.889,52.260,205.173,246.860,0.041
45,151.200,23.688,1.113,4.523,15.758,35.011,46.314,53.605,101.582,286.283,0.042
50,136.600,30.693,1.063,7.766,26.074,43.683,58.181,67.738,177.353,311.573,0.033
55,138.000,28.006,1.056,4.839,28.218,44.727,58.956,69.158,94.223,106.182,0.036
60,165.800,24.252,1.107,5.914,19.811,38.628,49.570,56.861,77.699,88.491,0.041
65,180.800,23.035,0.979,6.460,23.686,36.161,45.767,53.041,63.635,89.385,0.043
70,201.000,20.722,1.022,6.696,13.495,30.079,44.015,52.851,69.807,199.288,0.048
75,202.800,19.362,0.722,7.318,12.427,26.995,41.446,48.996,69.958,302.637,0.052
80,190.400,22.502,0.943,5.113,14.055,33.374,44.298,54.411,186.518,293.626,0.044
85,151.400,27.183,1.037,4.911,17.758,40.834,50.520,59.196,224.747,440.498,0.037
90,144.000,30.545,0.992,9.680,26.847,43.960,57.149,67.973,193.660,208.040,0.033
95,132.400,30.593,0.944,6.970,34.856,47.235,59.133,68.350,95.749,119.923,0.033
100,167.800,25.668,0.975,8.622,28.504,38.173,47.368,54.060,66.896,95.602,0.039
105,177.200,24.233,1.044,7.077,18.429,36.788,45.601,50.974,202.379,273.604,0.041
110,132.600,30.219,1.046,8.486,27.885,42.188,53.436,64.361,208.463,236.467,0.033
115,156.000,28.751,0.990,8.408,26.809,37.110,47.852,59.220,213.169,227.698,0.035
