Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.600,53.860,0.715,35.173,55.285,72.362,84.276,91.384,106.651,115.069,0.019
5,21.000,51.130,4.561,39.128,48.691,61.441,73.525,86.550,130.635,137.929,0.020
10,16.400,62.704,6.013,46.104,61.691,77.066,99.406,120.154,165.957,165.957,0.016
15,14.000,52.712,0.820,36.817,53.260,64.121,86.251,96.924,128.639,128.639,0.019
20,14.600,51.323,0.608,37.651,53.374,68.297,80.846,88.255,107.187,107.187,0.019
25,15.600,48.935,0.593,37.976,51.651,64.607,73.082,82.908,92.146,92.146,0.020
30,15.600,45.540,4.031,37.699,47.277,56.705,64.414,71.883,115.018,115.018,0.022
35,16.600,47.374,0.610,38.520,47.627,61.666,69.435,74.056,90.052,90.052,0.021
40,15.000,59.694,9.699,48.883,54.498,61.565,71.480,77.087,266.155,266.155,0.017
45,10.600,53.107,2.302,36.938,51.225,61.472,77.656,100.460,227.634,227.634,0.019
50,11.400,67.791,9.630,45.993,55.145,69.204,104.152,200.006,319.257,319.257,0.015
55,13.400,57.076,0.660,47.510,53.810,70.396,87.726,96.952,127.812,127.812,0.018
60,14.400,51.303,0.600,42.373,56.112,63.703,72.211,78.412,103.287,103.287,0.019
65,13.000,48.287,4.839,43.976,53.137,58.627,70.259,72.099,81.756,81.756,0.021
70,18.000,67.388,9.955,46.145,55.949,68.616,129.443,195.522,234.282,234.282,0.015
75,15.600,61.175,0.589,42.961,52.214,64.263,82.238,208.048,248.878,248.878,0.016
80,16.200,60.180,0.523,42.763,52.873,61.034,86.184,191.151,227.184,227.184,0.017
85,12.400,50.616,0.780,43.561,53.352,60.625,70.065,75.148,88.234,88.234,0.020
90,12.200,54.965,9.036,43.341,52.173,68.854,76.622,84.335,93.785,93.785,0.018
95,13.200,56.094,0.577,48.562,59.213,66.977,80.280,84.846,92.372,92.372,0.018
100,15.000,45.687,3.891,31.057,48.726,57.473,65.289,65.868,111.776,111.776,0.022
105,15.200,51.181,10.860,41.887,48.849,58.861,65.986,76.816,245.647,245.647,0.020
110,14.200,65.319,0.572,46.079,56.780,66.293,88.467,186.924,259.420,259.420,0.015
115,12.800,56.074,11.507,41.285,51.099,61.355,69.461,119.932,227.055,227.055,0.018
